gismu,gismu_shape,pos_tendency,gismu_new,gismu_new_shape,cmavo_rafsi_1,cmavo_rafsi_2,cmavo_rafsi_3,excluded,coef1_1,coef1_2,coef1_3,form_shape_1,form_shape_2,form_shape_3,rafsi_pos_1,rafsi_pos_2,rafsi_pos_3,rafsi_pos,gismu_sum,meaning,override,gismu_new_count
facki,CACCA,fin,fai,CAA,fa'i,fak,,  ,16.7,3.5,0.0,CAA,CAC,,125,124,,124 125 12345,682,discover,,3
mintu,CACCA,neut,miu,CAA,mi'u,mit,,  ,27.2,20.9,0.0,CAA,CAC,,125,124,,124 125 12345,680,same,,2
lorxu,CACCA,ini,lor,CAC,lor,lo'u,,  ,39.7,9.3,0.0,CAC,CAA,,123,125,,123 125 12345,679,fox,,1
muvdu,CACCA,fin,mud,CAC,mu'u,muv,,  ,34.6,21.2,0.0,CAA,CAC,,125,123,,123 125 12345,676,move,,3
milxe,CACCA,ini,mli,CCA,mli,,,  milx,45.3,0.0,0.0,CCA,,,132,,,132  12345,674,mild,,1
cilre,CACCA,neut,cli,CCA,cli,,, ,8.0,0.0,0.0,CCA,,,132,,,132 12345,669,learn,,1
vanbi,CACCA,fin,vanb,CACC,,,,va'o ,0.0,0.0,0.0,,,,,,,12345,667,environment,,1
jufra,CACCA,neut,jua,CAA,ju'a,juf,,  ,27.4,4.8,0.0,CAA,CAC,,125,123,,123 125 12345,665,sentence,,1
gunka,CACCA,neut,gua,CAA,gu'a,gun,,  ,12.9,8.7,0.0,CAA,CAC,,125,123,,123 125 12345,662,work,,1
banli,CACCA,ini,bal,CAC,bal,ba'i,,  ba'u ,37.9,16.3,0.0,CAC,CAA,,124,125,,124 125  12345,661,great,,1
cevni,CACCA,ini,cen,CAC,cei,cev,,  ,35.8,5.8,0.0,CAA,CAC,,125,123,,123 125 12345,661,god,,1
tadji,CACCA,fin,tai,CAA,ta'i,tadj,,  ,84.7,2.3,0.0,CAA,CACC,,125,1234,,125 1234 12345,657,method,,3
bajra,CACCA,ini,bas,CAC,baj,,, ,19.6,0.0,0.0,CAC,,,123,,,123 12345,656,run,,2
kansa,CACCA,neut,kan,CAC,kan,,, ,15.8,0.0,0.0,CAC,,,123,,,123 12345,650,with,,2
sisku,CACCA,ini,sis,CAC,sis,,, ,7.6,0.0,0.0,CAC,,,123,,,123 12345,650,seek,,3
barja,CACCA,fin,barj,CACC,barj,,, ,7.6,0.0,0.0,CACC,,,1234,,,1234 12345,639,bar,,1
rorci,CACCA,neut,ror,CAC,ror,,, ,6.3,0.0,0.0,CAC,,,123,,,123 12345,639,procreate,,1
sinxa,CACCA,neut,sni,CCA,sni,,, ,30.2,0.0,0.0,CCA,,,132,,,132 12345,630,sign,,1
cadzu,CACCA,neut,dzu,CCA,dzu,,, ,62.4,0.0,0.0,CCA,,,345,,,345 12345,627,walk,,1
tirna,CACCA,ini,tin,CAC,tin,,, ti'e ,13.1,0.0,0.0,CAC,,,124,,,124  12345,626,hear,,1
penmi,CACCA,neut,pem,CAC,pe'i,pen,,  ,39.3,13.5,0.0,CAA,CAC,,125,123,,123 125 12345,624,meet,,2
morsi,CACCA,ini,mro,CCA,mro,,, ,85.6,0.0,0.0,CCA,,,132,,,132 12345,622,dead,,1
karce,CACCA,neut,karc,CACC,karc,,, ,13.7,0.0,0.0,CACC,,,1234,,,1234 12345,621,car,,1
banzu,CACCA,fin,banz,CACC,,,, baz,0.0,0.0,0.0,,,,,,,12345,619,suffice,,1
betfu,CACCA,ini,beb,CAC,bef,be'u,,  ,14.9,5.9,0.0,CAC,CAA,,124,125,,124 125 12345,616,abdomen,,2
sipna,CACCA,ini,sib,CAC,sip,,, ,11.0,0.0,0.0,CAC,,,123,,,123 12345,615,sleep,,2
cinmo,CACCA,neut,cni,CCA,cni,ci'o,,  ,50.8,23.7,0.0,CCA,CAA,,132,125,,125 132 12345,614,emotion,,1
sucta,CACCA,neut,sua,CAA,su'a,suc,,su'u   ,44.4,2.1,0.0,CAA,CAC,,125,123,,123 125  12345,605,abstract,,2
farlu,CACCA,ini,fal,CAC,fal,fa'u,,  ,6.8,3.1,0.0,CAC,CAA,,124,125,,124 125 12345,601,fall,,1
vajni,CACCA,neut,vai,CAA,vai,vaj,,  ,32.5,7.2,0.0,CAA,CAC,,125,123,,123 125 12345,597,important,,2
diklo,CACCA,fin,diu,CAA,di'o,klo,,  ,42.4,16.9,0.0,CAA,CCA,,125,345,,125 345 12345,594,local,,2
nandu,CACCA,ini,nad,CAC,nad,,, ,8.3,0.0,0.0,CAC,,,124,,,124 12345,573,difficult,,1
gugde,CACCA,fin,gui,CAA,gu'e,gug,,  ,65.9,8.5,0.0,CAA,CAC,,125,123,,123 125 12345,571,country,,2
cinri,CACCA,fin,cir,CAC,ci'i,,, ,22.5,0.0,0.0,CAA,,,125,,,125 12345,568,interesting,,2
munje,CACCA,neut,mui,CAA,mu'e,muj,,  ,25.4,7.4,0.0,CAA,CAC,,125,124,,124 125 12345,554,universe,,2
ralju,CACCA,ini,rau,CAA,ra'u,ral,,  ,25.3,12.8,0.0,CAA,CAC,,125,123,,123 125 12345,551,principal,,4
bolci,CACCA,neut,boi,CAA,boi,bol,,  ,31.8,24.3,0.0,CAA,CAC,,125,123,,123 125 12345,550,ball,,1
notci,CACCA,neut,nod,CAC,not,noi,,  ,19.7,19.0,0.0,CAC,CAA,,123,125,,123 125 12345,549,message,,1
pemci,CACCA,neut,pem,CAC,pem,,, ,16.9,0.0,0.0,CAC,,,123,,,123 12345,545,poem,,2
dukse,CACCA,neut,dui,CAA,du'e,dus,,  ,18.7,6.9,0.0,CAA,CAC,,125,124,,124 125 12345,544,excess,,1
zabna,CACCA,ini,zan,CAC,zan,za'a,,  ,100.0,6.6,0.0,CAC,CAA,,124,125,,124 125 12345,543,favorable,,2
pagbu,CACCA,fin,pau,CAA,pau,pa'u,,   pag,29.7,10.3,0.0,CAA,CAA,,125,125,,125 125 12345,528,part,,3
cutci,CACCA,ini,cus,CAC,cuc,,, ,18.2,0.0,0.0,CAC,,,124,,,124 12345,527,shoe,,1
logji,CACCA,ini,los,CAC,loj,,, ,25.5,0.0,0.0,CAC,,,124,,,124 12345,527,logic,,1
litru,CACCA,fin,liu,CAA,li'u,,, ,13.9,0.0,0.0,CAA,,,125,,,125 12345,522,travel,,1
xance,CACCA,ini,xan,CAC,xan,xa'e,,  ,68.2,14.2,0.0,CAC,CAA,,123,125,,123 125 12345,521,hand,,1
rokci,CACCA,neut,roi,CAA,ro'i,rok,,  ,23.0,13.5,0.0,CAA,CAC,,125,123,,123 125 12345,516,rock,,1
kevna,CACCA,fin,kia,CAA,ke'a,kev,,  ,48.2,4.8,0.0,CAA,CAC,,125,123,,123 125 12345,514,cavity,,1
sidju,CACCA,neut,dju,CCA,dju,si'u,,  ,38.9,26.9,0.0,CCA,CAA,,345,125,,125 345 12345,512,help,,1
verba,CACCA,ini,ver,CAC,ver,,,  ve'a,7.3,0.0,0.0,CAC,,,123,,,123  12345,511,child,,1
gusni,CACCA,neut,gui,CAA,gu'i,gus,,  ,58.1,22.0,0.0,CAA,CAC,,125,123,,123 125 12345,508,illumine,,2
sance,CACCA,neut,sna,CCA,sna,,, ,83.9,0.0,0.0,CCA,,,132,,,132 12345,507,sound,,1
satci,CACCA,fin,satc,CACC,satc,,, sa'e ,8.8,0.0,0.0,CACC,,,1234,,,1234 12345,506,exact,,1
tugni,CACCA,fin,tui,CAA,tu'i,,,  tug,17.6,0.0,0.0,CAA,,,125,,,125 12345,499,agree,,2
ciste,CACCA,fin,cit,CAC,ci'e,,, ,100.0,0.0,0.0,CAA,,,125,,,125 12345,497,system,,1
cizra,CACCA,neut,cis,CAC,ciz,,, ,4.2,0.0,0.0,CAC,,,123,,,123 12345,496,strange,,3
lijda,CACCA,ini,jda,CCA,jda,,, ,100.0,0.0,0.0,CCA,,,345,,,345 12345,492,religion,,1
zanru,CACCA,neut,zau,CAA,zau,zar,,  ,45.2,2.1,0.0,CAA,CAC,,125,124,,124 125 12345,492,approve,,1
danfu,CACCA,ini,dab,CAC,daf,,, ,3.4,0.0,0.0,CAC,,,124,,,124 12345,489,answer,,3
senva,CACCA,ini,sne,CCA,sne,,,  se'o,79.3,0.0,0.0,CCA,,,132,,,132 12345,479,dream,,1
terdi,CACCA,ini,ted,CAC,ted,,, ,14.5,0.0,0.0,CAC,,,124,,,124 12345,479,earth,,1
lerfu,CACCA,neut,leu,CAA,le'u,ler,,  ,8.5,6.1,0.0,CAA,CAC,,125,123,,123 125 12345,476,letteral,,1
denpa,CACCA,ini,deb,CAC,dep,de'a,,  ,13.1,3.6,0.0,CAC,CAA,,124,125,,124 125 12345,474,wait,,1
lakne,CACCA,ini,lai,CAA,la'e,,,la'a  ,5.9,0.0,0.0,CAA,,,125,,,125  12345,473,probable,,1
simlu,CACCA,fin,mlu,CCA,mlu,,, ,20.9,0.0,0.0,CCA,,,345,,,345 12345,471,seem,,1
patfu,CACCA,neut,pau,CAA,pa'u,paf,,  ,16.0,11.1,0.0,CAA,CAC,,125,124,,124 125 12345,466,father,,3
curmi,CACCA,fin,cru,CCA,cru,,, ,27.6,0.0,0.0,CCA,,,132,,,132 12345,464,let,,1
pagre,CACCA,neut,gre,CCA,gre,,, pa'o ,45.2,0.0,0.0,CCA,,,345,,,345 12345,461,pass through,,1
birti,CACCA,neut,bid,CAC,bit,,, ,5.3,0.0,0.0,CAC,,,124,,,124 12345,458,certain,,1
panzi,CACCA,fin,pas,CAC,paz,,, ,4.6,0.0,0.0,CAC,,,124,,,124 12345,458,offspring,,4
nixli,CACCA,fin,xli,CCA,xli,,, ,100.0,0.0,0.0,CCA,,,342,,,342 12345,453,girl,,1
vecnu,CACCA,ini,veu,CAA,ve'u,ven,,  ,32.9,21.6,0.0,CAA,CAC,,125,124,,124 125 12345,452,sell,,1
porsi,CACCA,fin,poi,CAA,poi,po'i,por,   ,100.0,20.8,18.6,CAA,CAA,CAC,125,125,123,123 125 125 12345,451,sequence,,2
vasru,CACCA,fin,vau,CAA,vau,,,  vas,21.3,0.0,0.0,CAA,,,125,,,125 12345,451,contain,,2
zifre,CACCA,neut,zir,CAC,zi'e,ri'e,zif,   ,21.3,14.2,7.1,CAA,CAA,CAC,125,425,123,123 125 425 12345,451,free,,2
xusra,CACCA,fin,xua,CAA,xu'a,xus,,  ,17.9,2.9,0.0,CAA,CAC,,125,123,,123 125 12345,450,assert,,1
catra,CACCA,neut,catr,CACC,catr,,, ,18.0,0.0,0.0,CACC,,,1234,,,1234 12345,449,kill,,1
darxi,CACCA,fin,dai,CAA,da'i,dax,,  ,31.0,2.3,0.0,CAA,CAC,,125,124,,124 125 12345,448,hit,,3
fanmo,CACCA,ini,fam,CAC,fam,fa'o,, fe'o  ,39.3,27.0,0.0,CAC,CAA,,124,125,,124 125  12345,448,end,,1
jarco,CACCA,fin,jau,CAA,ja'o,,, ,39.9,0.0,0.0,CAA,,,125,,,125 12345,448,show,,1
menli,CACCA,ini,men,CAC,men,,, ,52.6,0.0,0.0,CAC,,,123,,,123 12345,445,mind,,1
curve,CACCA,neut,cub,CAC,cuv,,, ,7.7,0.0,0.0,CAC,,,124,,,124 12345,436,pure,,2
toknu,CACCA,ini,tog,CAC,tok,,, ,6.3,0.0,0.0,CAC,,,123,,,123 12345,436,oven,,1
xekri,CACCA,ini,xeg,CAC,xek,xe'i,,  ,11.8,2.6,0.0,CAC,CAA,,123,125,,123 125 12345,435,black,,1
zutse,CACCA,neut,tse,CCA,tse,,, ,32.3,0.0,0.0,CCA,,,345,,,345 12345,434,sit,,1
jicmu,CACCA,ini,jiu,CAA,ji'u,cmu,,  ,69.2,51.3,0.0,CAA,CCA,,125,345,,125 345 12345,428,basis,,1
solri,CACCA,ini,sol,CAC,sol,,, ,34.9,0.0,0.0,CAC,,,123,,,123 12345,421,solar,,1
galfi,CACCA,fin,gai,CAA,ga'i,gaf,,  ,29.4,8.9,0.0,CAA,CAC,,125,124,,124 125 12345,416,modify,,3
pixra,CACCA,neut,xra,CCA,xra,,,  pir,36.0,0.0,0.0,CCA,,,345,,,345 12345,416,picture,,1
cidja,CACCA,ini,dja,CCA,dja,,, ,62.9,0.0,0.0,CCA,,,345,,,345 12345,409,food,,1
zekri,CACCA,ini,zer,CAC,zer,zei,,  ,62.5,60.3,0.0,CAC,CAA,,124,125,,124 125 12345,409,crime,,1
namcu,CACCA,ini,nas,CAC,nac,na'u,,  ,22.2,10.5,0.0,CAC,CAA,,124,125,,124 125 12345,406,number,,2
cenba,CACCA,neut,cne,CCA,cne,,, ,17.1,0.0,0.0,CCA,,,132,,,132 12345,403,vary,,1
kerfa,CACCA,neut,kre,CCA,kre,,, ,37.6,0.0,0.0,CCA,,,132,,,132 12345,402,hair,,1
vorme,CACCA,neut,vro,CCA,vro,,, ,64.1,0.0,0.0,CCA,,,132,,,132 12345,402,door,,1
jirna,CACCA,fin,jirn,CACC,jirn,,, ,3.1,0.0,0.0,CACC,,,1234,,,1234 12345,391,horn,,1
kanla,CACCA,ini,kal,CAC,kal,,, ,21.2,0.0,0.0,CAC,,,124,,,124 12345,388,eye,,1
gunse,CACCA,fin,guns,CACC,,,, guns,0.0,0.0,0.0,,,,,,,12345,386,goose,,1
mapti,CACCA,ini,mad,CAC,mat,,, ,18.5,0.0,0.0,CAC,,,124,,,124 12345,384,fit,,2
selci,CACCA,fin,sle,CCA,sle,,, ,69.5,0.0,0.0,CCA,,,132,,,132 12345,383,cell,,1
terpa,CACCA,ini,teb,CAC,tep,te'a,,  ,29.7,26.0,0.0,CAC,CAA,,124,125,,124 125 12345,383,fear,,2
cinfo,CACCA,fin,cinf,CACC,,,,,0.0,0.0,0.0,,,,,,,12345,383,lion,,1
tanjo,CACCA,??,tau,CAA,ta'o,,, ,100.0,0.0,0.0,CAA,,,125,,,125 12345,382,tangent,,4
tarmi,CACCA,fin,tai,CAA,tai,tam,,  ,100.0,7.5,0.0,CAA,CAC,,125,124,,124 125 12345,381,shape,,3
danlu,CACCA,ini,dal,CAC,dal,da'u,,  ,30.1,12.4,0.0,CAC,CAA,,124,125,,124 125 12345,379,animal,,1
jikca,CACCA,ini,jig,CAC,jik,,, ,62.9,0.0,0.0,CAC,,,123,,,123 12345,378,socialize,,1
jibni,CACCA,ini,jbi,CCA,jbi,,, ,66.1,0.0,0.0,CCA,,,132,,,132 12345,375,near,,1
zunle,CACCA,ini,zul,CAC,zul,,, zu'a ,7.1,0.0,0.0,CAC,,,124,,,124  12345,375,left,,1
certu,CACCA,neut,cre,CCA,cre,,, ,30.9,0.0,0.0,CCA,,,132,,,132 12345,373,expert,,1
cecmu,CACCA,fin,ceu,CAA,ce'u,cem,,  ,25.7,2.7,0.0,CAA,CAC,,125,124,,124 125 12345,372,community,,1
gapru,CACCA,ini,gau,CAA,ga'u,gap,,  ,66.5,9.0,0.0,CAA,CAC,,125,123,,123 125 12345,372,above,,3
tarti,CACCA,fin,tra,CCA,tra,,, ,100.0,0.0,0.0,CCA,,,132,,,132 12345,370,behave,,1
bartu,CACCA,ini,bar,CAC,bar,,, ,78.5,0.0,0.0,CAC,,,123,,,123 12345,366,out,,1
berti,CACCA,ini,ber,CAC,ber,,, be'a ,28.2,0.0,0.0,CAC,,,123,,,123  12345,361,north,,2
canko,CACCA,fin,cau,CAA,ca'o,,, ,12.3,0.0,0.0,CAA,,,125,,,125 12345,361,window,,3
ciksi,CACCA,neut,cki,CCA,cki,,, ,50.9,0.0,0.0,CCA,,,132,,,132 12345,361,explain,,1
katna,CACCA,neut,kan,CAC,ka'a,,, ,50.2,0.0,0.0,CAA,,,125,,,125 12345,354,cut,,2
panra,CACCA,fin,pan,CAC,pa'a,,,  panr,100.0,0.0,0.0,CAA,,,125,,,125  12345,353,parallel,,3
gadri,CACCA,fin,gadr,CACC,,,,,0.0,0.0,0.0,,,,,,,12345,351,article,,1
pinka,CACCA,neut,pink,CACC,,,, pik,0.0,0.0,0.0,,,,,,,12345,350,comment,,1
minde,CACCA,neut,mid,CAC,mi'e,mid,,  ,28.1,11.2,0.0,CAA,CAC,,125,124,,124 125 12345,349,command,,1
sisti,CACCA,neut,sti,CCA,sti,,, ,77.0,0.0,0.0,CCA,,,142,,,142 12345,349,cease,,1
dinju,CACCA,fin,diu,CAA,di'u,dij,,  ,70.2,11.0,0.0,CAA,CAC,,125,124,,124 125 12345,346,building,,2
jeftu,CACCA,ini,jeb,CAC,jef,,, ,60.0,0.0,0.0,CAC,,,123,,,123 12345,344,week,,1
xirma,CACCA,neut,xir,CAC,xir,xi'a,,  ,20.5,12.4,0.0,CAC,CAA,,123,125,,123 125 12345,343,horse,,1
ruble,CACCA,neut,ble,CCA,ble,,, ,76.6,0.0,0.0,CCA,,,345,,,345 12345,339,weak,,1
gunma,CACCA,neut,gunm,CACC,,,, gum,0.0,0.0,0.0,,,,,,,12345,338,jointly,,1
pacna,CACCA,neut,pan,CAC,pa'a,,, ,16.2,0.0,0.0,CAA,,,125,,,125 12345,337,hope,,3
vitke,CACCA,neut,vik,CAC,vi'e,,, ,11.0,0.0,0.0,CAA,,,125,,,125 12345,336,guest,,1
damba,CACCA,neut,dab,CAC,da'a,dab,,  ,42.9,9.0,0.0,CAA,CAC,,125,124,,124 125 12345,334,fight,,3
nicte,CACCA,fin,cte,CCA,cte,,, ,53.2,0.0,0.0,CCA,,,345,,,345 12345,331,night,,1
javni,CACCA,ini,jai,CAA,ja'i,jva,,  ,55.7,53.2,0.0,CAA,CCA,,125,132,,125 132 12345,330,rule,,4
fonxa,CACCA,ini,fon,CAC,fon,,, ,50.9,0.0,0.0,CAC,,,123,,,123 12345,326,telephone,,1
lanzu,CACCA,neut,las,CAC,laz,,, ,15.4,0.0,0.0,CAC,,,124,,,124 12345,323,family,,4
punji,CACCA,fin,pui,CAA,pu'i,,, ,57.0,0.0,0.0,CAA,,,125,,,125 12345,321,put,,3
cunso,CACCA,ini,cun,CAC,cun,cu'o,,  ,100.0,63.1,0.0,CAC,CAA,,123,125,,123 125 12345,310,random,,1
bilga,CACCA,ini,big,CAC,big,,, ,5.1,0.0,0.0,CAC,,,124,,,124 12345,307,obliged,,2
kurji,CACCA,fin,kui,CAA,ku'i,kuj,,  ,35.3,5.0,0.0,CAA,CAC,,125,124,,124 125 12345,306,take care of,,2
manku,CACCA,ini,man,CAC,man,,, ,65.0,0.0,0.0,CAC,,,123,,,123 12345,302,dark,,2
santa,CACCA,neut,sant,CACC,sant,,, ,3.8,0.0,0.0,CACC,,,1234,,,1234 12345,302,umbrella,,1
jitro,CACCA,fin,tro,CCA,tro,ji'o,,  ,98.6,20.1,0.0,CCA,CAA,,345,125,,125 345 12345,300,control,,1
mipri,CACCA,ini,mib,CAC,mip,,, ,41.7,0.0,0.0,CAC,,,123,,,123 12345,299,secret,,2
cinba,CACCA,??,cinb,CACC,,,,,0.0,0.0,0.0,,,,,,,12345,299,kiss,,1
xanri,CACCA,ini,xar,CAC,xar,,, ,49.3,0.0,0.0,CAC,,,124,,,124 12345,297,imaginary,,2
serti,CACCA,ini,ser,CAC,ser,,, ,46.0,0.0,0.0,CAC,,,123,,,123 12345,295,stairs,,1
detri,CACCA,ini,der,CAC,de'i,det,,  ,78.0,16.0,0.0,CAA,CAC,,125,123,,123 125 12345,291,date,,2
rirni,CACCA,neut,rir,CAC,rir,,, ,28.8,0.0,0.0,CAC,,,123,,,123 12345,291,parent,,1
bitmu,CACCA,neut,bim,CAC,bim,bi'u,,  ,5.6,3.0,0.0,CAC,CAA,,124,125,,124 125 12345,290,wall,,1
fagri,CACCA,ini,fag,CAC,fag,,, ,86.4,0.0,0.0,CAC,,,123,,,123 12345,285,fire,,2
lunra,CACCA,ini,lur,CAC,lur,,, ,11.3,0.0,0.0,CAC,,,124,,,124 12345,285,lunar,,1
sanga,CACCA,fin,sag,CAC,sa'a,sag,,  ,58.2,3.6,0.0,CAA,CAC,,125,124,,124 125 12345,285,sing,,3
tordu,CACCA,ini,tod,CAC,to'u,tor,,  ,63.3,43.9,0.0,CAA,CAC,,125,123,,123 125 12345,285,short,,1
ganse,CACCA,neut,gai,CAA,ga'e,gas,,  ,35.0,11.1,0.0,CAA,CAC,,125,124,,124 125 12345,284,sense,,3
porpi,CACCA,ini,pob,CAC,pop,po'i,,  ,50.0,6.5,0.0,CAC,CAA,,124,125,,124 125 12345,279,break,,2
xadni,CACCA,ini,xad,CAC,xad,,, ,28.6,0.0,0.0,CAC,,,123,,,123 12345,279,body,,1
jorne,CACCA,neut,joi,CAA,jo'e,jon,,  ,40.8,23.9,0.0,CAA,CAC,,125,124,,124 125 12345,276,joined,,1
xamsi,CACCA,ini,xas,CAC,xas,,, ,74.7,0.0,0.0,CAC,,,124,,,124 12345,276,sea,,3
jukpa,CACCA,ini,jub,CAC,jup,,, ,42.3,0.0,0.0,CAC,,,124,,,124 12345,275,cook,,1
korbi,CACCA,fin,koi,CAA,koi,,,  kor,100.0,0.0,0.0,CAA,,,125,,,125 12345,274,edge,,2
kancu,CACCA,ini,kas,CAC,kac,,, ,51.0,0.0,0.0,CAC,,,124,,,124 12345,273,count,,2
lenku,CACCA,ini,leg,CAC,lek,,, ,20.6,0.0,0.0,CAC,,,124,,,124 12345,273,cold,,1
lumci,CACCA,fin,lui,CAA,lu'i,lum,,  ,100.0,45.0,0.0,CAA,CAC,,125,123,,123 125 12345,272,wash,,1
ranji,CACCA,neut,rai,CAA,ra'i,,, ,25.3,0.0,0.0,CAA,,,125,,,125 12345,272,continue,,3
foldi,CACCA,fin,foi,CAA,foi,flo,,  ,100.0,6.2,0.0,CAA,CCA,,125,132,,125 132 12345,271,field,,1
voksa,CACCA,neut,vog,CAC,vok,vo'a,,  ,13.6,7.5,0.0,CAC,CAA,,123,125,,123 125 12345,271,voice,,1
tarci,CACCA,ini,tar,CAC,tar,,, ,13.0,0.0,0.0,CAC,,,123,,,123 12345,270,star,,1
kalte,CACCA,ini,kad,CAC,kat,,, ,6.4,0.0,0.0,CAC,,,124,,,124 12345,269,hunt,,2
moklu,CACCA,ini,mol,CAC,mol,,,  mo'u,62.0,0.0,0.0,CAC,,,124,,,124  12345,267,mouth,,1
nanla,CACCA,fin,nanl,CACC,,,,,0.0,0.0,0.0,,,,,,,12345,267,boy,,1
nuzba,CACCA,neut,nus,CAC,nuz,,, ,5.9,0.0,0.0,CAC,,,123,,,123 12345,266,news,,2
mikce,CACCA,neut,mis,CAC,mic,,, ,18.4,0.0,0.0,CAC,,,124,,,124 12345,265,doctor,,2
cuxna,CACCA,fin,cua,CAA,cu'a,cux,,  ,18.2,4.1,0.0,CAA,CAC,,125,123,,123 125 12345,263,choose,,1
gacri,CACCA,fin,gai,CAA,gai,,, ,100.0,0.0,0.0,CAA,,,125,,,125 12345,263,cover,,3
mensi,CACCA,fin,mes,CAC,me'i,,, ,27.2,0.0,0.0,CAA,,,125,,,125 12345,262,sister,,1
tutci,CACCA,fin,tci,CCA,tci,,, ,100.0,0.0,0.0,CCA,,,145,,,145 12345,262,tool,,1
zenba,CACCA,fin,zia,CAA,ze'a,zen,,  ,31.7,16.4,0.0,CAA,CAC,,125,123,,123 125 12345,262,increase,,1
condi,CACCA,ini,coi,CAA,coi,cno,,  ,100.0,21.7,0.0,CAA,CCA,,125,132,,125 132 12345,259,deep,,1
respa,CACCA,ini,res,CAC,res,,, ,100.0,0.0,0.0,CAC,,,123,,,123 12345,257,reptile,,1
salci,CACCA,neut,sla,CCA,sla,,, ,100.0,0.0,0.0,CCA,,,132,,,132 12345,256,celebrate,,1
fetsi,CACCA,ini,fed,CAC,fet,fe'i,,  ,100.0,2.9,0.0,CAC,CAA,,123,125,,123 125 12345,255,female,,2
loldi,CACCA,ini,lol,CAC,lol,loi,,  ,19.8,6.4,0.0,CAC,CAA,,123,125,,123 125 12345,255,floor,,1
darno,CACCA,ini,dar,CAC,dar,da'o,,  ,26.2,8.7,0.0,CAC,CAA,,123,125,,123 125 12345,253,far,,1
jivna,CACCA,fin,jvi,CCA,jvi,,, ,100.0,0.0,0.0,CCA,,,132,,,132 12345,252,compete,,1
zirpu,CACCA,neut,zir,CAC,zir,zi'u,,  ,74.6,45.6,0.0,CAC,CAA,,123,125,,123 125 12345,251,purple,,2
carvi,CACCA,neut,cab,CAC,cav,,, ,5.1,0.0,0.0,CAC,,,124,,,124 12345,249,rain,,3
culno,CACCA,neut,clu,CCA,clu,,, ,18.0,0.0,0.0,CCA,,,132,,,132 12345,249,full,,1
xajmi,CACCA,ini,xam,CAC,xam,,, ,28.7,0.0,0.0,CAC,,,124,,,124 12345,249,funny,,1
jibri,CACCA,fin,jib,CAC,jib,,, ,5.0,0.0,0.0,CAC,,,123,,,123 12345,248,job,,3
sepli,CACCA,neut,sel,CAC,sei,sep,,  ,66.9,26.6,0.0,CAA,CAC,,125,123,,123 125 12345,248,apart,,1
marji,CACCA,fin,mai,CAA,mai,maj,,  ma'e ,56.2,9.5,0.0,CAA,CAC,,125,124,,124 125  12345,246,material,,4
degji,CACCA,neut,deg,CAC,deg,,, ,39.7,0.0,0.0,CAC,,,123,,,123 12345,243,finger,,1
fapro,CACCA,neut,pro,CCA,pro,,, ,70.0,0.0,0.0,CCA,,,345,,,345 12345,243,oppose,,1
vimcu,CACCA,fin,viu,CAA,vi'u,,,  vic,46.5,0.0,0.0,CAA,,,125,,,125 12345,243,remove,,2
botpi,CACCA,ini,botp,CACC,,,, bot,0.0,0.0,0.0,,,,,,,12345,243,bottle,,1
senpi,CACCA,ini,sen,CAC,sen,,, ,25.1,0.0,0.0,CAC,,,123,,,123 12345,242,doubt,,1
taxfu,CACCA,neut,tau,CAA,ta'u,taf,,  ,58.5,16.2,0.0,CAA,CAC,,125,124,,124 125 12345,242,garment,,4
xarci,CACCA,neut,xas,CAC,xac,xa'i,,  ,55.2,52.6,0.0,CAC,CAA,,124,125,,124 125 12345,241,weapon,,3
rarna,CACCA,ini,rar,CAC,rar,,, ,77.8,0.0,0.0,CAC,,,123,,,123 12345,240,natural,,1
minji,CACCA,fin,mij,CAC,mi'i,,, ,71.2,0.0,0.0,CAA,,,125,,,125 12345,238,machine,,1
cabra,CACCA,fin,car,CAC,ca'a,,, ,92.9,0.0,0.0,CAA,,,125,,,125 12345,237,apparatus,,2
nabmi,CACCA,neut,nam,CAC,nam,,, ,3.5,0.0,0.0,CAC,,,124,,,124 12345,237,problem,,1
rapli,CACCA,ini,rab,CAC,rap,,, ,95.9,0.0,0.0,CAC,,,123,,,123 12345,237,repeat,,3
birka,CACCA,ini,bir,CAC,bir,,, ,16.3,0.0,0.0,CAC,,,123,,,123 12345,235,arm,,1
cinse,CACCA,ini,cin,CAC,cin,,, ,93.8,0.0,0.0,CAC,,,123,,,123 12345,235,sexual,,1
sampu,CACCA,ini,sau,CAA,sa'u,sap,,  ,47.5,45.1,0.0,CAA,CAC,,125,124,,124 125 12345,235,simple,,3
sanji,CACCA,neut,sas,CAC,saj,,, ,10.4,0.0,0.0,CAC,,,124,,,124 12345,234,conscious,,4
dikni,CACCA,ini,dig,CAC,dik,,, ,100.0,0.0,0.0,CAC,,,123,,,123 12345,233,regular,,2
pajni,CACCA,fin,pai,CAA,pai,,,  pa'e,100.0,0.0,0.0,CAA,,,125,,,125  12345,232,judge,,1
pipno,CACCA,neut,piu,CAA,pi'o,,, ,18.5,0.0,0.0,CAA,,,125,,,125 12345,229,piano,,2
tikpa,CACCA,ini,tib,CAC,tip,,, ,82.4,0.0,0.0,CAC,,,124,,,124 12345,228,kick,,3
jitfa,CACCA,ini,jib,CAC,jif,,, ,25.1,0.0,0.0,CAC,,,124,,,124 12345,227,false,,3
renro,CACCA,neut,reu,CAA,re'o,rer,,  ,7.4,5.0,0.0,CAA,CAC,,125,124,,124 125 12345,227,throw,,2
