gismu	current_form	override	notes	final_count	pos_tendency	theme_code	meaning
xlali	xla			1	ini	10.3	bad
vifne	vif			2	neut	10.3	fresh
virnu	vri			1	neut	10.3	brave
stati	stad			1	??	10.3	talent
stace	stac			1	ini	10.3	honest
snura	nur			1	ini	10.3	secure
sinma	snia			1	neut	10.3	esteem
prane	prai			1	neut	10.3	perfect
mulno	mul			1	ini	10.3	complete
misno	mi'o			1	neut	10.3	famous
melbi	mle			1	neut	10.3	beautiful
mabla	mal			1	ini	10.3	derogative
lazni	lazn			1	fin	10.3	lazy
kusru	kus			2	neut	10.3	cruel
jursa	jurs			1	fin	10.3	severe
vlile	vil			1	ini	10.3	violent
juxre	jukr			1	fin	10.3	clumsy
funca	fua			1	fin	10.3	luck
fenki	feg			1	ini	10.3	crazy
drani	dra			1	fin	10.3	correct
fange	fang			1	fin	10.3	alien
darsi	dars			1	fin	10.3	audacity
curve	cuf			1	neut	10.3	pure
cnino	nin			1	ini	10.3	new
slabu	slau			2	neut	10.3	old
clite	lid			3	neut	10.3	polite
ckape	cab			1	neut	10.3	peril
bandu	bad			2	ini	10.3	defend
marbi	mra			1	ini	10.3	shelter
banli	bal			1	ini	10.3	great
basna	basn			1	fin	10.3	emphasize
racli	racl			1	fin	10.3	sane
prije	pis			1	ini	10.3	wise
bebna	beb			1	ini	10.3	foolish
bilga	big			2	ini	10.3	obliged
zifre	zif			1	neut	10.3	free
marde	mad			2	neut	10.3	morals
palci	pas			3	ini	10.3	evil
vrude	vue			1	fin	10.3	virtue
certu	cre			1	neut	10.3	expert
cfila	cfi			1	fin	10.3	flaw
jikca	jig			1	ini	11	socialize
sivni	sif			2	ini	11	private
lanzu	las			2	neut	11.1	family
speni	spe			1	neut	11.1	married
ninmu	nif			1	neut	11.1	woman
nanmu	nau			1	fin	11.1	man
dzena	dze			1	fin	11.1	elder
rirni	rir			1	neut	11.1	parent
mamta	maf			3	neut	11.1	mother
patfu	pa'u	tat		1	neut	11.1	father
nanla	nanl			1	fin	11.1	boy
nixli	xli			1	fin	11.1	girl
bersa	bia			1	fin	11.1	son
tixnu	tio			1	fin	11.1	daughter
bruna	bua			1	fin	11.1	brother
mensi	me_			1	fin	11.1	sister
tunba	tub			1	ini	11.1	sibling
famti	famt			1	??	11.1	aunt or uncle
tamne	tamn			1	fin	11.1	cousin
ritli	ri_			2	fin	11.2	rite
salci	sla			1	neut	11.2	celebrate
nobli	nol			1	ini	11.2	noble
mikce	mis			2	neut	11.2	doctor
zajba	zas			2	ini	11.2	gymnast
vitke	vi_			1	neut	11.2	guest
xotli	xoi	hodl		1	fin	11.2	hotel
turni	tru			1	fin	11.2.1	govern
kamni	kamn			1	fin	11.2.1	committee
catni	cai			1	fin	11.2.1	authority
vipsi	vib			2	ini	11.2.1	deputy
jecta	jes			2	neut	11.2.1	polity
jansu	jas			2	ini	11.2.1	diplomat
jaspu	jasp			1	??	11.2.1	passport
pikta	pikt			1	fin	11.2.1	ticket
flalu	fla			1	neut	11.2.2	law
pajni	pai			1	fin	11.2.2	judge
zekri	zer			1	ini	11.2.2	crime
pulji	pulj			1	neut	11.2.2	police
pinfu	pif			1	ini	11.2.2	prisoner
gunta	gud			1	neut	11.2.3	attack
jamna	jaf			1	neut	11.2.3	war
bilni	bil			1	ini	11.2.3	military
jenmi	jenm			1	fin	11.2.3	army
sonci	snoi			1	neut	11.2.3	soldier
gubni	gub			1	ini	11.3.1	public
ponse	poi			2	fin	11.3.1	possess
cpacu	cpa			1	fin	11.3.1	get
cirko	cri			1	neut	11.3.1	lose
jbera	jer			1	neut	11.3.1	borrow
dunda	dua			1	fin	11.3.1	give
lebna	leb			1	ini	11.3.1	take
pindi	pid			1	ini	11.3.1	poor
ricfu	cfu			1	fin	11.3.1	rich
dejni	dejn			1	fin	11.3.1	owe
cerda	ced			1	neut	11.3.1	heir
jdini	din			1	ini	11.3.2	money
sicni	si_			2	fin	11.3.2	coin
rupnu	ru_			1	fin	11.3.2	dollar
fepni	feb			2	ini	11.3.2	cent
banxa	bag	bank		1	ini	11.3.2	bank
zivle	vle			1	fin	11.3.2	invest
canja	cas			2	neut	11.3.3	exchange
vamji	vai			2	fin	11.3.3	value
jdima	dia			1	fin	11.3.3	price
vecnu	ve'u			1	ini	11.3.3	sell
kargu	karg			1	fin	11.3.3	costly
janta	jant			1	??	11.3.3	account
cnemu	neu			1	fin	11.3.3	reward
kagni	kagn			1	fin	11.3.4	company
cteki	ctek			1	ini	11.3.4	tax
zarci	zai			2	fin	11.3.4	market
jibri	jibr			1	fin	11.3.4	job
jerna	jern			1	neut	11.3.4	earn
briju	brij			1	ini	11.3.4	office
binra	binr			1	ini	11.3.4	insure
gusta	gust			1	fin	11.3.4	restaurant
barja	barj			1	fin	11.3.4	bar
kulnu	klu			1	fin	12.1	culture
natmi	nai			2	neut	12.1	nation
tutra	tud			1	fin	12.2	territory
gugde	gue			1	fin	12.2	country
jarbu	jarb			1	fin	12.2	suburb
tcadu	tca			1	neut	12.2	city
nurma	nuf			1	ini	12.2	rural
panka	pank			1	fin	12.2	park
bemro	bef			2	ini	12.2	North American
dzipo	dzib			1	??	12.2	Antarctican
friko	frio			1	ini	12.2	African
ketco	tco			1	ini	12.2	South American
xazdo	zdo			1	fin	12.2	Asiatic
ropno	ron			1	fin	12.2	European
lijda	jda			1	ini	12.5	religion
cevni	cef			1	ini	12.5	god
censa	ces			1	ini	12.5	holy
makfa	maf			3	neut	12.5	magic
malsi	mals			1	fin	12.5	temple
crida	rid			1	fin	12.5	fairy
ranmi	raf			3	neut	12.5	myth
larcu	lar			1	ini	12.6	art
muzga	mus			1	neut	12.6	museum
cfika	fia			2	fin	12.6	fiction
pemci	pef			1	neut	12.6	poem
prosa	rua			2	fin	12.6	prose
pixra	xra			1	neut	12.6	picture
draci	dras			1	fin	12.6	drama
tigni	tign			1	fin	12.6	perform
skina	kin			1	ini	12.6	cinema
zgike	zgi			1	ini	12.6	music
sanga	sang			1	fin	12.6	sing
dansu	dans			1	fin	12.6	dance
damri	damr			1	fin	12.6	drum
flani	flan			1	fin	12.6	flute
jgita	gid			1	neut	12.6	guitar
pipno	pi'o	pian		1	neut	12.6	piano
tabra	tabr			1	fin	12.6	trumpet
xagri	xagr			1	neut	12.6	reed
fenso	fe'o			1	ini	13.1	sew
jivbu	jivb			1	fin	13.1	weave
nivji	nivj			1	??	13.1	knit
lasna	la_			1	fin	13.1	fasten
gundi	gund			1	??	13.1	industry
fanri	fanr			1	??	13.1	factory
cange	cag			3	ini	13.1	farm
purdi	pud			1	neut	13.1	garden
crepu	reb			1	neut	13.1	harvest
sombo	sof			1	ini	13.1	sow
spofu	pof			1	ini	13.1	broken
cikre	cikr			1	??	13.1	repair
gunka	gu'a			1	neut	13.1	work
cupra	pra			1	fin	13.1	produce
finti	fin			1	fin	13.1	invent
zbasu	zba			1	fin	13.1	make
fukpi	fu'i			1	ini	13.1	copy
jadni	jai			2	fin	13.1	adorn
jukpa	jub			1	ini	13.1	cook
zmiku	zmi			1	neut	13.1	automatic
lumci	lue			1	fin	13.1	wash
molki	mlo			1	fin	13.1	mill
pilno	pli			1	fin	13.1	use
sazri	sazr			1	fin	13.1	operate
sorcu	sro			1	fin	13.1	store
zbabu	bab	spon		1	ini	13.2	soap
jalna	jaln			1	??	13.2	starch
blaci	blas			1	neut	13.2.1	glass
staku	stak			1	ini	13.2.1	ceramic
gasta	gad			1	ini	13.2.1	steel
lastu	last			1	??	13.2.1	brass
ransu	rans			1	??	13.2.1	bronze
ckabu	ckab			1	??	13.2.1	rubber
slasi	slas			1	ini	13.2.1	plastic
bukpu	bug			1	fin	13.2.1	cloth
mapni	mapn			1	??	13.2.1	cotton
matli	matl			1	ini	13.2.1	linen
silka	sig			2	neut	13.2.1	silk
korka	kog			1	ini	13.2.1	cork
mudri	mud			2	ini	13.2.1	wood
skapi	kab			1	neut	13.2.1	pelt
cinta	cint			1	ini	13.2.1	paint
xalka	xal	kol		2	neut	13.2.2	alcohol
jikru	jikr			1	neut	13.2.2	liquor
vanju	van			1	ini	13.2.2	wine
birje	birj			1	ini	13.2.2	beer
jisra	jisr			1	??	13.2.2	juice
sodva	sodv			1	??	13.2.2	soda
ckafi	kaf	kaft		1	ini	13.2.2	coffee
tcati	tcad	tcai		1	fin	13.2.2	tea
sanmi	sai			2	fin	13.2.3	meal
rectu	re'u			1	neut	13.2.3	meat
grasu	gras			1	ini	13.2.3	grease
ladru	lad			1	neut	13.2.3	milk
kruji	krus			1	fin	13.2.3	cream
matne	matn			1	fin	13.2.3	butter
cirla	cirl			1	fin	13.2.3	cheese
sakta	sad			2	neut	13.2.3	sugar
cakla	cakl			1	fin	13.2.3	chocolate
nanba	nab			1	fin	13.2.3	bread
salta	salt			1	??	13.2.3	salad
sanso	sans			1	??	13.2.3	sauce
stasu	stas			1	??	13.2.3	soup
tsapi	tsab			1	ini	13.2.3	seasoning
sigja	sig			2	ini	13.2.3	cigar
rutni	run			1	ini	13.3	artifact
tutci	tci			1	fin	13.3.1	tool
mruli	mru			1	fin	13.3.1	hammer
dinko	dink			1	??	13.3.1	nail
pijne	pijn			1	neut	13.3.1	pin
burcu	bru			1	ini	13.3.1	brush
balre	bai			2	fin	13.3.1	blade
canpa	cna			1	fin	13.3.1	shovel
dakfu	dag			2	neut	13.3.1	knife
jinci	jinc			1	??	13.3.1	shears
klupe	klue			1	neut	13.3.1	screw
komcu	kof			1	ini	13.3.1	comb
pinsi	pins			1	fin	13.3.1	pencil
penbi	penb			1	??	13.3.1	pen
xinmo	xinm			1	fin	13.3.1	ink
pelji	ple			1	fin	13.3.1	paper
smuci	smuc			1	ini	13.3.1	spoon
forca	fro			1	fin	13.3.1	fork
sacki	sack			1	fin	13.3.1	match
janbe	jab			1	neut	13.3.1	bell
lanci	lanc			1	fin	13.3.1	flag
matci	matc			1	??	13.3.1	mat
julne	ju'e			1	neut	13.3.1	net
murta	mrua			2	neut	13.3.1	curtain
dacru	dacr			1	??	13.3.2	drawer
baktu	bakt			1	neut	13.3.2	bucket
botpi	botp			1	ini	13.3.2	bottle
tanxe	tank			1	neut	13.3.2	box
lante	lant			1	fin	13.3.2	can
dakli	dakl			1	fin	13.3.2	sack
kabri	kabr			1	ini	13.3.2	cup
lanka	lank			2	??	13.3.2	basket
patxu	patk			1	fin	13.3.2	pot
palta	palt			1	ini	13.3.2	plate
tansi	tans			1	??	13.3.2	pan
minji	mi_			1	fin	13.3.3	machine
cabra	ca_			1	fin	13.3.3	apparatus
matra	matr			1	neut	13.3.3	motor
livla	lil			1	fin	13.3.3	fuel
pambe	pamb			1	neut	13.3.3	pump
toknu	tog			1	ini	13.3.3	oven
xarci	xas			2	neut	13.3.3	weapon
jbama	baf	bom		1	ini	13.3.3	bomb
danti	dan			1	ini	13.3.3	projectile
greku	greg			1	fin	13.4	frame
tsina	sin			1	ini	13.4	stage
zbepi	zbe			1	fin	13.4	pedestal
kamju	kamj			1	fin	13.4	column
garna	gar			1	ini	13.4	rail
kajna	kajn			1	fin	13.4	shelf
batke	batk			1	ini	13.4	button
xislu	xil			1	neut	13.4	wheel
jabre	jabr			1	fin	13.4	brake
linsi	lin			1	neut	13.4	chain
skori	sko			1	neut	13.4	cord
jendu	jend			1	??	13.4	axle
vraga	vra			1	fin	13.4	lever
dargu	dag			2	ini	13.5	road
klaji	klaj			1	ini	13.5	street
naxle	xle			1	ini	13.5	canal
vinji	vis			1	ini	13.5	airplane
skiji	skij			1	ini	13.5	ski
falnu	fan			1	ini	13.5	sail
carce	carc			1	fin	13.5	cart
cripu	rib			1	neut	13.5	bridge
jakne	jakn			1	??	13.5	rocket
tcana	tcan			1	fin	13.5	station
marce	mai			3	fin	13.5	vehicle
sabnu	sabn			1	??	13.5	cabin
bloti	blo			1	ini	13.5	boat
trene	ren			1	fin	13.5	train
karce	karc			1	neut	13.5	car
ginka	gig			1	ini	13.6	camp
dinju	dio			2	fin	13.6	building
kumfa	kua			1	fin	13.6	room
bitmu	bif			2	neut	13.6	wall
vorme	vro			1	neut	13.6	door
canko	cau			3	fin	13.6	window
balni	baln			1	??	13.6	balcony
serti	ser			1	ini	13.6	stairs
nilce	ni_			1	fin	13.6	furniture
jubme	jbu			1	ini	13.6	table
stizu	stis			1	fin	13.6	chair
ckana	cka			1	ini	13.6	bed
sfofa	sfof			1	??	13.6	sofa
kicne	kis			1	fin	13.6	cushion
stela	tel			1	ini	13.6	lock
ckiku	kig			1	ini	13.6	key
dasni	das			1	ini	13.7	wear
taxfu	ta'u			1	neut	13.7	garment
kosta	kos			1	neut	13.7	coat
pastu	pas			3	ini	13.7	robe
skaci	skas			1	??	13.7	skirt
creka	creg			1	fin	13.7	shirt
palku	pag			1	ini	13.7	pants
daski	dask			1	ini	13.7	pocket
gluta	glu			1	fin	13.7	glove
cutci	cus			1	ini	13.7	shoe
smoka	smog			1	fin	13.7	sock
mapku	mab			1	fin	13.7	cap
santa	sant			1	neut	13.7	umbrella
