gismu,position,oblique
jarbu,2,city of suburb
jarco,1,show
jarco,2,shown: displayed
jarco,3,shown to
jarki,1,narrow
jarki,2,narrow dimension: width
jarki,3,narrowness standard
jaspu,1,passport
jaspu,2,has passport
jaspu,3,issue passport
jaspu,4,authorized by passport
jatna,1,captain
jatna,2,captained
javni,1,rule
javni,2,prescribed by rule: required
javni,3,has rule
jbama,1,bomb
jbama,2,bomb explosive
jbari,1,berry
jbari,2,berry species
jbena,1,born
jbena,2,bear young: birthparent: parent
jbena,3,birthday: birth time
jbena,4,birthplace
jbera,1,borrow
jbera,2,borrowed: loan
jbera,3,lender: lend
jbera,4,term [time of a loan]: loan period
jbini,1,between
jbini,2,have in between
jbini,3,betweenness property
jdari,1,firm
jdari,2,meet firmness
jdari,3,firmness conditions
jdice,1,decide
jdice,2,decision
jdice,3,matter decided
jdika,1,decrease
jdika,2,property decreased
jdika,3,decrease amount
jdima,1,price
jdima,2,priced at
jdima,3,purchaser: buyer: pay price
jdima,4,set price: vendor
jdini,1,money
jdini,2,issue money
jduli,1,jelly
jduli,2,jelly composition
jecta,1,polity
jecta,2,polity territory
jeftu,1,lasts [in weeks]: week
jeftu,2,duration [in weeks]: number of weeks
jeftu,3,week standard
jegvo,1,Jehovist
jegvo,2,Jehovist aspect
jelca,1,burn
jelca,2,combustion temperature: kindling temperature
jelca,3,burning atmosphere
jemna,1,gem
jemna,2,jewel type
jemna,3,jewel source
jenca,1,shock
jenca,2,shocked
jendu,1,axle
jendu,2,spin on axle: turn: rotate
jendu,3,axle material
jenmi,1,army
jenmi,2,has army
jenmi,3,army function
jerna,1,earn
jerna,2,wages: salary: pay: earned
jerna,3,paid work
jersi,1,chase
jersi,2,pursued: chased
jerxo,1,Algerian
jerxo,2,Algerian aspect
jesni,1,needle
jesni,2,needle material
jetce,1,jet
jetce,2,jet material: spewed
jetce,3,expel jet
jetnu,1,TRUE
jetnu,2,truth standard
jgalu,1,claw
jgalu,2,clawed: has claw
jganu,1,angle
jganu,2,angle vertex
jganu,3,subtend angle: side [of an angle]
jgari,1,grasp
jgari,2,grasped: held
jgari,3,grasping appendage
jgari,4,place grasped
jgena,1,knot
jgena,2,knotted: tangled
jgina,1,gene
jgina,2,has gene: genetic: hereditary
jgina,3,genetic trait
jgira,1,pride
jgira,2,object of pride
jgita,1,guitar
jgita,2,plectrum: bow
jibni,1,near
jibni,2,has near
jibni,3,nearness property
jibri,1,job
jibri,2,employed: employee: has job
jicla,1,mixer: stir
jicla,2,mixed: stirred
jicmu,1,basis
jicmu,2,founded: based: has basis
jijnu,1,intuit
jijnu,2,intuition
jijnu,3,intuition subject
jikca,1,socialize
jikca,2,socialized with
jikru,1,liquor
jikru,2,liquor source
jilka,1,alkali
jilka,2,alkali composition
jilra,1,jealous
jilra,2,object of jealousy: enviable
jilra,3,reason for jealousy
jimca,1,branch
jimca,2,branched: has branch
jimpe,1,understand
jimpe,2,understood
jimpe,3,subject understood
jimte,1,limit
jimte,2,limited: bounded
jimte,3,limitation property
jinci,1,shears
jinci,2,cut by shears
jinga,1,win
jinga,2,prize
jinga,3,losing competitor: beaten in competition: competitor: loser
jinga,4,competition won
jinku,1,vaccine
jinku,2,vaccinated
jinku,3,vaccinated against
jinku,4,vaccination method
jinme,1,metal
jinme,2,metal composition
jinru,1,immerse
jinru,2,immersed in
jinsa,1,clean
jinsa,2,material cleaned away: dirt
jinsa,3,cleanness standard
jinto,1,well
jinto,2,fluid from well
jinto,3,well location
jinvi,1,opine
jinvi,2,opinion
jinvi,3,opinion subject
jinvi,4,grounds for opinion
jinzi,1,innate
jinzi,2,has innately
jipci,1,chicken
jipci,2,chicken species
jipno,1,tip
jipno,2,pointed: has tip
jipno,3,tip locus
jirna,1,horn
jirna,2,has horn: horned
jisra,1,juice
jisra,2,juice source
jitfa,1,FALSE
jitfa,2,falsity standard
jitro,1,control
jitro,2,controlled: puppet
jitro,3,controlled activity
jivbu,1,weave
jivbu,2,woven
jivbu,3,yarn for weaving
jivna,1,compete
jivna,2,rival: opponent
jivna,3,contest: competition
jivna,4,prize: competition goal
jmaji,1,gather
jmaji,2,gathering place
jmaji,3,gathered from
jmifa,1,shoal
jmifa,2,shoal material
jmifa,3,has shoal
jmina,1,add
jmina,2,additive: added
jmina,3,added to
jmina,4,addition result
jmive,1,live
jmive,2,aliveness standard
jordo,1,Jordanian
jordo,2,Jordanian aspect
jorne,1,joined
jorne,2,joined to
jorne,3,joint
jubme,1,table
jubme,2,table material
jubme,3,leg: pedestal: base [of table]
judri,1,address
judri,2,addressee: has address
judri,3,address system
jufra,1,sentence
jufra,2,sentence subject
jufra,3,sentence language
jukni,1,spider
jukni,2,spider species
jukpa,1,cook
jukpa,2,cooked: prepared food
jukpa,3,recipe: cooking method
julne,1,filter: net
julne,2,pass through net: screened
julne,3,stopped by net: filtered out
julne,4,net property
jundi,1,attentive
jundi,2,attended to: noted: heeded
jungo,1,Chinese
jungo,2,Chinese aspect
junla,1,clock
junla,2,measured by clock
junla,3,precision
junla,4,clock mechanism
junri,1,serious
junri,2,seriousne subject
junta,1,weight
junta,2,has weight
junta,3,gravity causing weight
jurme,1,germ
jurme,2,germ species
jursa,1,severe
jursa,2,find severe
jutsi,1,species
jutsi,2,genus of species
jutsi,3,family of species
juxre,1,clumsy
juxre,2,clumsiness standard
jvinu,1,view
jvinu,2,viewed
jvinu,3,vantage point: point-of-view
ka1: ,t,
kabri,1,cup
kabri,2,cup contents
kabri,3,cup material
kacma,1,camera
kacma,2,photographic illumination
kacma,3,photographic medium
kadno,1,Canadian
kadno,2,Canadian aspect
kafke,1,cough
kafke,2,coughed up
kafke,3,orifice coughed from
kagni,1,company
kagni,2,authorize company
kagni,3,company purpose
kajde,1,warn
kajde,2,warned
kajde,3,danger [warned of]
kajna,1,shelf
kajna,2,support shelf
kajna,3,shelf purpose
kakne,1,able
kakne,2,ability: possible: achievable
kakne,3,ability conditions: requirement
kakpa,1,dig
kakpa,2,dug out
kakpa,3,dug from
kakpa,4,digging tool
kalci,1,feces
kalci,2,defecate
kalri,1,open
kalri,2,accessible
kalri,3,has access
kalsa,1,chaotic
kalsa,2,chaotic property
kalte,1,hunt
kalte,2,prey: quarry: hunted
kalte,3,hunt purpose
kamju,1,column
kamju,2,column material
kamni,1,committee
kamni,2,charter [of a committee]: committee purpose
kamni,3,has committee
kampu,1,common
kampu,2,set with common property
kanba,1,goat
kanba,2,goat species
kancu,1,counter: count
kancu,2,set counted
kancu,3,number counted: count
kancu,4,counting units
kandi,1,dim
kandi,2,dimness property
kandi,3,find dim
kanji,1,calculate
kanji,2,calculated: derived
kanji,3,source data: calculated from
kanji,4,calculation
kanla,1,eye
kanla,2,has eye
kanro,1,healthy
kanro,2,health standard
kansa,1,with
kansa,2,accompanied
kansa,3,accompanied in
kantu,1,quantum
kantu,2,quantized
kanxe,1,conjunction
kanxe,2,1st conjunct
kanxe,3,2nd conjunct
karbi,1,compare
karbi,2,compared
karbi,3,compared with
karbi,4,property compared
karbi,5,comparison
karce,1,car
karce,2,ride in car
karce,3,propel car
karda,1,card
karda,2,card material
kargu,1,costly
kargu,2,find costly
kargu,3,costliness standard
karli,1,collar
karli,2,collared: ringed: belted: has collar
karli,3,collar material
karni,1,journal
karni,2,genre [of a journal]: journal subject
karni,3,publisher [of a journal]
karni,4,receive journal
katna,1,cutter: cut
katna,2,be cut
katna,3,piece cut
kavbu,1,capture: catch
kavbu,2,captured: caught
kavbu,3,trap
kecti,1,pity
kecti,2,pitiable: object of pity: poor
kecti,3,reason for pity: pitiful
kelci,1,play
kelci,2,plaything: toy
kelvo,1,kelvin
kelvo,2,temperature [in Kelvin]: number of kelvins
kelvo,3,kelvin standard
kenra,1,cancer
kenra,2,cancerous
kensa,1,outer space
kensa,2,outer space region: celestial body
kerfa,1,hair
kerfa,2,hairy: haired: has hair
kerfa,3,hair location
kerlo,1,ear
kerlo,2,eared: has ear
ketco,1,South American
ketco,2,South American aspect
kevna,1,cavity
kevna,2,has cavity
kicne,1,cushion
kicne,2,padded: cushioned
kicne,3,cushion material
kijno,1,oxygen
kilto,1,1000
kilto,2,in 1000's
kilto,3,1000's dimension
kinli,1,sharp
kinli,2,sharpness locus
kisto,1,Pakistani
kisto,2,Pakistani aspect
klaji,1,street
klaji,2,street location
klaji,3,accessed from street: along [a street]
klaku,1,weep
klaku,2,tears wept
klaku,3,reason for weeping
klama,1,come
klama,2,destination
klama,3,starting point: going origin
klama,4,route of going
klama,5,transportation means
klani,1,quantity
klani,2,quantifier: measure
klani,3,scale of quantity
klesi,1,class
klesi,2,superset: contain class
klesi,3,define class
klina,1,clear
klina,2,unobstructed: transmitted clearly
kliru,1,halogen: chlorine
kliru,2,halogen type
kliti,1,clay
kliti,2,clay composition
klupe,1,screw
klupe,2,use for screw
klupe,3,screw thread
klupe,4,screw body
kluza,1,loose
kluza,2,has loose covering
kluza,3,looseness locus
kobli,1,cabbage
kobli,2,cabbage species
kojna,1,corner
kojna,2,has corner
kojna,3,corner material
kolme,1,coal
kolme,2,coal source
komcu,1,comb
komcu,2,comb material
komcu,3,comb tooth
konju,1,cone
konju,2,cone material
konju,3,cone vertex
korbi,1,edge
korbi,2,edged
korbi,3,bordering: adjacent: next door
korcu,1,bent
korka,1,cork
korka,2,cork source
kosta,1,coat
kosta,2,coat material
kramu,1,acre
kramu,2,size [in acres]: number of acres
kramu,3,acre standard
kramu,4,sub-unit of acre
krasi,1,source
krasi,2,has source
krati,1,represent
krati,2,represented
krati,3,matter represented in
krefu,1,recurrence: recur
krefu,2,recurrent: recur
krefu,3,number of recurrence
krici,1,believe
krici,2,belief
krici,3,belief subject
krili,1,crystal
krili,2,crystal composition
krili,3,crystal structure
krinu,1,reason
krinu,2,justified: explained: consequence: for a reason
krixa,1,cry out
krixa,2,yell: howl: cry: cried out
kruca,1,intersect
kruca,2,intersected: crossed
kruca,3,intersection locus: intersection
kruji,1,cream
kruji,2,cream composition
kruvi,1,curve
kruvi,2,curved
kruvi,3,curve locus
kruvi,4,define curve
kubli,1,polyhedron
kubli,2,polyhedron cube dimensionality
kubli,3,face: surface: side [of cube]
kucli,1,curious
kucli,2,object of curiosity: interesting
kufra,1,comfortable: comfort
kufra,2,make comfortable: comfort
kukte,1,delicious
kukte,2,find delicious: appreciate
kulnu,1,culture
kulnu,2,has culture
kumfa,1,room
kumfa,2,structure with room
kumfa,3,room boundary
kumte,1,camel
kumte,2,camel species
kunra,1,mineral
kunra,2,mineral type
kunra,3,lode: mineral source
kunti,1,empty
kunti,2,material emptied
kurfa,1,square: right-angled
kurfa,2,square vertices: corner
kurfa,3,right-angle dimensionality
kurji,1,take care of
kurji,2,taken care of: ward
kurki,1,bitter
kurki,2,find bitter
kuspe,1,range
kuspe,2,ranged over: spanned
kusru,1,cruel
kusru,2,object of cruelty
labno,1,wolf
labno,2,wolf species
lacpu,1,pull
lacpu,2,pulled
lacpu,3,pulling locus: handle
lacri,1,rely
lacri,2,trusted: trustee: relied on
lacri,3,matter of reliance: trust
ladru,1,milk
ladru,2,milk source
lafti,1,lift
lafti,2,lifted
lafti,3,lifting locus
lafti,4,gravity lifted in
lakne,1,probable
lakne,2,likelihood condition
lakse,1,wax
lakse,2,wax source
lalxu,1,lake
lalxu,2,has lake
lamji,1,adjacent
lamji,2,has adjacent: neighbored
lamji,3,adjacency property: sequence
lamji,4,adjacency direction
lanbi,1,protein
lanbi,2,protein type
lanci,1,flag
lanci,2,has flag
lanci,3,flag design
lanci,4,flag material
lanka,1,basket
lanka,2,basket contents
lanka,3,basket material
lanli,1,analyze
lanli,2,analyzed: subject [of analysis]
lanli,3,analysis method: test
lanme,1,sheep
lanme,2,sheep species
lanme,3,flock of sheep
lante,1,can
lante,2,can contents: canned
lante,3,can material
lanxe,1,balance
lanxe,2,balancing forces
lanzu,1,family
lanzu,2,family member: relative
lanzu,3,family standard
larcu,1,art
larcu,2,craft: skill: artistic activity
lasna,1,fasten
lasna,2,fastened: anchored
lasna,3,fastened to
lasna,4,fastener
lastu,1,brass
lastu,2,brass composition
latmo,1,Latin
latmo,2,Latin aspect
latna,1,lotus
latna,2,lotus species
latna,3,lotus significance
latna,4,culture with lotus
lazni,1,lazy
lazni,2,activity avoided
lebna,1,take
lebna,2,aquisition: loot: takings: taken
lebna,3,taken from: previous owner
lenjo,1,lens
lenjo,2,image [focussed by lens]
lenjo,3,focus [of lens]
lenjo,4,refractor: lens material
lenku,1,cold
lenku,2,coldness standard
lerci,1,late
lerci,2,lateness standard
lerfu,1,letteral
lerfu,2,character set: alphabet
lerfu,3,signified by letteral
libjo,1,Libyan
libjo,2,Libyan aspect
lidne,1,precede
lidne,2,preceded: follow: behind
lidne,3,sequence preceded in
lifri,1,experience
lifri,2,"happening: event, experienced"
lijda,1,religion
lijda,2,adherents: congregation
lijda,3,creed: religious belief
limna,1,swim
limna,2,swum in
lindi,1,lightning
lindi,2,struck [by lightning]
lindi,3,lightning origin
linji,1,line
linji,2,points on line
linsi,1,chain
linsi,2,chain material
linsi,3,chain property
linto,1,lightweight
linto,2,lightweight standard
lisri,1,story
lisri,2,story subject: plot [of a story]
lisri,3,storyteller: tell story
lisri,4,hear story
liste,1,list
liste,2,set listed: cataloged
liste,3,order [of a list]
liste,4,list medium
litce,1,liter
litce,2,volume [in liters]: number of liters
litce,3,liter standard
litki,1,liquid
litki,2,liquid composition
litki,3,liquidity conditions
litru,1,travel
litru,2,route traveled
litru,3,travel means
livga,1,liver
livga,2,has liver
livla,1,fuel
livla,2,powered by fuel
logji,1,logic
logji,2,conclusion: deduction: inference: logical
lojbo,1,Lojbanic
lojbo,2,Lojbanic aspect
loldi,1,floor
loldi,2,has floor
lorxu,1,fox
lorxu,2,fox species
lubno,1,Lebanese
lubno,2,Lebanese aspect
lujvo,1,affix compound: compound predicate
lujvo,2,meaning [of affix compound]
lujvo,3,argument [of affix compound]
lujvo,4,metaphor [of affix compound]
lumci,1,wash
lumci,2,washed
lumci,3,removed by washing: dirt
lumci,4,cleanser: cleaning material: washing material
lunbe,1,bare
lunra,1,lunar
lunra,2,moon primary
lunsa,1,condense: condensate
lunsa,2,bedewed: fogged: condensation site
lunsa,3,condensation point
lunsa,4,condensation pressure
mabla,1,derogative
mabla,2,derogated: disparaged
mabla,3,derogator: derogate: disparage
mabru,1,mammal
mabru,2,mammal species
macnu,1,manual
macnu,2,manual function
macnu,3,manual conditions
makcu,1,mature
makcu,2,mature trait
makfa,1,magic
makfa,2,hold as magical
makfa,3,magician: do magic: sorceror: witch: wizard: miracle-worker
maksi,1,magnet
maksi,2,magnetic field
malsi,1,temple
malsi,2,temple religion
malsi,3,temple location: parish
mamta,1,mother
mamta,2,mothered: son: daughter
manci,1,wonder
manci,2,object of wonder: wondrous: awesome
manfo,1,uniform
manfo,2,uniform property: evenly spread
manku,1,dark
manri,1,reference
manri,2,use reference: relative [to a frame of reference]
manri,3,rule for reference
mansa,1,satisfy
mansa,2,satisfied
mansa,3,satisfaction
manti,1,ant
manti,2,ant species
mapku,1,cap
mapku,2,cap material
mapni,1,cotton
mapti,1,fit
mapti,2,matched: complemented
mapti,3,matched property
marbi,1,shelter
marbi,2,sheltered
marbi,3,threat sheltered from
marce,1,vehicle
marce,2,cargo: transported
marce,3,medium for vehicle
marce,4,vehicle propulsion: propulsion means
marde,1,morals
marde,2,has morals
marde,3,morality conditions
margu,1,mercury
marji,1,material
marji,2,composition: material type
marji,3,physical form: material form
marna,1,hemp
marna,2,hemp species
marxa,1,mash
marxa,2,mashed: smashed: crushed
marxa,3,pulp: mash
masno,1,slow
masno,2,done slowly: take a while
masti,1,month: lasts [in months]
masti,2,duration [in months]: number of months
masti,3,month standard
matci,1,mat
matci,2,mat material
matli,1,linen
matne,1,butter
matne,2,butter source
matra,1,motor
matra,2,motorized
mavji,1,oats
mavji,2,oats species
maxri,1,wheat
maxri,2,wheat species
mebri,1,brow
mebri,2,has brow
megdo,1,1.00E+06
megdo,2,quantity in 1E6's
megdo,3,1E6's dimension
mei1:,*,
mei2:,y,
mei3:,d,
mekso,1,MEX
mekso,2,rules for MEX
melbi,1,beautiful
melbi,2,find beautiful
melbi,3,beauty property
melbi,4,beauty standard
meljo,1,Malaysian
meljo,2,Malaysian aspect
menli,1,mind
menli,2,has mind: intelligent
mensi,1,sister
mensi,2,has sister: sibling [of sister]
mensi,3,sisterly bond
mentu,1,minute: lasts [in minutes]
mentu,2,duration [in minutes]: number of minutes
mentu,3,minute standard
merko,1,American
merko,2,American aspect
merli,1,measure
merli,2,measured
merli,3,measurement: size
merli,4,measuring scale
merli,5,measurement accuracy
mexno,1,Mexican
mexno,2,Mexican aspect
midju,1,middle
midju,2,has at middle
mifra,1,in code: encoded: code
mifra,2,plaintext encoded
mifra,3,code system: cipher: code
mikce,1,doctor: treat
mikce,2,patient: doctored: treated
mikce,3,ailment treated: diagnosis
mikce,4,medical treatment: cure
mikri,1,1.00E-06
mikri,2,has 1E-6 part: quantity in 1E-6's
mikri,3,1E-6's dimension
milti,1,0.001
milti,2,measured in .001's
milti,3,.001's dimension
milxe,1,mild
milxe,2,mildness property
minde,1,command
minde,2,commanded
minde,3,result commanded
minji,1,machine
minji,2,machine function
minli,1,mile
minli,2,size [in miles]: number of miles
minli,3,subunits of miles
minli,4,mile standard
minra,1,reflect
minra,2,reflected: echoed: bounce
minra,3,see reflection
minra,4,reflection: echo
mintu,1,same
mintu,2,has as same
mintu,3,sameness standard
mipri,1,secret: hide
mipri,2,kept secret
mipri,3,kept secret from: unenlightened: uninformed
mipri,4,secrecy method
mirli,1,deer
mirli,2,deer species
misno,1,famous
misno,2,hold as famous
misro,1,Egyptian
misro,2,Egyptian aspect
mitre,1,meter
mitre,2,size [in meters]: number of meters
mitre,3,meters direction
mitre,4,meter standard
mixre,1,mixture
mixre,2,ingredient: mixed in
mlana,1,side
mlana,2,has to the side
mlana,3,faced for sideways
mlana,4,frame for sideways
mlatu,1,cat
mlatu,2,cat species
mleca,1,less
mleca,2,undercut: exceeds: has as less
mleca,3,lessness property
mleca,4,lessness margin: difference
mledi,1,mold
mledi,2,mold species
mledi,3,moldy: mold on
mluni,1,satellite
mluni,2,satellite primary
mluni,3,satellite property
mluni,4,satellite orbit
moi2:,l,
moi3:,l,
mokca,1,point
mokca,2,point location
moklu,1,mouth
moklu,2,has mouth
molki,1,mill
molki,2,mill process
molki,4,mill location
molro,1,mole
molro,2,quantity in moles: number of moles
molro,3,mole standard
morji,1,remember
morji,2,remembered: memory
morji,3,memory subject
morko,1,Moroccan
morko,2,Moroccan aspect
morna,1,pattern
morna,2,patterned
morna,3,arrangement
morsi,1,dead
mosra,1,friction
mosra,2,rubbed
mosra,3,rubbed against
mraji,1,rye
mraji,2,rye species
mrilu,1,post: mail
mrilu,2,mailed: mail
mrilu,3,receive mail: addressee
mrilu,4,transmit mail: mail origin
mrilu,5,mail carrier
mruli,1,hammer
mruli,2,hammered
mruli,3,hammerhead
mruli,4,propel hammer
mucti,1,immaterial
mudri,1,wood
mudri,2,wood species
mukti,1,motive
mukti,2,motivated: means
mukti,3,has motive
mulno,1,complete
mulno,2,completion property
mulno,3,completion standard
munje,1,universe
munje,2,universe domain
munje,3,universe rule
mupli,1,example
mupli,2,property exemplified
mupli,3,set exemplified
murse,1,twilight: glimmering
murse,2,day with twilight
murse,3,twilight location
murta,1,curtain
murta,2,curtained aperture
murta,3,curtain material
muslo,1,Islamic
muslo,2,Islamic aspect
mutce,1,much
mutce,2,muchness property
mutce,3,muchness direction
muvdu,1,moving
muvdu,2,move destination
muvdu,3,move origin
muvdu,4,move path
muzga,1,museum
muzga,2,exhibited: preserved
muzga,3,museum location
nabmi,1,problem
nabmi,2,has problem: troubled: concerned
nabmi,3,problem conditions
nakni,1,male
nakni,2,species with male
nakni,3,male trait
nalci,1,wing
nalci,2,winged: alate
namcu,1,number
nanba,1,bread
nanba,2,grain in bread
nanca,1,lasts [in years]
nanca,2,duration [in years]: number of years
nanca,3,year standard
nandu,1,difficult
nandu,2,find difficult: has trouble
nandu,3,difficulty condition
nanla,1,boy
nanla,2,boy's age
nanla,3,boyhood standard
nanmu,1,man
nanvi,1,1.00E-09
nanvi,2,has 1E-9 part: quantity in 1E-9's
nanvi,3,1E-9's dimension
narge,1,nut
narge,2,plant with nut
narge,3,nut shell
narge,4,nut kernel
narju,1,orange
natfe,1,deny
natfe,2,denied: contradicted
natfe,3,logic for denial
natmi,1,nation
natmi,2,people of nation
navni,1,neon
naxle,1,canal
naxle,2,canal destination
naxle,3,canal origin
naxle,4,canal route
nazbi,1,nose
nazbi,2,has nose
nazbi,3,nostril
nejni,1,energy
nejni,2,energy type
nejni,3,energy form
nelci,1,fond
nelci,2,liked: like
nenri,1,in
nenri,2,has inside: contain: surround: enclose
ni1: ,t,
ni2: ,t,
nibli,1,necessitate
nibli,2,necessitated: entailed
nibli,3,logic system necessitating
nicte,1,night
nicte,2,day with night
nicte,3,night location
nikle,1,nickel
nilce,1,furniture
nilce,2,furnished
nilce,3,furniture purpose
nimre,1,citrus
nimre,2,citrus species
ninmu,1,woman
nirna,1,nerve
nirna,2,has nerve
nitcu,1,need
nitcu,2,needed: necessary: requirement: prerequisite
nitcu,3,purpose needed for: conditional
nivji,1,knit
nivji,2,knitted
nivji,3,knitting yarn
nixli,1,girl
nixli,2,girl's age
nixli,3,girlhood standard
nobli,1,noble
nobli,2,nobility standard: culture with nobles
notci,1,message
notci,2,message subject
notci,3,send message
notci,4,receive message
nu1: ,t,
nukni,1,magenta
nupre,1,promise
nupre,2,promised: threat
nupre,3,promisee: threatened
nurma,1,rural
nurma,2,rural of
nutli,1,neutral
nutli,2,scale with neutral
nuzba,1,news
nuzba,2,news subject
nuzba,3,news source
nuzba,4,receive news
pacna,1,"hoper, hope: wish"
pacna,2,hoped for: hope
pacna,3,likeliness of hope
pagbu,1,part
pagbu,2,part of
pagre,1,pass through
pagre,2,passed through: gateway: barrier: portal
pagre,3,passed to
pagre,4,passed from
pajni,1,judge
pajni,2,judgement subject
palci,1,evil
palci,2,evil standard: morals: ethics
palku,1,pants
palku,2,pants material
palne,1,tray
palne,2,tray contents
palne,3,tray material
palta,1,plate
palta,2,plate material
pambe,1,inject: pump
pambe,2,pumped: injected
pambe,3,pumped into
pambe,4,pumped from
pambe,5,pumping means: pump propellant
panci,1,odor
panci,2,odorous: smelly: fragrant: perfumed: rank
panci,3,smell odor
pandi,1,punctuate
pandi,2,punctuated
pandi,3,punctuation
pandi,4,punctuation effect
panje,1,sponge
panka,1,park
panka,2,maintain park
panka,3,park purpose
panlo,1,slice
panlo,2,sliced
panpi,1,peace
panpi,2,at peace with
panra,1,parallel
panra,2,paralleled
panra,3,parallelism property
panra,4,parallelism standard
pante,1,protest: complain
pante,2,object of protest
pante,3,receive protest: protested to
pante,4,complaint: protestation: protest: protest activity
panzi,1,offspring
panzi,2,offspring parent
papri,1,page
papri,2,bound pages: has page: tablet: book
parbi,1,ratio
parbi,2,in ratio
parbi,3,ratio reference
pastu,1,robe
pastu,2,robe material
patfu,1,father
patfu,2,fathered: offsprint: child: son: daughter
patlu,1,potato
patlu,2,potato species
patxu,1,pot
patxu,2,pot contents
patxu,3,pot material
pelji,1,paper
pelji,2,paper source
pelxu,1,yellow
pemci,1,poem
pemci,2,poem subject: poetic theme
pemci,3,poet
pemci,4,read poem
penbi,1,pen
penbi,2,ink for pen
penbi,3,process using pen
pencu,1,touch
pencu,2,touched
pencu,3,touched with
pencu,4,touched at
pendo,1,friend
pendo,2,befriended
penmi,1,encounter: meet
penmi,2,encountered: met
penmi,3,meeting place
pensi,1,ponder: think
pensi,2,object of thought: considered: pondered
perli,1,pear
perli,2,pear species
pesxu,1,paste
pesxu,2,paste composition
petso,1,1.00E+15
petso,2,quantity in 1E15's
petso,3,1E15's dimension
pezli,1,leaf
pezli,2,leafy: leaved
picti,1,1.00E-12
picti,2,quantity in 1E-12's
picti,3,1E-12's dimension
pijne,1,pin
pijne,2,pinned
pijne,3,pin material
pikci,1,beg
pikci,2,begged
pikci,3,begged for
pikta,1,ticket
pikta,2,has ticket
pikta,3,ticket benefit
pikta,4,ticket conditions
pilji,1,product: multiple
pilji,2,multiplicand: factor: multiplier
pilji,3,multiplier: factor: multiplicand
pilka,1,crust
pilka,2,has crust
pilno,1,use
pilno,2,used: utile: tool
pilno,3,use purpose
pimlu,1,feather
pimlu,2,feathered
pinca,1,urine
pinca,2,urinate
pindi,1,poor
pindi,2,deficiency: poverty subject
pinfu,1,prisoner
pinfu,2,captor: imprison
pinfu,3,imprisonment means: restraint
pinji,1,penis
pinji,2,has penis
pinka,1,commentary: comment
pinka,2,comment subject: commented on: mentioned
pinka,3,make comment: comment
pinka,4,commented to
pinsi,1,pencil
pinsi,2,pencil lead
pinsi,3,pencil covering
pinta,1,level
pinta,2,frame for levelness
pinxe,1,drink
pinxe,2,beverage: drunk
pinxe,3,drinking vessel
pipno,1,piano
pixra,1,picture
pixra,2,depicted: illustrated: model
pixra,3,draw picture: artist
pixra,4,picture medium
plana,1,plump
plana,2,plumpness standard
platu,1,planner: plan
platu,2,plan made: plan [n]
platu,3,planned out: planned for
pleji,1,payor: pay
pleji,2,payment: fee
pleji,3,payee: paid
pleji,4,paid for: goods/services: charged for
plibu,1,pubic
plibu,2,has pubes: sexed
plini,1,planet
plini,2,planet primary
plini,3,planetary property: orbital parameters
plini,4,planet orbit
plipe,1,leap
plipe,2,leaped to: destination [of a leap]
plipe,3,leaped from: starting point [of a leap]
plipe,4,leap height
plipe,5,propulsion for leap
plise,1,apple
plise,2,apple species
plita,1,plane
plita,2,point in plane
plixa,1,plow: till
plixa,2,plowed
plixa,3,plowing tool: plow: hoe
plixa,4,pull plow
pluja,1,complicated
pluja,2,complexity property
pluja,3,complexity standard
pluka,1,pleasant
pluka,2,pleased
pluka,3,pleasing conditions
pluta,1,route
pluta,2,route to: destination
pluta,3,route from: starting point
pluta,4,point on route
polje,1,fold
polje,2,folded: creased
polje,3,folding crease: fold [n]: crease [n]
polno,1,Polynesian
polno,2,Polynesian aspect
ponjo,1,Japanese
ponjo,2,Japanese aspect
ponse,1,possess
ponse,2,possessed: owned: chattel
ponse,3,possession right
porpi,1,break
porpi,2,broken piece: splinter: shard
porsi,1,sequence: is in order: sequenced
porsi,2,ordering rule: sequence: sort order: arrangement
porsi,3,sequence base set
porto,1,Portuguese
porto,2,Portuguese aspect
prali,1,accrues [to]: profit: accrual
prali,2,profits: gains: benefits [from]
prali,3,profitable: beneficent
prami,1,love
prami,2,loved: beloved: inamorata: beau
prane,1,perfect
prane,2,perfection property
preja,1,spread
preja,2,is spread to: overrun
preja,3,is spread from
prenu,1,person
preti,1,question
preti,2,question subject
preti,3,questioner: ask
preti,4,questioned: asked: questioned
prije,1,wise
prije,2,object of wisdom
prije,3,views as wise
prina,1,print
prina,2,printing surface: imprinted
prina,3,printing tool: stamp: printing press
pritu,1,right
pritu,2,has to the right: left
pritu,3,frame for right
prosa,1,prose
prosa,2,prose subject: topic
prosa,3,write prose: author
prosa,4,read prose
pruce,1,process
pruce,2,input to process
pruce,3,process result
pruce,4,process stage: step
pruni,1,elastic
pruxi,1,spirit
pulce,1,dust
pulce,2,dust source
pulce,3,dusty
pulji,1,police
pulji,2,law: enforced by police
pulni,1,pulley
pulni,2,pulley function
pulni,3,pulley axle
punji,1,put: set
punji,2,placed: is put
punji,3,placed at
punli,1,swelling
punli,2,swollen
punli,3,swelling material
purci,1,past
purci,2,has in its past: after: preceded by
purdi,1,garden
purdi,2,has garden
purdi,3,grown in garden: crop
purmo,1,powder
purmo,2,powdered
racli,1,sane
racli,2,sanity standard
ractu,1,rabbit
ractu,2,rabbit species
radno,1,radian
radno,2,quantity in radians
