lujvo,meaning
jefyfa'o,weekend (culture-dependent; nothing in the word says this is THE end of the week)
jelgau,to burn (tr.)
jelgauca'a,cigarette lighter
jelspo,to burn down､ to destroy by fire
jempau,army unit
jercru,credit
jerle'i,rent
jesycro,needle pain､ feeling pins and needles
jesyspa,cactus
jetfa'i,to find whether something is true or not
jetka'u,bit [binary digit; computer unit]
jetka'ubivmei,byte (cf. bivjetka'u)
jetpai,to judge that something is true､ to judge according to a rule
jetycipra,to test something as being true or false
jgarau,degree/radian (ambiguous)
jgene'ota'u,bow-tie
jgiski,to boast
jgisku,to boast
ji'ecla,old
ji'efri,to live life [as an adventure]､ to experience life
selji'efri,life [as in ”half of your life”]
ji'epru,to live before､ to preceed
ji'esti,to render extinct､ to kill off
ji'icni,to feel that [of someone]
ji'isku,to express an opinion
jibgu'a,employee
jibja'a,boss､ manager
jibypli,employ someone
jibysti,to retire､ to be laid off
jibystigau,to lay off､ to fire
jifselkri,delusion､ false belief
jifsku,to tell an untruth [either lie､ or honest mistake]
jifyjovnarje'u,true-or-false [of logical functions]
jiglanxe,to draw with an opponent
jikybebna,geek､ dork
jikce'u,society
jikfanza,rude､ disrespectful [event]
jikfazgau,rude､ disrespectful [person]
jiknei,to like socialising with
jikri'i,formal [of language register; of visits]
jikri'ipro,impropriety､ non-conformist
jiksre,faux-pas
jiktamne,brothers (fig.)､ socially
jikydu'i,equal [socially; politically]
jikyju'o,to be acquainted with､ to know someone
jikyzeitra,roguish､ malicious
jimcai,gleaming [of metal]
jimda'izbe,anvil
jimdaxsna,zing､ clang
jimto'a,brassy tone [Schmettern]
jincarna,revolve
jincla,ellipse､ ellipsoid､ oval
jirgau,to immerse (tr.)
jintitnanba,donut
jintydi'u,well house
jipmokca,vertex
jirlu'i,bathes､ washes in a bath (tr.)
jirsezlu'i,bathe､ wash oneself in a bath
jisygau,to clean (tr.)
jisysa'e,to rub something clean
jivrei,ask about/for people's opinions
jizvanbi,habitat
jmadegji,toe
jmadegycalku,toenail
jmavra,pedal
jmeja'i,jewel
jmekunra,gemstone
cakyjmepi'a,mother of pearl
jmero'i,gemstone
jmigau,leading/helping to understanding
jmimau,gaining knowledge､ having a better understanding
mivyselna'a,age [of person]
jomcmi,set union
jonja'e,result of appending/joining
jonjmina,append
jonma'o,conjunction
ju'itra,be attentive､ pay attention
judri'a,to attract attention
judzga,actively observes/notices
jufsu'a,sentence structure､ syntax
ju'agri,paragraph
jugyklu,Chinese culture
julra'o,degree [360 in a circle]
junbe'i,to inform､ to tell
jungau,inform
junri'a,to make known
juryri'a,to make someone serious､ to bring someone down to earth
juntytri,gravitationally attract
jupfi'i,to create something culinary
jupku'a,kitchen
jupyzba,to cook
jurdri,solemn､ gloomy
jurja'o,serious-looking
jvajvo,lujvo following a rule､ dikyjvo
jvige'u,racing [grey]hound
veljvine'u,medal､ trophy
jvipai,referee
jvixi'a,racehorse
jvoste,lujvo list
jvozba,to make lujvo
ka'amru,axe
ka'anri'a,to arrange to have cut [”he cut his tonsils”]; to cut (agentive)
ka'arkakpa,to carve
ka'arkomcu,saw
ka'arvi'u,to cut off
ka'inruxpre,angel of..
ka'urbi'o,to become quantised
kabryca'u,cupful
kabrylai,cupful
kabryselmre,cupful
kacna'u,natural number
kadnymergli,Angloamerican
kadyto'a,muted in tone
kadyto'atci,mute for musical instrument
kafkytrofli,fail to control one's cough
kafybarja,cafe
kagycange,agribusiness
kagytrocange,agribusiness
kairpai,to evaluate
kakpyca'a,digging apparatus [e.g. bulldozer､ (but not shovel)]
kakmli,sniffle
kalgai,eyelid
kalgaikre,eyelash
karsna,vowel
kalselvi'i,tear
kasydzu,to wander､ to ramble
kasfle,to tumble [of stream]
kasygri,mob [of people]
kaskla,to wander､ to ramble
kasri'a,to mess up something
kasystu,a ”jumble”､ a junkpile
kasysu'a,a ”chaos”､ a chaotic jumble of
kalvi'i,to weep
kambitki'u,evidence
kamcemtamne,brotherhood (fig.)
kamgubga'i,to publicise､ to make public [to modify something so that it has the property of being public]
kamgubgau,to publicise､ to make public
kamje'uja'o,obvious､ self-evident
kamjybo'u,spine､ emphasizing skeletal aspect
kamjybo'usle,vertebra､ individual backbone unit
kamna'ujbi,approximately equal to [numerical]
kamnynunpe'i,committee meeting
kampavyselmanri,absolutism､ having only one reference point
kampeikai,thoughtful [of comments]
kamsorselmanri,relativity､ having several points of view
kamyzanfu'a,good luck
kankei,to play with someone
kelkansa,to play with someone; person one plays with [or against]
kankla,to accompany someone to
ka'ozma,healthier than... [typically someone else]
ka'orze'a,to get healthier
kanydzu,walk together with
kanzutla'i,sit together with someone next to､ beside [inc. table]
kapsle,skin cell､ scale
kapta'u,skin-hugging clothing [e.g. bicycle shorts]
kapyplita,scales [of skin]
karbi'o,to open (intr.)
karcykla,to drive
karcyli'u,to drive [travel]
karcylu'a,a drive
karcymuvgau,to drive someone/something
kargau,to open (tr.)
karmolcinba,french kissing
karnyfi'u,journalist
karnyke'u,edition of a magazine [as a recurrence of it]
karnypra,To publish a magazine､ editor
karnysku,journalist
karpo'i,something breaks open
katcpi,predatory bird
katstu,[hunting] ground
kaurpo'esi'opre,communist
refcfa,to begin again
refcpa,to get something again
kelbe'e,sport/game team
keiblo,toy boat
keicre,game expertise
keldai,toy
keigri,team
kelgrimi'u,partner､ team-mate
kelkarda,playing cards
kelkubli,dice
kelpi'e,hop､ skip
keipro,play against
kelsnada,to succeed within a game [e.g. score a goal]
keizdi,to entertain as a game
selkeizdi,to have fun playing...
kercrida,elf
kercrori'a,sharply [of whistling]; ear-splitting
krekandi,blond colour
kerjbikre,sideburns
kesli'ufi'a,science fiction､ emphasis on space travel
kevykakpa,to bore a hole
kevykalri,open through a hole
kevykargau,to dig open
kevzda,cave as dwelling
kixsku,to cry out something
ki'ijdi,deciding the relations between､ analyzing
ki'orgratretrefrinynidysnidu,Newton (SI Unit)
skebaplai,Newton (SI Unit)
ki'orsamsrorau,kilobyte
ki'otre,kilometre
kicymatci,matress
kijyselspo,rusted
kikla'a,to lock
kilcna,spade
kilga'a,javelin
kilga'axa'i,lance
kilmru,[ice] pick
kiltci,sharpener
kindi'u,movie theatre､ cinema
kinplapre,movie director; cinematographer
kityzba,potter
selkityzba,pottery
klacpe,to call someone to come
kladji,to want to go somewhere
selkladji,where one wants to go､ destination
klagau,to make one go
klakansa,to come with someone､ to accompany someone
kakydirgo,teardrop
kakyjau,tears
klamu'o,to arrive (mo'u klama)
klasti,to stop [going]
klastigau,to stop someone going
leicmi,to be in class...､ to be classed as
klecmiri'a,to class (tr.)
klemi'u,those in the same class as...
klerafsi,classifier affix for le'avla
kligau,to clear (tr.)
tolkligau,to block (tr.)
kalselklijmi,[intellectual] clarity
klode'a,wait for something to come into some vicinity/to show up; to wait for something somewhere
klunu'i,culturally neutral
klusmu,connotation､ culturally specific meaning
kluzei,taboo
kotygu'e,Scotland
komnicygau,to comb
koncuptai,ellipse､ ellipsoid
kosne'ota'u,scarf
kosycreka,jacket､ jumper
krastu,origin
kreblabi,colour of blond [or white] hair
krecau,bald
kreka'apre,haircut､ barber
krekemburpelxu,brown-blond
krepelxu,blond [color]
kriselsku,creed
kroce'a,bow
krogarna,bow
krokurfa,rhombus
kroranda,deflect
krori'a,to bend
kroxadjbi,to lean towards someone
krudakyxa'i,scimitar
kubykurfa,square
kuctai,crucifix､ cross [shape､ form]
kucyga'a,cross [the torture implement]
kukydja,tasty food､ treat､ morsel
kuncpastu,a [metal] mine
kurkubli,cube
kurtre,square meter
kusyja'a,opressor
kuzycmi,set intersection
la'agle,bondage､ B & D [bondage and discipline]
la'arjai,to grab､ to grip
la'enri'a,to make something likely
la'erme'a,less probable
la'ornai,Rome､ the Latin nation
labypiltricu,birch
labyxu'e,pink
lactcicygau,betray
ladycange,dairy farm
ladyfaigau,milkman
lafcpa,pick up
lafmuvgau,to raise､ to lift up
lagnirbakfu,clitoris
lagygasrango,clitoris
lagypinji,clitoris
lagypunli,clitoris
lagyselkukrango,clitoris (possibly slangy?)
lairdu'i,equal in quantity
lairpai,to estimate
lajre'e,tram
laktergu'i,candle
lambavdei,tomorrow
lamgri,block､ group adjacent to another
selci lamgri,cell block
slelamgri,cell block
lamjeftu,next/previous week
lampru,recent､ immediately preceding
lamprudo'i,yesterday [daytime]; (more strictly
lamxa'u,next-door neighbour
lalcta,to examine something
cpumi'i,tractor
larfi'i,artist
larja'ostu,art museum､ gallery
larjdixau,artistic judgement､ tastefulness
larjdixla,bad taste､ tasteless
larku'a,art chamber [Kunstkammer]
larmuzga,gallery
larsku,literature､ art as expression
larxau,having artistic merit､ well-done
la'avla,conjunction､ generic linking word (not necessarily cmavo)
lasysilka,polyester
laurba'u,to bellow
laurbi'o,to get loud
laurckasu,loudly mock
laurgau,to amplify
laurgauca'a,amplifier､ microphone
laurxajmi,loud joker､ loudmouth
laurxampre,loud joker､ loudmouth
lausku,to shout something
lauzma,louder
laxli'i,axis of symmetry
lazyki'i,relative of...
lazmi'u,relative of...
lazycange,family farm
lazycmi,member of the family
lazyzda,family home
lebdji,to want [to take something from someone]
lebyka'e,to be able to take away､ can take away
lebvla,loan word
lejbai,to bribe
lejyselmu'i,to bribe
le'otci,eyeglasses
lebri'a,to cause to be taken away
lecydo'i,afternoon
lecydu'e,too late
lecysoltei,afternoon
ledgrute,mushroom
leivla,word describing a group､ superordinate
lejypi'o,rent
lekta'e,icebox
lerlogji,symbolic logic
lerpoi,a string､ a sequence of letterals
lerseltcidu,text
lervla,word denoting a letteral､ name of a letter
li'erbe'a,firstborn son
li'erbu'a,eldest brother
li'ergenja,runner [root]
li'urnei,fond of travelling
li'urta'e,suitcase
lidbi'e,lightning breeze､ wind during a storm
lidvru,thunder
friselku'e,range of experience､ [lifetime]
lijgri,a row of...
lijvelsku,a line of text
lijyselni'a,underlined
lijysu'a,a line of...
likybi'o,to liquefy
likygau,liquify
limkla,to swim out
limvra,oar
lidysna,thunder
linga'axai,flail
lirgau,hasten､ make something early
lirmau,earlier
liryrai,earliest
lisku'a,story-room､ room in which story is set
lisnuntoi,attempting/drafting of story
listigni,hero of the story､ dramatis personae
lisycku,story book
litli'avla,”a word of good-bye”
livbai,to displace､ to expel
jbopli,lojbanist
lojbaugri,Logical Language Group
lojbau,loglan
jbotadni,Lojban student
lojycipra,logical proof
lojytadji,algorithm
lolbu'u,carpet (matci)
lolcau,bottomless
lolde'u,dirt
lolni'a,underground
lolro'iboi,cobblestones
blocra,prow
lumcu'i,washable
lujlu'adi'u,maze
lumpu'o,washing powder
lumvau,wash-basin
lubyseljma,barefoot
lurboi,lunar orb
lurcukla,the moon [spoken of as something that can be full or new]
luptci,screwdriver
lutfa'o,dead end
lutke'a,opening [e.g. ”There are openings to all sides - (role mlana cu lutke'a”)]
lutku'a,side chamber
luzbi'o,to loosen
luzycre,blouse [loose shirt]
ma'arbi'i,valley
ma'arfe'a,canyon
ma'ersazri,to drive a vehicle
ma'onrafsi,rafsi representing cmavo
ma'oste,cmavo list
ma'ucla,old [of living entity]
macri'a,to astonish
mafcre,wizard
mafmi'e,mage
maixra,sculpture
majmi'u,of the same material as...
makfartci,compass
makyvelvei,magnetic storage
maldu'ecni,mawkish､ sentimental
malgletoi,try to get into someone's pants､ sexually harrass [rape?]
malgli,inappropriately relying on English in [Lojban] expression
maljgita'a,to boast
malkemcombau,inappropriately relying on some other language for expression; calqueing
malmliselgu'i,ill-lit
malpavyselbau,monolingual as derogatory term
malrarbau,inappropriately relying on natural language in [artificial language] expression; having an undesirable trait typical of natural languages
malticta'axlu,to sweet-talk someone [deceitfully]
malxlujikca,to sweet-talk someone socially
malxlujikta'a,to sweet-talk someone [socially]
mamjipci,hen
mampa'u,maternal grandfather
manbi'o,to darken (intr.)
manrai,darkest
manri'a,darken (tr.)
mansykanji,calculates to someone's satisfaction
mantyjalra,termite
mantymamta,ant queen
mantyzda,ant nest､ anthill
manze'a,to get darker
matybi'o,to become fitting
matpai,approve something for something
mardikca,positive electricity
marnybu'u,canvas
masyce'u,parish
zmana'u,positive number
zmazau,prefer
maxyvru,crash
mecna'u,negative number
me'ispe,person married to one's sister; brother-in-law
mecrai,least
mekpau,constituent of a mathematical expression
menbe'i,mind-transfer､ communicating what is on the mind
menca'a,a supercategory of ”the subconscious” inter alia; mental mechanism
menji'u,mental outlook
menmikce,mental health practicioner､ psychiatrist､ psychologist､ counsellor etc
merbau,American English
merfei,US cent
mergu'e,USA
merja'a,the president of the US
merje'a,US as a state
merkadno,angloamerican
merklu,US culture
mernai,US as a nation
mertru,US Government
meryru'u,the US dollar
mextutra,Mexico
mi'ecpe,to demand
midnoi,orders､ message giving orders
mi'esku,instruct
termi'esku,instructions
midvla,command word､ keyword
mi'irlarcu,technology
mi'irlarfi'a,science fiction､ emphasis on technology
mi'irselfinfi'a,science fiction､ emphasis on technology
mi'ispi,component of a machine､ spare part
misyselsi'a,glorified
misyzau,to glorify
mitmlu,to seem to be the same as､ to look just like
mibma'o,1st person pronoun
micka'agau,to operate on someone
micka'aku'a,operating theatre
mickarli,surgical collar
micydi'u,clinic､ surgery､ [hospital]
mijdo'i,midday
mijdorsai,lunch
mijycisysla,Summer solstice
mijycte,midnight
miksnidu,microsecond
mikygra,micrograms
milsnidu,millisecond
cmizu'e,participate
minba'u,to continue､ to add [of speaking]
minci'a,to continue､ to add [of writing]
midyca'a,apparatus for giving instructions; inter alia､ computer operating system
mirlanxe,symmetrical
mirsarxe,symmetrical
mipstu,to hide (intr.)
mipypro,hidden hostility
mipypu'i,to hide something (tr.)
mirsna,echo
mitcinglepre,non-heterosexual､ queer､ MOTSS
mitcinpampre,non-heterosexual､ queer､ MOTSS
mitfa'e,palindromic
mitmo'a,following the same pattern
mitnarsi'u,different from each other
mitpavycinglepre,homosexual
mitpavycinpampre,homosexual
mitsi'u,the same to each other
mitsmuvla,synonym
mivdalmuzga,zoo
mivgau,to reincarnate/resurrect someone
mivmu'i,life-goal [quest]
mivmu'e,world of the living､ nature
mlabimke'a,alcove
mlakla,dodge､ avoid､ sidestep
mlaselfa'a,sideways
mleba'i,splendour
mlejgi,vain [of appearance]
mlerai,most beautiful
mliba'u,to speak mildly
mlibra,somewhat big
mlibi'e,breeze
mliburna,mildly embarrassed
mlicintunta,necking
mlifanza,slightly annoyed
mlifrili,somewhat easy
mligapru,a bit above
mligla,warm
mliri'a,to milden
mliselmabla,somewhat derogated､ 'rascal' etc.
mlisli,relatively low in tone
mlisnosli,baritone
mlisutsli,mezzo-soprano
mlitoinandu,somewhat difficult to do､ taking some effort
mlixai,mildly hurting､ bruising
mluri'a,make something seem
mo'isro,memory
mo'isti,forget something
mocpecli'i,tangent to a curve
mojri'a,to remind [of event]
mojypei,to reminisce about
mojysu'a,structure of rememberance､ memorial
molgapru,palate
molgle,oral sex
molko'a,corner of mouth
molre'u,gum
moltu'u,mouthpiece of instrument
monfu'i,an emulation
monfu'igau,to emulate
monmuprai,model [of behaviour]
mojgau,remind
mojmau,has a better memory than
mosyvi'u,to rub off
mosycpu,to drag
mrajymledi,rye-mold
mrajymledi snexu'i,LSD
mrena'u,real number
mriste,mailing list
mrobi'o,to die
mrocanci,to die away
mrofanta,life-preserving
mrofoi,cemetery
mroke'a,grave
mromu'e,the Underworld
mrori'a,to kill [of event]
mrori'i,funereal､ funeral
mroruxpre,ghost
mrospe,widow/er
mrostu,grave
mrovau,coffin
muclai,spoonful
mudbli,block of wood
mudyctijalra,termite
mudyfagri,wood fire
mudyka'apre,woodcutter､ lumberjack
mudypexsilka,rayon
mudyselcrepu,timber
mu'ejva,natural law
mu'etru,Lord of the Universe
mukygei,motivatedly-happy
mulbri,complete predicate
mulgau,to complete some action
mulgri,a complete set､ with no parts missing [e.g. deck of cards]
mulna'u,integer
smuge'a,semantics
mu'ezda,world
musmalsi,mosque
tcebra,huge
muvra'itra,inert
ka muvra'itra,inertia
na'acto,century
na'arcartu,calendar
na'arke'udei,anniversary
na'irmabru,bat
nabysmi,cake､ anything resembling bread
nabzba,baker
nadmau,more difficult
nadmo'i,remembers with difficulty
nadrai,most difficult
nadva'u,to gasp
nafmupli,exception
nafxu'a,to deny [of person]
nairterfi'a,national author
naiske,ethnology
naknalspe,bachelor
nakyganti,testicles
nakpa'i,boyfriend [lover]
kamnakseltro,patriarchy
naktro,patriarch
kamnakseltru,patriarchy
naktru,patriarch
kamnakydzeseltru,patriarchy
nakydzetru,patriarch
kamfe'idzeseltru,matriarchy
fetydzetru,matriarch
kamfetseltro,matriarchy
fe'itro,matriarch
kamfetseltru,matriarchy
fe'itru,matriarch
nakspe,husband
nakybakni,bull
nalci'o,old [not-young]
nalcnedatni,a constant
nalcumselfanva,untranslatable
na'irselpezli,fern
naldasri'a,make someone take clothing off
naldzukla,to go somewhere not on foot
nalfadysmato'a,subtone of wind instrument
nalfrinyna'u,irrational number
nalgaixai,to expose something [harmfully]
nalgeiselflira,someone whose face was mum
nalgundei,non-working day､ weekend day or holiday
naljizykai,extrinsic quality
nalkiryri'a,”ungrateful” [not making you thankful]
nalkrecau,non-bald
nalmatryma'e,unmotorised vehicle
nalmuvzbe,foundations､ fixing and stopping something from moving
nalnerkla,to fail to enter
nalpruselpli,brand-new､ unused
nalre'ucti,vegetarian
nalrolmei,not all of
nalrolmei klesi,proper subset
nalrolmeilei,proper subset
nalsajypei,instinct
nalseljuncizra,mysterious
nalselvau,a pool of liquid [not contained]
nalsimcabna,non-simultaneous
nalsirkla,to wander､ to meander
nalsti,relentless､ unceasing
nalspaji,expectation
nalsutydzukepkla,to go without walking fast
nalsutydzukla,to go without walking fast
nalterjuncizra,mysterious
naltinri'a,deafening; make someone unable to hear something
nalvo'aba'ubinselba'u,buffer sound [interconsonantal]
nalvo'abinselba'u,buffer sound [interconsonantal]
nalxaumau,not better than
nalylecyvu'e,prompt､ on-time
nalyli'u,fixed､ static [e.g. stars]
nalylumcu'i,non-washable
nabysnuji,bread sandwich
nanfi'o,southern Africa
nanmerko,southern US､ the South
narmitsi'u,different to each other
narselfendi,atom [not divisible]
natpau,tribes [of Israel]､ clans (NOT territories)
nairbau,national language､ ethnic language
naudre,heap of men
zbibu'u,handkerchief
nebyka'a,guillotine
nebyka'aca'a,guillotine
neizma,prefers､ likes X more than Y does
neldu'e,fanaticism
nenxaksu,energy-consuming
nerbi'o,to enter something
nercreka,singlet､ undershirt
nerfle,to flow in
nerkla,to enter
nermolre'u,gum
nerta'u,underwear
ni'ablo,submarine
nitkro,stooped [of body]､ bent down
nitcpare,to climb down
ninrai,newest
nibgei,logically necessitated to be happy
nibypoi,logical implications
selru'a co nibypoi,premises for sorites
nicygai,to cover something neatly [e.g. spread the table]
nilcitmidju,is in the middle as far as age is concerned (e.g. neither the oldest nor the youngest of three children)
nilcre,expertise
nilda'ibandu,armor class [of role playing games]
nildicka'ukezyjdika,electrically negative (abbreviated to dicka'ujdika､ dicyjdika)
nilji'a,points
niljigrau,A single grade of winnitude
nilre'i,hit points [of role playing games]
nilsau,age; more pertinently､ familiarity
niltermakfa,spell level [of role playing games]
niltolci'o,age
nilxa'u,population
nilyla'e,chances
nimci'o,woman-child
nimcre,blouse [ladies' shirt]
nimjizdunkri,feminism
nimnaujizdunkri,feminism
ninpe'i,to meet for the first time
ninpengau,to introduce someone to someone else
ninselkakpa,newly-dug
ninzba,to create
nipsri,cellotape､ cellophane tape
nipsrisro,cellotape holder/dispenser
nirci'e,nervous system
nitflevoi,to float down [using parachute]
nitkla,descend [go underneath something]
nitmu'e,Underworld
nitsa'o,slope down
nitybu'u,sheet [of bed]､ sheet placed under something; bedsheet
nityta'u,clothing worn on the lower part of the body
nitytu'u,tunnel
normro,undead
normromi'e,to command undead action [of roleplaying games]
normu'o,not quite､ not completely
norpante,can't complain
norvaismu,an aside､ a not important expression; an obscure interpretation of
nolnei,royalist､ aristrocratist
nolni'u,lady
nolrai,king [especially as 'primus inter pares']
nolrainanla,prince
nolraiti'u,princess
nolraitru,king
nolraitrube'a,prince
nolraitruti'u,princess
nolraixli,princess
nolraizda,palace
nolzda,palace [not necessarily royal]
nonmau,positive [numerically]
nonmauna'u,positive number
nonme'a,negative [numerically]
nonmecna'u,negative number
norsi'ata'a,to speak to someone informally [for example､ to use the Tu form in a language which has it]
norsnosli,tenor
norsutsli,alto
noryra'e,don't hold back
notcreka,T-shirt with a slogan on it
notcrida,angel､ messenger spirit
nujdja,sandwich as food
nunbavyfi'a,generic science fiction
nunboitipyjvikezboi,football ball
nunci'ebasti,replacement of a system; inter alia､ revolution
nunclapi'e,long jump
nunctikezgau,to feed (cf. ctigau)
nunje'aga'ibai,revolution､ coup d'etat
nunjupca'u,space where cooking happens
nunkeici'e,playing system [of roleplaying games]
nunlejnei,spendthrift
nunmafyjoida'a,swords and sorcery [of roleplaying games]
nunmroruxpre,Angel of Death､ Grim Reaper
nunmrostu,place of death､ as opposed to mrostu
nunpencku,appointment book､ diary
nunpeiri'a,thought-provoking
nunposnei,greedy､ rapacious
nunseltickri,suspicious [of there being trickery]
nunsimta'a,conversation
nunsladansu,ball [dance]
nunsoidji,to want to become a soldier (as opposed to soidji)
nunsolcanci,sunset
nunterlejnei,greedy
nunxumsne,'trip'､ drug-induced hallucination
nunzgaju'a,observative sentence
nunzvaju'o,to know someone is there､ to notice someone､ to know someone's whereabouts
nurbe'i,to archive something
nurcau,treacherous､ unsafe
nurgau,protect､ safeguard
nurprecau,orphaned､ deprived of any guardian
nurpu'i,to stash something
nutli'a,in tanru for derailed; to veer from path
nuzyki'a,herald
nuzyxagji,hungry [for news]
pa'arcau,hopeless､ desperate
pa'arpei,optimist
pa'ezma,more perfect
pafspe,stepmother､ spouse of father of...
pacraistu,Hell
pacruxpre,demon
pacruxtutra,Hell
pacyselzu'e,sin
pacyxlu,to tempt
pacyzu'e,to sin
pafybu'a,uncle
pafybunspeme'i,sister of aunt by marriage
pairvu'e,fairness
pakskaci,pant-skirt
palcau,without profit､ for free
paltydamri,cymbal
paltylu'i,dishwasher [person]
paltylumca'a,dishwasher [machine]
pambasti,love-substitute
pamnabmi,the problem that is love
pampemyzba,erotic poet
pamsa'a,serenade
pamta'a,to speak words of love､ to flirt
pamyzautra,romantic
patydzu,go on protest march
patpai,to blame
papcpi,peace-bird､ dove
papkufra,content
papri'a,to pacify
paprysfe,page as quantity of text
paprysfelai,page as quantity of text
papygei,serene
paspalku,coveralls
pasyskaci,dress/gown [full length garment]
paurpo'e,part-ownership [e.g. shares]
pavdeicitsi,aniversary day
pavmeijbe,only-begotten
pavmoijbe,first-born
pavycinglepre,monosexual [non-bisexual]
pavycinpampre,monosexual [non-bisexual]
pavypruda'i,with an upbeat､ flam stroke
pavysei,alone
pavyseljirna,unicorn
pavyskojmavra,una corda pedal of piano
pavysu'i,first argument
pavmoisu'i,first argument
pavyterfrinyna'u,integer
pavyvla,single word
pazvau,pregnant
pazyspe,son-in-law､ daughter-in-law
pazysperirni,offspring's parent in law､ consuegro/a
pe'ocme,nickname
pecke'a,hole for touching､ incl. hole of wind instrument
peckevgai,pad of wind instrument
pecta'o,touchboard､ fingerboard
pecta'osle,fret of guitar
pectcu,need to touch
pesrei,mental question､ to ask oneself
peircauji'i,a feeling [intuition]
pesnunpe'i,seminar
peirselra'u,troubled by thoughts
peitse,to sit thinking
pejri'a,to spread (tr.)
pelselkre,blond [person]
pelnimre,lemon
pempau,canto､ section of poem
pempra,to write poems
pemsa'a,bard
pedrai,to make feel welcome､ to be as nice as can be to; to be someone's best friend
pengri,group meeting､ group gettogether
penydjuxa'a,letter of introduction
pespe'i,to seminar
pesri'a,to suggest
pesti'i,hypothesize
selpeiti'i,hypothesis
pevbakykalci,bullshit
pevjicla,fuss､ disturbance
pevrisnyjelca,heartburn (malglico)
pevycuvgau,purge (fig.)､ political
pezyfaltricu,deciduous tree
pezysigja,cigar
pi'ejvi,leap competition､ track & field
pi'orci'a,to type
pibrango,gonad
pibyta'u,lap lap､ panties､ jocks､ boxer shorts
pidrai,poorest
pifstidi'a,bail
pijvri,heroic､ model citizen
pijvritra,to behave heroically､ exemplary
pimselpezli,fern
pincyvi'i,to urinate
pinflani,transverse flute
pinjyca'a,vibrator
pinjydakli,condom
pinjymolgle,fellatio
pinke'a,cavern
piksku,to comment
pipcinki,grasshopper
pipybanfi,frog
pipyjalra,grasshopper
xraski,to depict
pitytu'a,plain
pixri'a,to water [a plant]
pixsla,banquet
pixydji,want to drink
pizysostei,some of the time
pledi'i,paper money
plesigja,cigarette
plexa'a,paper letter [not electronic]; ”snail mail”
plicru,to allow someone to use something
terplicru,open for business
pliri'a,uses [e.g. ”The theory uses these constructs”]
plisytisna,apple pie/puff/turnover
plisytricu,apple tree
plitadji,manner of use､ function
pitna'u,complex number [in 2-d representation]
plixau,useful
plokarlycreka,shirt [with collar]
plopijne,staple
plopijnyla'a,to staple
plopijnytci,stapler
pojyfa'u,fall to pieces [of house]
po'aspo,to blow something up
porja'este,the result of ordering something､ a sorted list
pojma'a,volcano
pojri'a,blasting [with dynamite]
popri'a,to shatter (tr.)
popselgu'i,illuminated by slashes/strips/flecks of light
popygau,to break (tr.)
porjmina,to append (tr.)
porla'i,successive [e.g. ”two successive Olympic games”]
porselfai,taking turns
porveljmina,the result of appending something to something
posnei,greedy､ rapacious
posri'a,make someone an owner of something
po'edji,to want to have something
precau,deserted [place]
pregri,group of people
pretai,figure [as in ”a shadowy figure approaches”]
pretrocange,family farm
retpei,mental question､ to ask oneself
velprevelma'e,human-powered vehicle [e.g. bicycle､ rickshaw]
prezda,house
pripre,printer
prityxa'e,right hand
prolanxe,uneven [of combat､ fight]
prucedra lisri,old saga
prucedrylisri,old saga
prucedra,historical
prucimri'a,to previously moisten､ to premoisten
prujeftu,a previous week
prulamjeftu,the immediately previous week､ last week､ the preceding week
prula'i,recent､ immediately preceding､ last､ the preceding
prulamcte,last night､ the immediately preceding night [nighttime]､ the night [nighttime] before (cf. prulamvanci)
prulamvanci,last evening､ the immediately preceding night､ the night before
bavlamvanci,the next evening､ the immediately following evening､ this evening/tomorrow evening (depending on current time of day)
pruru'a,to presuppose
selpruru'a,an assumption､ a preconception
pruselpli,used､ second-hand
pruselpo'e,pre-owned､ second-hand
prusoi,a veteran
ruxycrida,spirit
prulamdei,yesterday､ the immediately preceding day､ the previous day
prulamrai,the latest
prupla,to fore-plan､ to intend､ on purpose
prusofto,former USSR､ CIS
ra'artei,due time
ra'etci,tool for holding things [including brooches､ wrenches､ pliers]
ra'irta'a,to rattle on
ra'udri,bitter [of emotion]
ra'urcau,blissfully unaware､ unperturbed､ untroubled
racmau,more delicate
rairgu'e,superpower
rairnau,hero
rajma'a,cliff
rajycla,tall
rajyclamau,taller [of stature]
rajyflani,recorder [flute]
rajyke'a,a pit
rajykevloi,floor of pit
rajymudri,stake
rajysirdra,straight [as in ”sit up straight”]
rajyto'agri,chord
rajytu'u,vertical tunnel/tube [e.g. manhole]
ralgau,to point out as principal; to put in charge
ralselva'i,most valuable､ critical
raltca,capital
ranbo'u,cartilage､ gristle
rancimde'u,moor
rancimderke'a,bog
rancindu,soft oak
rapcki,to keep explaining
rapteryrei,keep asking
rapyda'i,to beat (tr.)
rarbau,natural language
rarge'a,natural grammar
rarjva,law of nature､ law of physics
rarlalske,physics
rarmi'e,druid､ wizard
rarske,natural science､ physics
rartapla,naturally occuring tile/cake
rarvanbi,habitat
rastergu'i,lantern
rasyselpi'a,greased､ anointed
ratmidju,nucleus
ratske,[nuclear] physics
ratsru,electron
ravycta,look through
ravypi'e,to leap across
re'azda,house
rerjvi,to compete in the discus
recyjupcarca'a,A spit [as in cooking meat]
bregau,to prepare､ to ready
refsipna,go back to sleep
refsku,recapitulation
refyfa'i,to rediscover
rejgau,to record something
veirse'u,secretary of...
veirseljibri,secretary of...
