gismu,freq,inflation,meaning
drata,1278,,other
drudi,50,,roof
dugri,20,(x),logarithm
dukse,433,,excess
dukti,54,,opposite
dunda,1020,,give
dunja,16,,freeze
dunku,102,,anguish
dunli,350,,equal
dunra,39,,winter
dzena,91,,elder
dzipo,5,,Antarctican
facki,569,,discover
fadni,181,,ordinary
fagri,139,,fire
falnu,13,,sail
famti,7,,aunt or uncle
fancu,64,,function
fange,100,,alien
fanmo,211,,end
fanri,2,,factory
fanta,166,,prevent
fanva,726,,translate
fanza,125,,annoy
fapro,150,,oppose
farlu,547,,fall
farna,121,,direction
farvi,79,,develop
fasnu,958,,event
fatci,666,,fact
fatne,14,,reverse
fatri,121,,distribute
febvi,42,,boil
femti,5,,10exp-15
fendi,72,,divide
fengu,163,,angry
fenki,109,,crazy
fenra,93,,crack
fenso,16,,sew
fepni,91,,cent
fepri,19,,lung
ferti,40,(x),fertile
festi,87,(x),waste
fetsi,77,,female
figre,7,,fig
filso,1,,Palestinian
finpe,191,,fish
finti,609,,invent
flalu,248,,law
flani,20,,flute
flecu,127,,flow
fliba,69,,fail
flira,189,,face
foldi,99,(x),field
fonmo,4,,foam
fonxa,206,,telephone
forca,18,,fork
fraso,182,(x),French
frati,43,,react
fraxu,171,,forgive
frica,767,,differ
friko,200,,African
frili,305,,easy
frinu,14,,fraction
friti,82,,offer
frumu,15,,frown
fukpi,73,,copy
fulta,25,,float
funca,28,,luck
fusra,48,,rotten
fuzme,136,,responsible
gacri,118,,cover
gadri,350,,article
galfi,313,,modify
galtu,216,,high
galxe,35,,throat
ganlo,83,,closed
ganra,91,,broad
ganse,217,,sense
ganti,24,,testicle
ganxo,74,,anus
ganzu,58,,organize
gapci,25,,gas
gapru,206,,above
garna,12,,rail
gasnu,1277,,do
gasta,30,,steel
genja,38,,root
gento,53,,Argentinian
genxu,9,,hook
gerku,2764,,dog
gerna,426,,grammar
gidva,45,,guide
gigdo,6,(x),10exp+09
ginka,62,,camp
girzu,355,,group
gismu,6524,,root word
glare,365,(e),hot
gleki,702,,happy
gletu,200,,copulate
glico,401,,English
gluta,15,,glove
gotro,6,,10exp+24
gradu,128,,unit
grake,132,,gram
grana,116,,rod
grasu,28,,grease
greku,24,,frame
grusi,163,,gray
grute,103,,fruit
gubni,44,,public
gugde,355,,country
gundi,6,,industry
gunka,572,,work
gunma,321,,jointly
gunro,48,,roll
gunse,349,,goose
gunta,118,,attack
gurni,76,,grain
guska,14,,scrape
gusni,346,,illumine
gusta,95,,restaurant
gutci,106,,cubit
gutra,18,,womb
guzme,28,,melon
jabre,5,,brake
jadni,64,,adorn
jakne,23,,rocket
jalge,168,,result
jalna,5,,starch
jalra,29,,cockroach
jamfu,105,,foot
jamna,87,,war
janbe,26,,bell
janco,54,,shoulder
janli,26,,collide
jansu,6,,diplomat
janta,16,,account
jarbu,18,,suburb
jarco,336,,show
jarki,56,,narrow
jaspu,11,,passport
jatna,85,,captain
javni,158,,rule
jbama,23,,bomb
jbari,25,,berry
jbena,231,,born
jbera,55,,borrow
jbini,131,,between
jdari,91,,firm
jdice,179,,decide
jdika,82,,decrease
jdima,130,,price
jdini,236,,money
jduli,6,,jelly
jecta,159,,polity
jeftu,165,,week
jegvo,55,,Jehovist
jelca,66,,burn
jemna,39,,gem
jenca,18,,shock
jendu,3,,axle
jenmi,66,,army
jerna,39,,earn
jersi,118,,chase
jesni,26,,needle
jetce,13,,jet
jetnu,863,,TRUE
jgalu,27,,claw
jganu,13,,angle
jgari,134,,grasp
jgena,33,,knot
jgina,16,,gene
jgira,52,,pride
jgita,16,,guitar
jibni,233,,near
jibri,203,,job
jicla,16,,stir
jicmu,195,,basis
jijnu,48,,intuit
jikca,198,,socialize
jikru,4,,liquor
jilka,3,,alkali
jilra,23,,jealous
jimca,41,,branch
jimpe,1374,,understand
jimte,59,,limit
jinci,26,,shears
jinga,54,,win
jinku,7,,vaccine
jinme,25,,metal
jinru,30,,immerse
jinsa,54,,clean
jinto,53,,well
jinvi,1029,,opine
jinzi,53,,innate
jipci,75,,chicken
jipno,55,,tip
jirna,34,,horn
jisra,15,,juice
jitfa,177,,FALSE
jitro,144,f,control
jivbu,19,,weave
jivna,85,,compete
jmaji,86,,gather
jmifa,3,,shoal
jmina,126,,add
jmive,430,,live
jordo,1,v,Jordanian
jorne,184,,joined
jubme,699,,table
judri,125,,address
jufra,503,,sentence
jukni,44,,spider
jukpa,152,,cook
julne,38,,net
jundi,272,,attentive
jungo,93,(x),Chinese
junla,25,,clock
junri,52,,serious
junta,107,,weight
jurme,13,,germ
jursa,19,,severe
jutsi,100,,species
juxre,35,,clumsy
jvinu,112,,view
kabri,167,,cup
kacma,31,,camera
kadno,10,,Canadian
kafke,161,,cough
kagni,49,,company
kajde,120,,warn
kajna,3,,shelf
kakne,648,,able
kakpa,96,,dig
kalci,53,,feces
kalri,98,,open
kalsa,63,,chaotic
kalte,247,,hunt
kamju,33,,column
kamni,30,,committee
kampu,89,,common
kanba,33,,goat
kancu,121,,count
kandi,109,,dim
kanji,159,(e),calculate
kanla,309,(x),eye
kanro,159,,healthy
kansa,479,,with
kantu,69,f,quantum
kanxe,35,,conjunction
karbi,52,,compare
karce,488,,car
karda,55,(x),card
kargu,72,,costly
karli,5,,collar
karni,121,,journal
katna,241,x,cut
kavbu,194,,capture
kecti,39,,pity
kelci,461,,play
kelvo,42,,kelvin
kenra,4,,cancer
kensa,24,,outer space
kerfa,298,,hair
kerlo,61,,ear
ketco,27,,South American
kevna,336,,cavity
kicne,35,,cushion
kijno,5,,oxygen
kilto,70,(x),1000
kinli,78,,sharp
kisto,10,,Pakistani
klaji,152,,street
klaku,135,,weep
klama,5302,,come
klani,618,,quantity
klesi,331,(x),class
klina,56,,clear
kliti,11,,clay
klupe,62,,screw
kluza,9,,loose
kobli,7,,cabbage
kojna,49,,corner
kolme,12,(x),coal
komcu,10,(x),comb
konju,18,,cone
korbi,65,,edge
korcu,28,,bent
kosta,18,(x),coat
kramu,3,,acre
krasi,262,,source
krati,34,,represent
krefu,583,,recur
krici,819,,believe
krili,9,,crystal
krinu,193,,reason
krixa,176,,cry out
kruca,41,,intersect
kruji,12,,cream
kruvi,29,,curve
kubli,50,,cube
kucli,143,,curious
kufra,89,,comfort
kukte,50,,delicious
kulnu,228,,culture
kumfa,1016,,room
kumte,36,,camel
kunra,10,,mineral
kunti,100,,empty
kurfa,23,(x),square
kurji,218,,take care of
kurki,20,,bitter
kuspe,44,,range
kusru,74,,cruel
labno,14,,wolf
lacpu,54,,pull
lacri,47,,rely
ladru,51,,milk
lafti,92,,lift
lakne,154,,probable
lakse,19,(x),wax
lalxu,149,,lake
lamji,159,,adjacent
lanbi,7,,protein
lanci,110,,flag
lanka,34,,basket
lanli,56,,analyze
lanme,30,,sheep
lante,32,,can
lanxe,25,,balance
lanzu,241,,family
larcu,82,,art
lasna,81,,fasten
lastu,12,,brass
latmo,26,,Latin
latna,20,,lotus
lazni,59,,lazy
lebna,297,,take
lenjo,13,,lens
lenku,203,,cold
lerci,97,(x),late
lerfu,425,,letteral
lidne,104,,precede
lifri,363,,experience
lijda,167,,religion
limna,88,,swim
lindi,23,,lightning
linji,143,,line
linsi,30,,chain
linto,16,,lightweight
lisri,579,,story
liste,220,,list
litce,37,,liter
litki,61,,liquid
litru,475,,travel
livga,6,,liver
livla,20,,fuel
logji,368,,logic
lojbo,1230,,Lojbanic
loldi,202,,floor
lorxu,461,,fox
lujvo,5797,,affix compound
lumci,111,,wash
lunbe,43,,bare
lunra,240,(x),lunar
lunsa,5,,condense
mabla,289,,derogative
mabru,94,,mammal
makcu,59,,mature
makfa,145,,magic
maksi,8,x,magnet
malsi,75,,temple
mamta,756,,mother
manci,73,,wonder
manfo,13,,uniform
manku,171,,dark
manri,62,,reference
mansa,108,,satisfy
manti,53,(x),ant
mapku,82,,cap
mapni,18,,cotton
mapti,303,,fit
marbi,47,,shelter
marce,53,,vehicle
marde,33,,morals
margu,33,,mercury
marji,137,,material
marna,60,,hemp
marxa,12,,mash
masno,155,,slow
masti,175,,month
matci,35,(x),mat
matli,12,,linen
matne,20,,butter
matra,27,,motor
mavji,39,,oats
maxri,13,,wheat
mebri,76,,brow
megdo,6,(x),10exp+06
mekso,90,,MEX
melbi,997,,beautiful
meljo,2,,Malaysian
menli,290,,mind
mensi,206,,sister
mentu,100,,minute
merko,306,(x),American
merli,117,(x),measure
mexno,18,,Mexican
midju,87,(x),middle
mifra,22,,code
mikce,171,,doctor
mikri,4,,10exp-06
milti,7,(x),.001
milxe,461,,mild
minde,260,,command
minji,139,,machine
minli,29,,mile
minra,115,,reflect
mintu,459,,same
mipri,189,,secret
mirli,17,,deer
misno,138,,famous
misro,10,,Egyptian
mitre,698,,meter
mixre,32,,mixture
mlana,101,,side
mlatu,1928,,cat
mleca,184,,less
mledi,32,,mold
mluni,248,,satellite
mokca,71,,point
moklu,163,,mouth
molki,38,,mill
molro,25,x,mole
morji,483,,remember
morna,78,,pattern
morsi,383,,dead
mosra,13,,friction
mraji,8,,rye
mrilu,231,,mail
mruli,93,,hammer
mucti,40,,immaterial
mudri,116,,wood
mukti,383,,motive
mulno,512,,complete
munje,417,,universe
mupli,208,,example
murse,49,,glimmering
murta,9,,curtain
muslo,23,(x),Islamic
mutce,1587,(x),much
muvdu,439,,move
muzga,19,,museum
nabmi,223,,problem
nakni,81,,male
nalci,108,,wing
