gismu,freq,inflation,meaning
centi,3,(x),.01
cnisa,3,,lead
jendu,3,,axle
jilka,3,,alkali
jmifa,3,,shoal
kajna,3,,shelf
kramu,3,,acre
radno,3,,radian
sirxo,3,,Syrian
sombo,3,,sow
xurdo,3,,Urdu
zetro,3,,10exp+21
fonmo,4,,foam
jikru,4,,liquor
kenra,4,,cancer
mikri,4,,10exp-06
ransu,4,,bronze
romge,4,,chrome
tabno,4,,carbon
xampo,4,,ampere
xinmo,4,,ink
zalvi,4,,grind
dzipo,5,,Antarctican
femti,5,,10exp-15
jabre,5,,brake
jalna,5,,starch
karli,5,,collar
kijno,5,,oxygen
lunsa,5,,condense
nanvi,5,,10exp-09
nikle,5,,nickel
pesxu,5,,paste
pruni,5,,elastic
skiji,5,,ski
sufti,5,,hoof
xagri,5,,reed
zivle,5,,invest
decti,6,(x),.1
gigdo,6,(x),10exp+09
gotro,6,,10exp+24
gundi,6,,industry
jansu,6,,diplomat
jduli,6,,jelly
livga,6,,liver
megdo,6,(x),10exp+06
rakso,6,,Iraqi
rinci,6,,drain
sacki,6,,match
sanso,6,,sauce
tsina,6,,stage
zbani,6,,bay
zinki,6,,zinc
balji,7,,bulb
bindo,7,,Indonesian
cunmi,7,,millet
famti,7,,aunt or uncle
figre,7,,fig
jinku,7,,vaccine
kobli,7,,cabbage
lanbi,7,,protein
milti,7,(x),.001
panlo,7,,slice
patlu,7,,potato
slami,7,,acid
stero,7,,steradian
vidru,7,,virus
vitci,7,,irregular
vraga,7,,lever
brodo,8,,predicate var 4
cokcu,8,,soak up
maksi,8,x,magnet
mraji,8,,rye
pandi,8,(x),punctuate
pilji,8,,multiply
purmo,8,,powder
samcu,8,,cassava
sodna,8,,sodium
tanjo,8,,tangent
caxno,9,,shallow
cidro,9,,hydrogen
genxu,9,,hook
kluza,9,,loose
krili,9,,crystal
murta,9,,curtain
penbi,9,(x),pen
staku,9,,ceramic
tansi,9,,pan
tunka,9,,copper
baktu,10,,bucket
cfine,10,e (colin),wedge
ckunu,10,,conifer
crepu,10,,harvest
kadno,10,,Canadian
kisto,10,,Pakistani
komcu,10,(x),comb
kunra,10,,mineral
misro,10,,Egyptian
punli,10,,swelling
slanu,10,,cylinder
tsapi,10,,seasoning
baxso,11,,Malay-Indonesian
cigla,11,,gland
jaspu,11,,passport
kliti,11,,clay
navni,11,,neon
pastu,11,,robe
skaci,11,x,skirt
sorgu,11,x,sorghum
tirse,11,,iron
xebro,11,,Hebrew
zmiku,11,,automatic
bakri,12,,chalk
ckabu,12,,rubber
dejni,12,,owe
dekpu,12,,gallon
dekto,12,(x),10
garna,12,,rail
kolme,12,(x),coal
kruji,12,,cream
lastu,12,,brass
marxa,12,,mash
matli,12,,linen
vukro,12,,Ukrainian
ckeji,13,,ashamed
damri,13,,drum
falnu,13,,sail
jetce,13,,jet
jganu,13,,angle
jurme,13,,germ
lenjo,13,,lens
manfo,13,,uniform
maxri,13,,wheat
mosra,13,,friction
nilce,13,,furniture
smuci,13,,spoon
xispo,13,,Hispanic
bavmi,14,,barley
daplu,14,,island
fatne,14,,reverse
frinu,14,,fraction
guska,14,,scrape
labno,14,,wolf
rilti,14,,rhythm
sliri,14,,sulfur
trano,14,,nitrogen
viknu,14,,viscous
zajba,14,,gymnast
boxfo,15,,sheet
canti,15,,gut
ctile,15,,petroleum
frumu,15,,frown
gluta,15,,glove
jisra,15,,juice
naxle,15,,canal
nimre,15,,citrus
pambe,15,,pump
salta,15,,salad
sinso,15,,sine
skori,15,x,cord
slari,15,,sour
stasu,15,,soup
tatru,15,,breast
tunba,15,,sibling
xedja,15,,jaw
zargu,15,,buttock
canpa,16,,shovel
cinza,16,,tongs
dunja,16,,freeze
fenso,16,,sew
janta,16,,account
jgina,16,,gene
jgita,16,,guitar
jicla,16,,stir
linto,16,,lightweight
senta,16,,layer
spita,16,,hospital
stela,16,,lock
tabra,16,,trumpet
tinci,16,,tin
vibna,16,,vagina
bifce,17,,bee
mirli,17,,deer
nivji,17,,knit
parbi,17,,ratio
snipa,17,,sticky
forca,18,,fork
gutra,18,,womb
jarbu,18,,suburb
jenca,18,,shock
konju,18,,cone
kosta,18,(x),coat
mapni,18,,cotton
mexno,18,,Mexican
sluni,18,,onion
tarla,18,,tar
tenfa,18,,exponential
vamtu,18,(x),vomit
cicna,19,,cyan
fepri,19,,lung
jivbu,19,,weave
jursa,19,,severe
lakse,19,(x),wax
muzga,19,,museum
pimlu,19,,feather
pinca,19,(x),urine
plibu,19,,pubic
runme,19,,melt
slasi,19,,plastic
xruba,19,,buckwheat
bidju,20,,bead
dugri,20,(x),logarithm
flani,20,,flute
kurki,20,,bitter
latna,20,,lotus
livla,20,,fuel
matne,20,,butter
palta,20,,plate
pinta,20,,level
sivni,20,,private
sunla,20,,wool
tanko,20,,tobacco
xutla,20,,smooth
zbabu,20,,soap
badna,21,,banana
cartu,21,(x),chart
polje,21,,fold
silka,21,,silk
softo,21,,Soviet
tengu,21,,texture
xindo,21,,Hindi
banxa,22,,bank
mifra,22,,code
sodva,22,,soda
sraku,22,,scratch
vlina,22,,alternation
zungi,22,,guilt
binra,23,,insure
cinje,23,,wrinkle
jakne,23,,rocket
jbama,23,,bomb
jilra,23,,jealous
kurfa,23,(x),square
lindi,23,,lightning
muslo,23,(x),Islamic
vifne,23,,fresh
dacru,24,,drawer
darsi,24,,audacity
ganti,24,,testicle
greku,24,,frame
kensa,24,,outer space
pikci,24,,beg
plixa,24,,plow
rango,24,,organ
rijno,24,,silver
vipsi,24,,deputy
batke,25,,button
creka,25,,shirt
fulta,25,,float
gapci,25,,gas
jbari,25,,berry
jinme,25,,metal
junla,25,,clock
lanxe,25,,balance
molro,25,x,mole
taske,25,,thirst
xecto,25,,100
banfi,26,,amphibian
bilni,26,,military
blaci,26,,glass
carce,26,,cart
janbe,26,,bell
janli,26,,collide
jesni,26,,needle
jinci,26,,shears
latmo,26,,Latin
nejni,26,,energy
palku,26,,pants
tanbo,26,,board
vlagi,26,,vulva
bemro,27,,North American
dikni,27,,regular
jgalu,27,,claw
ketco,27,,South American
matra,27,,motor
smani,27,,monkey
spali,27,(x),polish
tamca,27,,tomato
tujli,27,,tulip
tunta,27,,poke
cradi,28,,radio
dasri,28,,ribbon
funca,28,,luck
grasu,28,,grease
guzme,28,,melon
korcu,28,,bent
perli,28,,pear
sakci,28,,suck
sigja,28,,cigar
stani,28,,stalk
vensa,28,,spring
zbepi,28,,pedestal
budjo,29,,Buddhist
civla,29,,louse
cumla,29,,humble
jalra,29,,cockroach
kruvi,29,,curve
minli,29,,mile
patxu,29,,pot
pijne,29,,pin
sobde,29,,soya
stagi,29,,vegetable
cilta,30,,thread
cindu,30,,oak
gasta,30,,steel
jinru,30,,immerse
kamni,30,,committee
lanme,30,,sheep
linsi,30,,chain
pilka,30,,crust
plita,30,,plane
senci,30,,sneeze
xarju,30,,pig
xotli,30,,hotel
bratu,31,,hail
cakla,31,,chocolate
cidni,31,,knee
clupa,31,,loop
kacma,31,,camera
sligu,31,,solid
vikmi,31,,excrete
xasne,31,,sweat
xrabo,31,,Arabic
ckasu,32,,ridicule
dikca,32,,electric
dimna,32,,fate
lante,32,,can
mixre,32,,mixture
mledi,32,,mold
porto,32,,Portuguese
randa,32,,yield
sarlu,32,,spiral
skuro,32,,groove
vanju,32,,wine
xalbo,32,,levity
xarnu,32,,stubborn
xazdo,32,,Asiatic
xislu,32,,wheel
burcu,33,,brush
catni,33,,authority
ckiku,33,,key
jgena,33,,knot
kamju,33,,column
kanba,33,,goat
marde,33,,morals
margu,33,,mercury
nutli,33,,neutral
preja,33,,spread
silna,33,,salt
snidu,33,,second
spisa,33,,piece
stati,33,,talent
tamji,33,,thumb
cripu,34,,bridge
critu,34,,autumn
jirna,34,,horn
krati,34,,represent
lanka,34,,basket
ralci,34,,delicate
runta,34,,dissolve
siclu,34,,whistle
tirxu,34,,tiger
ctebi,35,,lip
cutne,35,,chest
dirgo,35,,drop
galxe,35,,throat
juxre,35,,clumsy
kanxe,35,,conjunction
kicne,35,,cushion
matci,35,(x),mat
sfubu,35,,dive
tamne,35,,cousin
tcena,35,(x),stretch
bunda,36,,pound
danre,36,,pressure
dirce,36,,radiate
kumte,36,,camel
prali,36,(x),profit
sluji,36,,muscle
vindu,36,,poison
dapma,37,,curse
litce,37,,liter
tagji,37,,snug
trati,37,x,taut
trene,37,,train
tunlo,37,,swallow
tutra,37,,territory
citsi,38,,season
genja,38,,root
julne,38,,net
molki,38,,mill
nurma,38,,rural
pinsi,38,(x),pencil
tixnu,38,,daughter
bongu,39,(x),bone
clika,39,(x),mossy
dakli,39,(x),sack
dunra,39,,winter
jemna,39,,gem
jerna,39,,earn
kecti,39,,pity
mavji,39,,oats
sputu,39,,spit
tarbi,39,,embryo
ferti,40,(x),fertile
mucti,40,,immaterial
satre,40,,stroke
torni,40,x,twist
cnici,41,,orderly
dinko,41,,nail
jimca,41,,branch
kruca,41,,intersect
cpina,42,,pungent
curnu,42,,worm
djine,42,(x),ring
febvi,42,,boil
kelvo,42,,kelvin
rotsu,42,,thick
rufsu,42,,rough
sumji,42,(x),sum
brodu,43,,predicate var 5
frati,43,,react
lunbe,43,,bare
pulce,43,,dust
stace,43,,honest
titla,43,,sweet
gubni,44,,public
jukni,44,,spider
kuspe,44,,range
rigni,44,,disgusting
skoto,44,,Scottish
talsa,44,,challenge
bargu,45,,arch
boxna,45,,wave
bradi,45,,enemy
cimde,45,,dimension
gidva,45,,guide
balni,46,,balcony
nirna,46,,nerve
ratni,46,,atom
tcana,46,,station
bliku,47,,block
burna,47,,embarrassed
lacri,47,,rely
marbi,47,,shelter
sfasa,47,,punish
tapla,47,,tile
tubnu,47,,tube
fusra,48,,rotten
gunro,48,,roll
jijnu,48,,intuit
ponjo,48,(x),Japanese
salpo,48,,slope
xendo,48,,kind
bakfu,49,,bundle
bumru,49,,fog
cimni,49,,infinite
cnebo,49,,neck
kagni,49,,company
kojna,49,,corner
murse,49,,glimmering
ralte,49,,retain
ranti,49,,soft
rirci,49,,rare
sfofa,49,,sofa
slaka,49,,syllable
venfu,49,,revenge
drudi,50,,roof
kubli,50,,cube
kukte,50,,delicious
rectu,50,,meat
rinju,50,,restrain
datka,51,,duck
derxi,51,,heap
ladru,51,,milk
pikta,51,,ticket
ranmi,51,,myth
sabji,51,,provide
sarxe,51,,harmonious
tivni,51,,television
jgira,52,,pride
junri,52,,serious
karbi,52,,compare
sraji,52,,vertical
tisna,52,,fill
xruki,52,,turkey
canlu,53,,space
gento,53,,Argentinian
jinto,53,,well
jinzi,53,,innate
kalci,53,,feces
manti,53,(x),ant
marce,53,,vehicle
pindi,53,,poor
stika,53,,adjust
sunga,53,,garlic
tonga,53,,tone
xriso,53,,Christian
balre,54,,blade
calku,54,,shell
cinla,54,,thin
cunso,54,,random
daski,54,(x),pocket
dukti,54,,opposite
janco,54,,shoulder
jinga,54,,win
jinsa,54,,clean
lacpu,54,,pull
rutni,54,,artifact
vasxu,54,,breathe
xukmi,54,,chemical
cnemu,55,,reward
ctaru,55,,tide
cukla,55,,round
jbera,55,,borrow
jegvo,55,,Jehovist
jipno,55,,tip
karda,55,(x),card
nukni,55,,magenta
bisli,56,(x),ice
cando,56,,idle
clite,56,,polite
jarki,56,,narrow
klina,56,,clear
lanli,56,,analyze
ragve,56,,across
sitna,56,,cite
snuti,56,,accidental
xadba,56,,half
crisa,57,,summer
ranxi,57,,irony
rusko,57,x,Russian
sakta,57,x,sugar
tinbe,57,,obey
cinki,58,,insect
ganzu,58,,organize
cedra,59,,era
citri,59,,history
jimte,59,,limit
lazni,59,,lazy
makcu,59,,mature
tilju,59,,heavy
vinji,59,,airplane
danmo,60,,smoke
marna,60,,hemp
pinfu,60,,prisoner
purdi,60,,garden
snime,60,,snow
xalka,60,,alcohol
kerlo,61,,ear
litki,61,,liquid
dilnu,62,,cloud
ginka,62,,camp
klupe,62,,screw
manri,62,,reference
bikla,63,,whip
kalsa,63,,chaotic
tigni,63,,perform
brito,64,f,British
cange,64,,farm
fancu,64,,function
jadni,64,,adorn
sakli,64,x,slide
sruma,64,,assume
tinsa,64,,stiff
cmaci,65,,mathematics
dandu,65,,hang
korbi,65,,edge
panka,65,,park
xasli,65,,donkey
jelca,66,,burn
jenmi,66,,army
papri,66,,page
pelji,66,,paper
pinji,66,,penis
rimni,66,,rhyme
virnu,66,,brave
danti,67,,projectile
sfani,67,,fly
cerda,68,,heir
natfe,68,,deny
vrude,68,,virtue
xalni,68,,panic
xelso,68,,Greek
desku,69,,shake
fliba,69,,fail
kantu,69,f,quantum
sovda,69,,egg
sudga,69,,dry
cilce,70,,wild
kilto,70,(x),1000
renvi,70,,survive
slilu,70,,oscillate
barna,71,,mark
mokca,71,,point
narge,71,,nut
nazbi,71,(x),nose
fendi,72,,divide
kargu,72,,costly
pante,72,,protest
sanmi,72,,meal
sorcu,72,,store
zunti,72,,interfere
fukpi,73,,copy
manci,73,,wonder
nupre,73,,promise
prina,73,,print
snuji,73,,sandwich
sralo,73,,Australian
ganxo,74,,anus
kusru,74,,cruel
jipci,75,,chicken
malsi,75,,temple
skapi,75,x,pelt
solji,75,,gold
spano,75,x,Spanish
gurni,76,,grain
mebri,76,,brow
nanba,76,,bread
risna,76,,heart
sevzi,76,,self
stapa,76,,step
tumla,76,,land
fetsi,77,,female
cupra,78,,produce
kinli,78,,sharp
morna,78,,pattern
rebla,78,,tail
respa,78,,reptile
farvi,79,,develop
dadjo,80,,Taoist
panci,80,,odor
ropno,80,,European
lasna,81,,fasten
nakni,81,,male
pulji,81,,police
tsiju,81,,seed
vrusi,81,,taste
draci,82,,drama
friti,82,,offer
jdika,82,,decrease
larcu,82,,art
mapku,82,,cap
tcica,82,,deceive
betri,83,,tragedy
dakfu,83,,knife
ganlo,83,,closed
sinma,83,x,esteem
ckape,84,,peril
daspo,84,,destroy
spofu,84,,broken
vlile,84,,violent
jatna,85,,captain
jivna,85,,compete
jmaji,86,,gather
pajni,86,,judge
ricfu,86,,rich
festi,87,(x),waste
jamna,87,,war
midju,87,(x),middle
snanu,87,,south
bukpu,88,,cloth
limna,88,,swim
stodi,88,,constant
tance,88,,tongue
kampu,89,,common
kufra,89,,comfort
sazri,89,,operate
mekso,90,,MEX
ractu,90,,rabbit
sumne,90,,smell
dzena,91,,elder
fepni,91,,cent
ganra,91,,broad
jdari,91,,firm
panra,91,,parallel
ritli,91,,rite
carna,92,,turn
cfila,92,,flaw
dizlo,92,,low
lafti,92,,lift
narju,92,,orange
clira,93,,early
fenra,93,,crack
jungo,93,(x),Chinese
mruli,93,,hammer
platu,93,,plan
raktu,93,,trouble
canja,94,,exchange
dirba,94,,dear
mabru,94,,mammal
tcila,94,,detail
bakni,95,,bovine
birje,95,,beer
cikre,95,,repair
gusta,95,,restaurant
kakpa,96,,dig
vamji,96,,value
canci,97,,vanish
donri,97,,daytime
lerci,97,(x),late
snura,97,,secure
vidni,97,,video
censa,98,,holy
cilmo,98,,moist
ckilu,98,,scale
denmi,98,,dense
kalri,98,,open
prosa,98,,prose
sirji,98,,straight
catke,99,,shove
cmoni,99,,moan
foldi,99,(x),field
selfu,99,,serve
vanci,99,,evening
xebni,99,,hate
banro,100,,grow
fange,100,,alien
jutsi,100,,species
kunti,100,,empty
mentu,100,,minute
panpi,100,,peace
stura,100,,structure
tarti,100,,behave
cortu,101,,pain
cuntu,101,,affair
mlana,101,,side
srasu,101,,grass
tcini,101,,situation
dunku,102,,anguish
vanbi,102,,environment
cfika,103,,fiction
grute,103,,fruit
natmi,103,,nation
sucta,103,,abstract
tutci,103,,tool
lidne,104,,precede
rarna,104,,natural
spati,104,,plant
jamfu,105,,foot
skina,105,,cinema
xanto,105,,elephant
ctino,106,,shadow
gutci,106,,cubit
sefta,106,,surface
junta,107,,weight
salci,107,,celebrate
trina,107,,attract
xaksu,107,,use up
ciblu,108,,blood
mansa,108,,satisfy
nalci,108,,wing
trixe,108,,behind
cinse,109,,sexual
fenki,109,,crazy
kandi,109,,dim
pezli,109,,leaf
xagji,109,,hunger
denci,110,,tooth
lanci,110,,flag
basna,111,,emphasize
bredi,111,(x),ready
dicra,111,,interrupt
lumci,111,,wash
xenru,111,,regret
jvinu,112,,view
pelxu,112,,yellow
canre,113,,sand
condi,113,(x),deep
rupnu,113,,dollar
cirko,114,,lose
rapli,114,,repeat
ratcu,114,(x),rat
zirpu,114,,purple
minra,115,,reflect
sicni,115,,coin
spaji,115,,surprise
grana,116,,rod
mudri,116,,wood
rismi,116,(x),rice
stuna,116,,east
xarci,116,,weapon
bende,117,,crew
dotco,117,(x),German
merli,117,(x),measure
sampu,117,,simple
tikpa,117,,kick
gacri,118,,cover
gunta,118,,attack
jersi,118,,chase
sruri,118,,surround
bilma,119,,ill
pritu,119,,right
sonci,119,,soldier
kajde,120,,warn
rivbi,120,,avoid
suksa,120,,sudden
surla,120,,relax
farna,121,,direction
fatri,121,,distribute
kancu,121,,count
karni,121,,journal
cirla,123,,cheese
bandu,124,,defend
cnano,125,,norm
degji,125,,finger
fanza,125,,annoy
judri,125,,address
brodi,126,,predicate var 3
cabra,126,,apparatus
jmina,126,,add
tcaci,126,,custom
tcima,126,,weather
flecu,127,,flow
stici,127,,west
gradu,128,,unit
pruxi,128,,spirit
vreji,128,,record
crane,129,(e),front
nobli,129,,noble
cisma,130,,smile
dertu,130,(x),dirt
jdima,130,,price
porsi,130,,sequence
prane,130,,perfect
jbini,131,,between
pruce,131,,process
grake,132,,gram
savru,133,,noise
jgari,134,,grasp
steba,134,,frustration
klaku,135,,weep
fuzme,136,,responsible
racli,136,,sane
marji,137,,material
prije,137,,wise
misno,138,,famous
bersa,139,,son
cikna,139,,awake
fagri,139,,fire
minji,139,,machine
sepli,139,,apart
tordu,139,,short
rirxe,140,,river
toldi,140,,butterfly
vitno,140,,permanent
taxfu,142,,garment
xrani,142,,injure
cafne,143,,often
kucli,143,,curious
linji,143,,line
setca,143,,insert
jitro,144,f,control
pluja,144,,complicated
makfa,145,,magic
datni,146,,data
xamsi,146,,sea
sanli,147,,stand
xatra,147,,letter
bancu,148,,beyond
cifnu,148,,infant
cmila,148,,laugh
detri,148,,date
briju,149,,office
lalxu,149,,lake
vofli,149,,flight
xrula,149,,flower
cinta,150,x,paint
fapro,150,,oppose
vacri,151,,air
jukpa,152,,cook
klaji,152,,street
xlura,152,,influence
bunre,153,,brown
cpare,153,,climb
besna,154,,brain
lakne,154,,probable
dacti,155,,object
masno,155,,slow
saske,155,,science
rirni,157,,parent
steci,157,,specific
vlipa,157,,powerful
zasni,157,,temporary
javni,158,,rule
tatpi,158,,tired
jecta,159,,polity
kanji,159,(e),calculate
kanro,159,,healthy
lamji,159,,adjacent
dansu,160,,dance
kafke,161,,cough
smoka,162,,sock
tsani,162,(x),sky
fengu,163,,angry
grusi,163,,gray
moklu,163,,mouth
cecla,164,,launcher
bloti,165,,boat
jeftu,165,,week
dembi,166,,bean
fanta,166,,prevent
cladu,167,,loud
kabri,167,,cup
lijda,167,,religion
berti,168,(x),north
cipra,168,,test
jalge,168,,result
ckana,170,,bed
vimcu,170,,remove
darlu,171,,argue
fraxu,171,,forgive
manku,171,,dark
mikce,171,,doctor
senpi,171,,doubt
xanka,171,,nervous
zgike,171,,music
palci,172,(x),evil
cerni,174,,morning
crino,174,,green
masti,175,,month
krixa,176,,cry out
xajmi,176,,funny
jitfa,177,,FALSE
plana,178,,plump
jdice,179,,decide
cmana,180,,mountain
xanri,180,,imaginary
bartu,181,,out
fadni,181,,ordinary
cacra,182,,hour
fraso,182,(x),French
stali,182,,remain
jorne,184,,joined
mleca,184,,less
pleji,184,,pay
porpi,184,,break
zekri,184,,crime
zumri,186,,maize
plipe,188,,leap
smacu,188,,mouse
flira,189,,face
mipri,189,,secret
zenba,189,,increase
dinju,191,,building
finpe,191,,fish
rinsa,191,,greet
tarmi,191,,shape
tcika,191,,time of day
ckini,192,,related
ruble,192,,weak
krinu,193,,reason
sanji,193,,conscious
kavbu,194,,capture
darno,195,,far
jicmu,195,,basis
serti,195,,stairs
dasni,198,,wear
jikca,198,,socialize
friko,200,,African
gletu,200,,copulate
pipno,200,,piano
rozgu,200,,rose
satci,200,x,exact
birka,201,,arm
loldi,202,,floor
renro,202,(x),throw
jibri,203,,job
lenku,203,,cold
nixli,204,,girl
fonxa,206,,telephone
gapru,206,,above
mensi,206,,sister
brife,207,,breeze
dargu,207,,road
punji,207,,put
mupli,208,,example
bebna,209,,foolish
sisti,209,,cease
smaji,210,,quiet
xadni,210,,body
zunle,210,,left
culno,211,,full
fanmo,211,,end
galtu,216,,high
nanla,216,,boy
nicte,216,,night
ganse,217,,sense
senva,217,,dream
ciste,218,,system
kurji,218,,take care of
cuxna,220,,choose
liste,220,,list
ranji,221,,continue
nabmi,223,,problem
sanga,225,,sing
selci,226,,cell
bapli,227,,force
carvi,227,,rain
kulnu,228,,culture
voksa,228,,voice
cnita,229,,beneath
pagre,230,,pass through
jbena,231,,born
mrilu,231,,mail
barja,232,,bar
damba,233,,fight
jibni,233,,near
tarci,233,(x),star
nuzba,235,,news
smadi,235,,guess
jdini,236,,money
zabna,236,,favorable
lunra,240,(x),lunar
botpi,241,,bottle
katna,241,x,cut
lanzu,241,,family
vrici,241,x,miscellaneous
vorme,245,,door
kalte,247,,hunt
flalu,248,,law
mluni,248,,satellite
cidja,251,x,food
srana,251,,pertain
panzi,257,,offspring
xirma,258,,horse
minde,260,,command
krasi,262,,source
purci,265,,past
vreta,265,,reclining
danlu,266,,animal
bitmu,267,,wall
cabna,271,,now
ciksi,271,,explain
jundi,272,,attentive
terpa,273,,fear
plini,274,,planet
balvi,280,,future
sance,280,,sound
tadji,281,,method
pluta,283,,route
santa,283,(e),umbrella
spoja,286,,explode
mabla,289,,derogative
xance,289,,hand
bilga,290,,obliged
menli,290,,mind
certu,291,,expert
cfari,294,,initiate
pacna,295,,hope
cecmu,296,,community
lebna,297,,take
kerfa,298,,hair
cinba,299,,kiss
mapti,303,,fit
claxu,305,,without
frili,305,,easy
cfipu,306,,confusing
merko,306,(x),American
namcu,306,,number
crida,308,,fairy
kanla,309,(x),eye
tsali,309,,strong
vitke,309,,guest
solri,310,,solar
bruna,311,,brother
galfi,313,,modify
pixra,314,,picture
sidju,316,,help
zdile,319,,amusing
gunma,321,,jointly
ckire,323,,grateful
catra,327,,kill
cpacu,330,,get
stuzi,330,,site
cpedu,331,,request
klesi,331,(x),class
canko,333,,window
jarco,336,,show
kevna,336,,cavity
zanru,336,,approve
nibli,337,,necessitate
pinka,340,,comment
tricu,342,(x),tree
simxu,345,,mutual
cenba,346,,vary
gusni,346,,illumine
vecnu,347,,sell
zutse,347,,sit
darxi,348,,hit
turni,348,,govern
gunse,349,,goose
dunli,350,,equal
gadri,350,,article
stizu,351,,chair
zifre,352,,free
girzu,355,,group
gugde,355,,country
bolci,362,,ball
lifri,363,,experience
glare,365,(e),hot
pemci,366,,poem
banli,367,,great
logji,368,,logic
patfu,368,,father
pluka,368,,pleasant
tirna,368,,hear
cinfo,369,,lion
cinmo,372,,emotion
diklo,373,,local
tcati,373,(x),tea
vasru,375,,contain
basti,376,,replace
ckule,377,,school
tcadu,377,,city
rokci,378,,rock
xekri,380,,black
xusra,380,,assert
curmi,381,,let
morsi,383,,dead
mukti,383,,motive
pagbu,387,,part
ralju,387,,principal
speni,387,x,married
cadzu,388,,walk
simlu,392,,seem
xlali,395,,bad
glico,401,,English
notci,401,,message
curve,403,(e),pure
sidbo,404,,idea
terdi,404,,earth
stidi,405,,suggest
cteki,407,(x),tax
toknu,408,,oven
birti,411,,certain
denpa,412,,wait
cribe,416,,bear
munje,417,,universe
slovo,418,,Slavic
cutci,420,(x),shoe
djedi,425,,full day
lerfu,425,,letteral
gerna,426,,grammar
sarcu,427,,necessary
jmive,430,,live
snada,430,,succeed
skari,431,,color
tugni,431,,agree
vajni,431,,important
dukse,433,,excess
muvdu,439,,move
slabu,445,,old
cpana,448,,upon
cizra,458,,strange
mintu,459,,same
kelci,461,,play
lorxu,461,,fox
milxe,461,,mild
citno,462,,young
cevni,467,,god
verba,468,,child
danfu,472,,answer
cinri,475,,interesting
litru,475,,travel
kansa,479,,with
penmi,481,,meet
morji,483,,remember
srera,485,,err
karce,488,,car
blabi,491,(x),white
ctuca,491,,teach
skicu,497,,describe
jufra,503,,sentence
sinxa,504,,sign
betfu,510,,abdomen
mulno,512,,complete
nandu,516,,difficult
bajra,524,,run
xruti,524,,return
benji,525,,transfer
traji,525,,superlative
ckafi,533,,coffee
sipna,537,,sleep
preti,544,,question
farlu,547,,fall
tadni,548,,study
facki,569,,discover
gunka,572,,work
lisri,579,,story
krefu,583,,recur
banzu,584,,suffice
sisku,590,,seek
carmi,591,,intense
rorci,595,,procreate
catlu,599,,look
spuda,600,,reply
cliva,602,,leave
finti,609,,invent
sutra,613,,fast
cnino,615,,new
zukte,617,,act
klani,618,,quantity
cmalu,621,,small
cilre,624,,learn
pendo,627,,friend
xabju,633,,dwell
pinxe,645,,drink
kakne,648,,able
zasti,648,,exist
tcita,651,,label
badri,652,,sad
tuple,653,,leg
rinka,659,,cause
temci,662,,time
fatci,666,,fact
cumki,672,,possible
bevri,678,,carry
cipni,680,,bird
nanca,682,,year
zgana,682,,observe
xunre,683,,red
mitre,698,,meter
jubme,699,,table
gleki,702,,happy
ckaji,703,,quality
batci,720,,bite
fanva,726,,translate
casnu,727,,discuss
pensi,738,,think
skami,750,,computer
barda,751,(x),big
mamta,756,,mother
frica,767,,differ
binxo,782,,become
krici,819,,believe
ponse,831,,possess
zbasu,844,,make
drani,846,(x),correct
cmima,852,,member
simsa,853,,similar
jetnu,863,,TRUE
clani,888,,long
ciska,955,,write
fasnu,958,,event
nenri,958,(x),in
stedu,995,,head
melbi,997,,beautiful
prami,1003,,love
pencu,1011,,touch
kumfa,1016,,room
dunda,1020,,give
jinvi,1029,,opine
troci,1055,,try
xamgu,1059,,good
tcidu,1076,,read
djacu,1087,,water
zarci,1098,,market
smuni,1119,,meaning
plise,1126,,apple
bacru,1129,,utter
bangu,1155,,language
zdani,1178,,nest
ninmu,1205,,woman
zvati,1218,,at
lojbo,1230,,Lojbanic
brode,1240,,predicate var 2
gasnu,1277,,do
drata,1278,,other
valsi,1332,,word
zmadu,1355,,more
jimpe,1374,,understand
nelci,1386,,fond
viska,1407,,see
mutce,1587,(x),much
nitcu,1590,,need
cmene,1626,,name
citka,1696,,eat
blanu,1722,(x),blue
pilno,1848,(x),use
tanxe,1860,,box
cukta,1867,,book
mlatu,1928,,cat
since,1960,(e),snake
djica,2267,,desire
rafsi,2398,,affix
tavla,2406,,talk
sarji,2469,,support
tanru,2709,,phrase compound
gerku,2764,,dog
remna,3251,,human
nanmu,3587,,man
prenu,3856,,person
bridi,4037,,predicate
cmavo,4388,,structure word
djuno,4874,,know
klama,5302,,come
lujvo,5797,,affix compound
gismu,6524,,root word
cusku,8071,,express
sumti,8740,,argument
broda,9621,(x),predicate var 1
