section_id,freq,sign,actual,actual_breakdown,canon,canon_breakdown,canon_meaning,canon_places,new,new_breakdown
4,2,?*,gesgoisia,**UNKNOWN*+*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,girlvisi,group+*UNKNOWN*,,,,,,
4,2,?*,girnunpe,group+*UNKNOWN*,,,,,,
4,3,?*,glacie,hot+*UNKNOWN*,,,,,,
4,2,?*,gladepso,hot+*UNKNOWN*,,,,,,
4,1,?*,gladio,hot+*UNKNOWN*,,,,,,
4,1,?*,goitre,*UNKNOWN*+meter,,,,,,
4,2,?*,gombei,*UNKNOWN*+carry,,,,,,
4,3,?*,gombre,*UNKNOWN*+ready,,,,,,
4,11,?*,gozbei,*UNKNOWN*+carry,,,,,,
4,7,?*,gregrido,pass-through+*UNKNOWN*,,,,,,
4,1,?*,grozma,*UNKNOWN*+more,,,,,,
4,1,?*,guisante,**UNKNOWN*+*UNKNOWN*,,,,,,
4,2,?*,gulfangi,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,gustarte,illumine+*UNKNOWN*,,,,,,
4,2,?*,jadranka,adorn+*UNKNOWN*,,,,,,
4,1,?*,jarcento,firm+*UNKNOWN*,,,,,,
4,1,?*,jarkanda,firm+*UNKNOWN*,,,,,,
4,16,?*,jarlibro,firm+*UNKNOWN*,,,,,,
4,1,?*,jierdei,*UNKNOWN*+full-day,,,,,,
4,6,?*,jorkurbo,Jordanian+*UNKNOWN*,,,,,,
4,10,?*,jovdio,if-and-only-if+*UNKNOWN*,,,,,,
4,1,?*,kafglaso,*coffee+*UNKNOWN*,,,,,,
4,1,?*,kaglasta,*company+*UNKNOWN*,,,,,,
4,1,?*,kamporse,quality-of+*UNKNOWN*,,,,,,
4,1,?*,kaptinte,pelt+*UNKNOWN*,,,,,,
4,1,?*,karvelti,open+*UNKNOWN*,,,,,,
4,1,?*,kengue,cancer+*UNKNOWN*,,,,,,
4,8,?*,kerbilca,ear+*UNKNOWN*,,,,,,
4,1,?*,kickinco,cushion+*UNKNOWN*,,,,,,
4,3,?*,kincle,cinema+*UNKNOWN*,,,,,,
4,2,?*,kiospa,*UNKNOWN*+plant,,,,,,
4,1,?*,kiospe,*UNKNOWN*+married,,,,,,
4,1,?*,klabunde,come+*UNKNOWN*,,,,,,
4,1,?*,klacua,come+*UNKNOWN*,,,,,,
4,1,?*,koltso,coal+*UNKNOWN*,,,,,,
4,1,?*,konvinki,cone+*UNKNOWN*,,,,,,
4,1,?*,kordie,edge+*UNKNOWN*,,,,,,
4,2,?*,kozjma,**UNKNOWN*+foot,,,,,,
4,1,?*,kracua,source+*UNKNOWN*,,,,,,
4,1,?*,krementi,hair+*UNKNOWN*,,,,,,
4,1,?*,krepusko,hair+*UNKNOWN*,,,,,,
4,1,?*,krespuko,hair+*UNKNOWN*,,,,,,
