cmavo_composite,freq,dubious,eleven,not_found,notes
basai,4,,,1,CMAVO
bata,10,,,1,CMAVO
bate'i,1,,,1,CMAVO
bati,2,,,1,CMAVO
batu,9,,,1,CMAVO
batu'a,5,,,1,CMAVO4
bau'i,2,,,1,CMAVO
bava,9,,,1,CMAVO
bave'e,2,,,1,CMAVO4
bavine'ivi,2,,,1,CMAVO4
bavizi,5,,,1,CMAVO4
bavu,2,,,1,CMAVO4
bavune'iva,2,,,1,CMAVO4
bavuvu,1,,,1,CMAVO4
bavuza,5,,,1,CMAVO4
baza,70,,,1,CMAVO
bazabo,4,,,1,CMAVO4
bazaco'a,1,,,1,CMAVO4
bazaku,6,,,1,CMAVO
bazaze'o,1,,,1,CMAVO4
baze'e,2,,,1,CMAVO
baze'eku,1,,,1,CMAVO
baze'i,4,,,1,CMAVO4
baze'iku,2,,,1,CMAVO
baze'inai,1,,,1,CMAVO4
baze'o,8,,,1,CMAVO4
baze'u,7,,,1,CMAVO4
bazi,361,,,1,CMAVO
baziba'o,9,,,1,CMAVO
bazica'o,4,,,1,CMAVO
bazico'uku,10,,,1,CMAVO
bazidi'a,2,,,1,CMAVO4
baziki,8,,,1,CMAVO
bazikiku,2,,,1,CMAVO
baziku,13,,,1,CMAVO
bazimo'u,2,,,1,CMAVO
bazinu,2,,,1,CMAVO4
bazita,1,,,1,CMAVO
bazivi,4,,,1,CMAVO4
bazivive'u,3,,,1,CMAVO
bazize'o,2,,,1,CMAVO4
bazize'u,4,,,1,CMAVO
bazo'i,1,,,1,CMAVO4
bazu,46,,,1,CMAVO
bazuco'uku,10,,,1,CMAVO
bazuki,1,,,1,CMAVO4
bazukiku,3,,,1,CMAVO
bazuku,54,,,1,CMAVO
bazuze'o,2,,,1,CMAVO4
be'adu'amo'i,1,,,1,CMAVO
be'aku,16,,,1,CMAVO
be'ava,8,,,1,CMAVO
be'avixoi,16,,,1,CMAVO
be'avu'ava,8,,,1,CMAVO
be'axoi,8,,,1,CMAVO
be'azavoi,1,,,1,CMAVO
be'ebe'e,5,question_mark,,1,CMAVO4
be'obe'o,6,question_mark,,1,CMAVO4
be'oku,13,,,1,CMAVO4
be'okuvauku'ovau,1,question_mark,,1,CMAVO4
be'ono'u,1,,,1,CMAVO
be'opoi,1,,,1,CMAVO
be'ucu'i,15,,,1,CMAVO
be'ucu'idai,1,,,1,CMAVO
be'usai,4,,,1,CMAVO
bebau,2,,,1,CMAVO
bebaula,3,,,1,CMAVO
beberi'a,1,question_mark,,1,CMAVO
bebi'a,1,,,1,CMAVO
becau,2,,,1,CMAVO
becausei,4,,,1,CMAVO
beci'a,1,,,1,CMAVO4
beci'o,4,,,1,CMAVO
beda,12,,,1,CMAVO
bede,8,,,1,CMAVO
bedi,7,,,1,CMAVO
bedi'o,11,,,1,CMAVO4
bedi'u,3,,,1,CMAVO4
bedo,8,,,1,CMAVO
befa,29,,,1,CMAVO
befa'a,12,,,1,CMAVO4
befai,5,,,1,CMAVO
befe,44,,,1,CMAVO
befelenu,1,,,1,CMAVO4
befi,261,,,1,CMAVO
befi'e,4,,,1,CMAVO4
befidocuse,5,question_mark,,1,CMAVO
befidoka'ese,1,question_mark,,1,CMAVO
befiko'e,2,,11,1,CMAVO
befila,8,,,1,CMAVO
befilenu,1,question_mark,,1,CMAVO4
befilipa,1,question_mark,,1,CMAVO4
befilire,1,question_mark,,1,CMAVO
befilo,1,question_mark,,1,CMAVO
befizo,6,question_mark,,1,CMAVO
befo,24,,,1,CMAVO
befo'a,4,,,1,CMAVO4
befozo,1,,,1,CMAVO
befu,12,,,1,CMAVO
bega,1,,,1,CMAVO
bega'a,2,,,1,CMAVO
bege,1,,,1,CMAVO
bego,1,,,1,CMAVO
beiba,3,question_mark,,1,CMAVO4
beica,12,question_mark,,1,CMAVO4
beici'a,1,question_mark,,1,CMAVO4
beidaxipa,4,question_mark,,1,CMAVO
beifai,5,question_mark,,1,CMAVO
beife,10,question_mark,,1,CMAVO
beifi'e,2,question_mark,,1,CMAVO4
beifo,6,question_mark,,1,CMAVO
beifu,33,question_mark,,1,CMAVO
beila,2,question_mark,,1,CMAVO4
beilenu,5,question_mark,,1,CMAVO4
beili,2,question_mark,,1,CMAVO
beilo,4,question_mark,,1,CMAVO
beima,1,question_mark,,1,CMAVO
beime'elu,3,question_mark,,1,CMAVO4
beimu'o,2,question_mark,,1,CMAVO
beipu,1,question_mark,,1,CMAVO4
beipu'o,1,question_mark,,1,CMAVO4
beira'i,5,question_mark,,1,CMAVO4
beire'o,1,question_mark,,1,CMAVO
beita,1,question_mark,,1,CMAVO
beiti,4,question_mark,,1,CMAVO
beito,3,question_mark,,1,CMAVO
beiva'o,2,question_mark,,1,CMAVO4
beivi,11,question_mark,,1,CMAVO4
beizo,1,question_mark,,1,CMAVO4
beja'i,7,,,1,CMAVO
beke'a,4,,,1,CMAVO4
beko,2,,,1,CMAVO
beko'a,15,,,1,CMAVO
bela,89,,,1,CMAVO
bela'e,1,,,1,CMAVO
bela'edi'u,2,,,1,CMAVO
bele,110,,,1,CMAVO
bele'a,4,,,1,CMAVO4
bele'i,5,,,1,CMAVO4
bele'inu,7,,,1,CMAVO4
bele'ipunu,4,,,1,CMAVO4
beledu'u,3,,,1,CMAVO4
belega,2,,,1,CMAVO
belei,19,,,1,CMAVO
beleka,14,,,1,CMAVO
belemi,3,,,1,CMAVO4
belenu,113,,,1,CMAVO
beletu'a,2,,,1,CMAVO
beli,58,,,1,CMAVO
belibino,10,,,1,CMAVO
belici,1,,,1,CMAVO
beliji'ire,1,,,1,CMAVO
beliji'ivo,1,,,1,CMAVO
belipimu,36,,,1,CMAVO
belire,1,,,1,CMAVO
belisu'o,1,,,1,CMAVO
belivo,5,,,1,CMAVO
belo,98,,,1,CMAVO
belo'i,4,,,1,CMAVO
beloi,8,,,1,CMAVO4
beloka,24,,,1,CMAVO4
bema'a,2,,,1,CMAVO
beme'e,10,,,1,CMAVO4
bemi,7,,,1,CMAVO
bemu'i,5,,,1,CMAVO
bemu'u,1,,,1,CMAVO4
bemuta,1,,,1,CMAVO
bepa'o,3,,,1,CMAVO4
bepi'o,2,,,1,CMAVO4
bepu,1,,,1,CMAVO
bera,2,,,1,CMAVO
bera'a,1,,,1,CMAVO
beri,14,,,1,CMAVO
beru,3,,,1,CMAVO
bese,1,question_mark,,1,CMAVO
besecau,3,question_mark,,1,CMAVO
beseta'ilo,1,question_mark,,1,CMAVO4
besu'oroi,2,,,1,CMAVO
beta,552,,,1,CMAVO
beta'i,5,,,1,CMAVO4
betai,4,,,1,CMAVO
bete,3,question_mark,,1,CMAVO
betezu'e,1,question_mark,,1,CMAVO4
beti'i,6,,,1,CMAVO
betu'a,4,,,1,CMAVO
beva'o,5,,,1,CMAVO4
beva'u,8,,,1,CMAVO4
beve,2,question_mark,,1,CMAVO
bevepu'e,2,,,1,CMAVO4
bevi,10,,,1,CMAVO4
beviko'a,1,question_mark,,1,CMAVO4
bevo'a,3,,,1,CMAVO4
bevo'apedi'u,1,,,1,CMAVO4
bevu,5,question_mark,,1,CMAVO
bexe,1,question_mark,,1,CMAVO
bezi'o,6,,,1,CMAVO
bezo,57,,,1,CMAVO
*bi'a,6,,,1,CMAVO
bi'e,35,,,1,CMAVO
bi'ito,2,question_mark,,1,CMAVO
bi'ogi,7,,,1,CMAVO4
bi'u,78,,,1,CMAVO
bi'unai,41,,,1,CMAVO
bibi,7,,,1,CMAVO
bibido,4,,,1,CMAVO
bibire,1,,,1,CMAVO
biby,12,,,1,CMAVO
bida,1,,,1,CMAVO
bide,14,,,1,CMAVO
bilai,3,question_mark,,1,CMAVO
bile,14,,,1,CMAVO
bilo,2,,,1,CMAVO
bima,1,,,1,CMAVO
bimei,3,,,1,CMAVO
bimo'o,6,,,1,CMAVO
bimoi,25,,,1,CMAVO
bimu,3,,,1,CMAVO
bimumoi,2,,,1,CMAVO4
bino,17,,,1,CMAVO
binomoi,1,,,1,CMAVO4
bipamoi,1,,,1,CMAVO4
bipi'ecino,2,,,1,CMAVO
bipi'exa,2,,,1,CMAVO
bipimu,5,,,1,CMAVO4
bipimuki'oki'o,5,,,1,CMAVO4
bira,24,,,1,CMAVO
birau,4,question_mark,,1,CMAVO
bire,2,,,1,CMAVO
biri,2,,,1,CMAVO
biru,5,,,1,CMAVO
biso'o,1,,,1,CMAVO
bisono,8,,,1,CMAVO
bita,4,,,1,CMAVO
biti,2,,,1,CMAVO
bitu,1,,,1,CMAVO
bize,2,,,1,CMAVO
*bo'a,2,,,1,CMAVO
*bo'e,4,,,1,CMAVO
*bo'i,2,,,1,CMAVO
*bo'ibo,4,,,1,CMAVO
*bo'o,8,,,1,CMAVO
*bo'u,11,,,1,CMAVO
*bo'unai,5,,,1,CMAVO
bu'akau,3,,,1,CMAVO4
bu'akaunai,6,,,1,CMAVO4
bu'anai,1,,,1,CMAVO
bu'ara'o,1,,,1,CMAVO
bu'axipy,2,,,1,CMAVO
bu'o,19,,,1,CMAVO
bu'onai,8,,,1,CMAVO
bu'uki,1,,,1,CMAVO
bu'uku,2,,,1,CMAVO
bu'uva,5,,,1,CMAVO
bu'uve'abe'a,1,,,1,CMAVO
bu'uve'ari'u,1,,,1,CMAVO
bu'uvi,48,,,1,CMAVO
bu'uvu,5,,,1,CMAVO
bytyky,19,,,,LERFU COMPOUND4
byxy,1,,,,LERFU COMPOUND4
ca'aba,2,,,1,CMAVO4
ca'ajeba,2,,,1,CMAVO4
ca'ajoiba,2,,,1,CMAVO4
ca'aku,4,,,1,CMAVO
ca'aku'aba,2,,,1,CMAVO4
ca'ala'a,2,,,1,CMAVO
ca'apu,2,,,1,CMAVO
ca'avi,6,,,1,CMAVO
ca'avida'i,1,,,1,CMAVO4
ca'axu,2,,,1,CMAVO
ca'aza'a,2,,,1,CMAVO
ca'emi'e,19,,,1,CMAVO
ca'enai,2,,,1,CMAVO
ca'iba'u,3,,,1,CMAVO4
ca'iku,1,,,1,CMAVO
ca'obo,4,,,1,CMAVO
ca'ojamo'u,2,,,1,CMAVO
ca'ojeba'onai,1,,,1,CMAVO
ca'oki,3,,,1,CMAVO4
ca'oku,8,,,1,CMAVO
ca'oku'u,2,,,1,CMAVO
ca'olemu'e,4,,,1,CMAVO4
ca'olenu,4,,,1,CMAVO4
ca'olepu'inu,2,,,1,CMAVO4
ca'onaijeba'o,1,,,1,CMAVO
ca'onu,4,,,1,CMAVO
ca'ozaki,1,,,1,CMAVO4
ca'ozi,1,,,1,CMAVO4
ca'ufa'a,1,,,1,CMAVO
ca'umo'i,2,,,1,CMAVO
ca'uto'o,1,,,1,CMAVO
ca'uvi,13,,,1,CMAVO
ca'uvu,2,,,1,CMAVO
caba,39,,,1,CMAVO
caba'a,2,,,1,CMAVO
caba'o,19,,,1,CMAVO
cababo,3,,,1,CMAVO4
cabaca,1,,,1,CMAVO
cabana,1,,,1,CMAVO
cabazi,9,,,1,CMAVO4
cabi'iba,2,,,1,CMAVO4
cabi'ibajenairu'i,6,,,1,CMAVO4
cabi'ibaxipa,7,,,1,CMAVO4
cabo,7,,,1,CMAVO
cabu,1,,,1,CMAVO
cabu'u,8,,,1,CMAVO
cabu'uku,1,,,1,CMAVO
caca,14,,,1,CMAVO
caca'a,55,,,1,CMAVO
caca'aco'a,1,,,1,CMAVO
caca'o,29,,,1,CMAVO
cacai,3,,,1,CMAVO
caco'a,10,,,1,CMAVO
caco'i,3,,,1,CMAVO
caco'u,3,,,1,CMAVO
cada,108,,,1,CMAVO
cade,4,,,1,CMAVO
cade'a,1,,,1,CMAVO
cadeira,6,,,1,CMAVO
caga'uku,6,,,1,CMAVO
cage,47,question_mark,,1,CMAVO
cagi,6,,,1,CMAVO
cago,1,question_mark,,1,CMAVO
caicai,6,,,1,CMAVO4
cainai,3,,,1,CMAVO
caja,2,,,1,CMAVO
caje,2,,,1,CMAVO
cajeba,34,,,1,CMAVO
cajebaze'uci'iroi,1,,,1,CMAVO4
cajebe'a,1,,,1,CMAVO4
cajecapu,2,,11,1,CMAVO
caji'a,8,,,1,CMAVO4
caka'e,2,,,1,CMAVO4
caki,54,,,1,CMAVO
cakiku,3,,,1,CMAVO
caku,149,,,1,CMAVO
cala,3,,,1,CMAVO4
cala'edi'u,6,,,1,CMAVO4
cale,15,,,1,CMAVO
calemu'e,3,,,1,CMAVO
calenu,43,,,1,CMAVO
caleti'enu,2,,,1,CMAVO4
cali,9,,,1,CMAVO
calo,1,,,1,CMAVO
cama,14,,,1,CMAVO
camakau,2,,,1,CMAVO
came,4196,question_mark,,1,CMAVO
camera,335,question_mark,,1,CMAVO
camerera,1,question_mark,,1,CMAVO
camo,1,,,1,CMAVO
camo'u,4,,,1,CMAVO4
cana,4,,,1,CMAVO
cana'e,2,,,1,CMAVO4
cana'o,1,,,1,CMAVO4
canai,14,,,1,CMAVO
canaidu,1,,,1,CMAVO4
canaijeba,1,,,1,CMAVO4
cane'uvi,1,,,1,CMAVO4
cani,1,question_mark,,1,CMAVO
canoda,2,,,1,CMAVO4
canoga,1,question_mark,,1,CMAVO
canu,4,question_mark,,1,CMAVO
canu'o,2,,,1,CMAVO
capa'a,2,,,1,CMAVO
capacita,1,question_mark,,1,CMAVO
capacity,20,question_mark,11,1,CMAVO
capale,1,question_mark,,1,CMAVO
capiroroi,2,,,1,CMAVO
capixaba,1,question_mark,,1,CMAVO
capu,99,,,1,CMAVO
capu'i,1,,,1,CMAVO
capu'o,38,,,1,CMAVO
capupu,6,,,1,CMAVO4
capuza,1,,,1,CMAVO4
cara,25,,,1,CMAVO
carere'upu'o,3,,,1,CMAVO
cari,12,,,1,CMAVO
caru,2,,,1,CMAVO
cata,25,,,1,CMAVO
cata'e,7,,,1,CMAVO4
cate'e,3,,,1,CMAVO4
cati,9,,,1,CMAVO
cati'a,1,,,1,CMAVO
cato'ovi,1,,,1,CMAVO4
cauce,69,question_mark,,1,CMAVO
cauda,1,question_mark,,1,CMAVO
cauge,2,question_mark,,1,CMAVO
caule,1,question_mark,,1,CMAVO
cause,2709,question_mark,,1,CMAVO
cauza,1,question_mark,,1,CMAVO
cava,6,,,1,CMAVO
cavi,50,,,1,CMAVO
caviki,2,,,1,CMAVO
cavine'ivi,2,,,1,CMAVO4
cavizi,5,,,1,CMAVO4
cavu,3,,,1,CMAVO
caza,20,,,1,CMAVO
caza'o,8,,,1,CMAVO
cazaca,1,,,1,CMAVO
caze'a,17,,,1,CMAVO
caze'aba,22,,,1,CMAVO
caze'aca,6,,,1,CMAVO
caze'aku,4,,,1,CMAVO
caze'apu,7,,,1,CMAVO
caze'e,4,,,1,CMAVO
caze'epu,2,,,1,CMAVO
caze'evi,2,,,1,CMAVO4
caze'evu,4,,,1,CMAVO4
caze'i,1,,,1,CMAVO4
caze'ipuku,2,,,1,CMAVO
caze'u,12,,,1,CMAVO
caze'uca,1,,,1,CMAVO
cazi,205,,,1,CMAVO
cazico'a,4,,,1,CMAVO4
cazimo'ifa'ava,1,,,1,CMAVO4
cazu,14,,,1,CMAVO
ce'afy,3,,,1,CMAVO4
ce'e,109,,,1,CMAVO
ce'efi'o,2,,,1,CMAVO
ce'eva'o,4,,,1,CMAVO
ce'ibipika'ote'o,1,question_mark,,1,CMAVO
ce'icu'o,1,,,1,CMAVO
ce'obo,56,,,1,CMAVO
ce'ogi,1,,,1,CMAVO4
ce'oku'i,2,,,1,CMAVO4
ce'ory,12,,,,LERFU COMPOUND4
ce'u,750,,,1,CMAVO
ce'uda,1,,,1,CMAVO
ce'upevo'a,3,,,1,CMAVO
ce'upevo'e,3,,,1,CMAVO
ce'upipa,2,,,1,CMAVO
ce'upira,9,,,1,CMAVO
ce'upire,7,,,1,CMAVO
ce'uxici,2,,,1,CMAVO
ce'uxipa,30,,,1,CMAVO
ce'uxire,20,,,1,CMAVO
ce'uxivo,2,,,1,CMAVO
cebabo,1,,,1,CMAVO4
ceci,11,question_mark,,1,CMAVO
cecidi,1,question_mark,,1,CMAVO
ceda,1,question_mark,,1,CMAVO
cede,11,question_mark,,1,CMAVO
cedi,1,question_mark,,1,CMAVO
cei'a,1,question_mark,,1,CMAVO
ceibe,1,question_mark,,1,CMAVO
ceibu'a,2,,,1,CMAVO4
ceita'unai,11,,,1,CMAVO4
cela,20,question_mark,,1,CMAVO
celeri,1,question_mark,,1,CMAVO
celero,4,question_mark,,1,CMAVO
celi'o,6,,,1,CMAVO4
celo,33,question_mark,,1,CMAVO
celoi,2,question_mark,,1,CMAVO4
celonu,1,question_mark,,1,CMAVO4
cena,3,question_mark,,1,CMAVO
ceno,1,question_mark,,1,CMAVO
cenu,10,question_mark,,1,CMAVO
cepu,2,question_mark,,1,CMAVO
cera,2,question_mark,,1,CMAVO
cere,6,question_mark,,1,CMAVO
ceta,1,question_mark,,1,CMAVO
ceti,6,question_mark,,1,CMAVO
*ci'a,56,former meant "written by": BAI,,1,CMAVO4
ci'edoi,2,,,1,CMAVO4
ci'elo,2,,,1,CMAVO4
ci'iroi,1,,,1,CMAVO4
ciba,12,,,1,CMAVO
cibi,36,,,1,CMAVO
ciboi,23,,,1,CMAVO
cici,2,,,1,CMAVO
ciciki'oki'o,8,,,1,CMAVO
cida,42,,,1,CMAVO
cide,14,,,1,CMAVO
cidi,1,,,1,CMAVO
cifi'uci,2,,,1,CMAVO
cifi'ucisi'e,4,,,1,CMAVO
cifi'uvocu'o,1,,,1,CMAVO
cifi'uvosi'e,6,,,1,CMAVO
cifi'uzesi'e,2,,,1,CMAVO
ciki'o,12,,,1,CMAVO
ciki'omei,3,,,1,CMAVO
cile,17,,,1,CMAVO
cilei,5,,,1,CMAVO
cima,6,,,1,CMAVO
cimai,32,,,1,CMAVO
cimaitu'e,4,,,1,CMAVO
cimei,603,,,1,CMAVO
cimice,1,question_mark,,1,CMAVO
cimo,1,,,1,CMAVO
cimo'o,6,,,1,CMAVO
cimoi,115,,,1,CMAVO
cino,42,,,1,CMAVO
cinoji'ivono,7,,,1,CMAVO4
cinomai,1,,,1,CMAVO4
cinomoi,4,,,1,CMAVO4
cinono,8,,,1,CMAVO
cinonono,4,,,1,CMAVO
cipamoi,5,,,1,CMAVO4
cipapa,2,,,1,CMAVO
cipaze,4,,,1,CMAVO
cipi'ebi,4,,,1,CMAVO
cipi'ebimoi,2,,,1,CMAVO
cipi'eci,2,,,1,CMAVO
cipi'emu,2,,,1,CMAVO
cipi'epa,2,,,1,CMAVO
cipi'exa,4,,,1,CMAVO
cipi'eze,4,,,1,CMAVO
cipi'i,20,,,1,CMAVO
cipicici,1,,,1,CMAVO4
cipimu,5,,,1,CMAVO
cira,1,,,1,CMAVO
cire,6,,,1,CMAVO
cire'u,4,,,1,CMAVO
cireze,2,,,1,CMAVO
ciri,2,,,1,CMAVO4
cirice,1,question_mark,,1,CMAVO
ciroi,14,,,1,CMAVO
ciromoi,19,,,1,CMAVO
ciso,3,,,1,CMAVO4
cisole,4,,,1,CMAVO
cisu'eci,4,,,1,CMAVO
cita'i,2,,,1,CMAVO
citi,6,,,1,CMAVO
city,126,question_mark,11,1,CMAVO
civo,1,,,1,CMAVO
cixa,1,,,1,CMAVO4
cize,2,,,1,CMAVO
cizemoi,5,,,1,CMAVO4
co'abaza,2,,,1,CMAVO4
co'aco'u,2,,,1,CMAVO
co'ajapu'o,2,,,1,CMAVO
co'ajedi'ice'o,1,,,1,CMAVO
co'aki,9,,,1,CMAVO4
co'aku,19,,,1,CMAVO
co'anai,5,,,1,CMAVO
co'ane'i,1,,,1,CMAVO4
co'aru'inai,5,,,1,CMAVO4
co'ava,6,,,1,CMAVO4
co'azei,4,,,1,CMAVO
co'ekau,11,,,1,CMAVO
co'eli'o,7,,,1,CMAVO
co'emi'u,12,,,1,CMAVO
co'era'o,1,,,1,CMAVO
co'esa'a,2,,,1,CMAVO4
co'esa'ali'o,1,,,1,CMAVO4
*co'i'co'u,1,,,1,CMAVO4
co'ida,3,,,1,CMAVO
co'igi,2,,,1,CMAVO
co'ijenai,2,,,1,CMAVO4
co'imi'e,4,,,1,CMAVO
co'o'o'o'o,2,,,1,CMAVO
co'oce'o,1,,,1,CMAVO4
co'ocoi,6,,,1,CMAVO
co'odo'u,1,,,1,CMAVO4
co'odoi,1,,,1,CMAVO
co'ofe'o,2,,,1,CMAVO4
co'oke'u,2,,,1,CMAVO4
co'oki'e,1,,,1,CMAVO
co'omi'e,329,,,1,CMAVO
co'omi'exe,7,,,1,CMAVO
co'omi'o,2,,,1,CMAVO
*co'omie,1,,,1,CMAVO
co'orodo,2,,,1,CMAVO
co'uku,3,,,1,CMAVO4
co'unai,8,,,1,CMAVO4
co'uvi,3,,,1,CMAVO4
cofei,1,question_mark,,1,CMAVO
coico'o,3,,,1,CMAVO
coicoi,5,,,1,CMAVO
coicu'i,6,,,1,CMAVO4
coido'u,4,,,1,CMAVO4
coidoi,50,,,1,CMAVO
coidoido'u,2,,,1,CMAVO
coiki'e,3,,,1,CMAVO
coimi'e,1,,,1,CMAVO4
coiro'anai,2,,,1,CMAVO4
comi'a,1,question_mark,,1,CMAVO
cu'ekau,10,,,1,CMAVO
cu'uji'a,2,,,1,CMAVO
cu'uku,39,,,1,CMAVO
cu'ula,5,,,1,CMAVO
cu'unai,10,,,1,CMAVO
cu'usa'a,32,,,1,CMAVO
cuba,101,,,1,CMAVO
cuca,2,,,1,CMAVO
cuca'e,9,,,1,CMAVO4
cudu,5,,,1,CMAVO
