cmavo_composite,freq,dubious,eleven,not_found,notes
cugo'i,1,,,1,CMAVO4
cuja'o,3,,,1,CMAVO4
cujai,2,,,1,CMAVO
cuju'ocu'i,2,,,1,CMAVO4
cuka'e,5,,,1,CMAVO4
cuka'u,6,,,1,CMAVO4
cuku'i,5,,,1,CMAVO4
culi'a,2,,,1,CMAVO4
cuna,6,,,1,CMAVO
cunai,1,question_mark,,1,CMAVO
cuni,3,,,1,CMAVO
cunu,1,,,1,CMAVO
cupa'a,2,,,1,CMAVO4
cuse,12,,,1,CMAVO
cute,84,,11,1,CMAVO
cuva,2,,,1,CMAVO
cuza'a,1,,,1,CMAVO4
cyboi,1,,11,,LEhAVLA
cynyny,14,,11,,LEhAVLA
da'ada,7,,,1,CMAVO
da'ada'a,3,,,1,CMAVO
da'ale,2,,,1,CMAVO4
da'amei,9,,,1,CMAVO
da'amoi,101,,,1,CMAVO
da'apa,5,,,1,CMAVO
da'apave'o,2,,,1,CMAVO
da'are'u,1,,11,1,CMAVO
da'areda,2,,,1,CMAVO
da'aremoi,4,,,1,CMAVO4
da'aro,1,,,1,CMAVO
da'aso'a,1,,,1,CMAVO
da'aso'e,2,,,1,CMAVO
da'aso'eroi,1,,,1,CMAVO
da'aso'o,2,,,1,CMAVO
da'asu'e,3,,,1,CMAVO
da'asu'eda'a,6,,,1,CMAVO
da'asu'o,2,,,1,CMAVO
da'icu'i,3,,,1,CMAVO
da'inai,73,,,1,CMAVO
da'inaipei,3,,,1,CMAVO
da'inaizo'o,2,,,1,CMAVO
da'inu,4,,,1,CMAVO4
da'iru'a,2,,,1,CMAVO
dace,1,,,1,CMAVO
dada,22,,,1,CMAVO
dade,4,,,1,CMAVO
dadi,1,,,1,CMAVO
dagiku,1,,,1,CMAVO
daige'ege'ege'e,2,,,1,CMAVO
daiki,1,question_mark,,1,CMAVO
daily,40,question_mark,11,1,CMAVO
daimaui'o,2,,,1,CMAVO
daimi,4,question_mark,,1,CMAVO
daini,2,question_mark,,1,CMAVO
daipezo,2,question_mark,,1,CMAVO4
dairepa,1,question_mark,,1,CMAVO
daji,2,,,1,CMAVO
daji'a,1,,,1,CMAVO
daka,7,,,1,CMAVO
dakau,114,,,1,CMAVO
dakaunai,6,,,1,CMAVO4
damo,6,,,1,CMAVO
dane,39,question_mark,,1,CMAVO
dape,1,,,1,CMAVO
dapedo,2,,,1,CMAVO
dapela,2,,,1,CMAVO
dapemi,3,,,1,CMAVO
dapemu'u,1,,,1,CMAVO4
dapo,2,,,1,CMAVO
dapoi,46,,,1,CMAVO
dasa'enai,2,,,1,CMAVO4
datumo,2,question_mark,,1,CMAVO
daude,1,question_mark,,1,CMAVO4
daulo,1,question_mark,,1,CMAVO
dauta'a,2,,,1,CMAVO
dava,9,question_mark,,1,CMAVO
davi,2,question_mark,,1,CMAVO
daxa'u,1,question_mark,,1,CMAVO4
daxi,95,,,1,CMAVO
daxici,4,,,1,CMAVO
daximu,5,,,1,CMAVO
daxino,2,,,1,CMAVO4
daxipa,29,,,1,CMAVO
daxipanono,8,,,1,CMAVO
daxire,17,,,1,CMAVO
daxisy,10,,,1,CMAVO4
daxitu'o,11,,,1,CMAVO
daxivo,10,,,1,CMAVO
daxixa,3,,,1,CMAVO
daza,9,question_mark,,1,CMAVO
dazo'u,4,question_mark,,1,CMAVO
dazu,10,question_mark,,1,CMAVO
de'agi,2,,,1,CMAVO
de'anai,1,,,1,CMAVO4
de'eba,2,,,1,CMAVO
de'ena,2,,,1,CMAVO
de'osai,1,,,1,CMAVO
dece,8,question_mark,,1,CMAVO
dedai,2,question_mark,,1,CMAVO
deide'e,2,,,1,CMAVO4
deipeza,2,,,1,CMAVO4
deity,6,question_mark,11,1,CMAVO
deixa,12,question_mark,,1,CMAVO
deixiro,2,,,1,CMAVO
deji,1,,,1,CMAVO
deji'a,1,question_mark,,1,CMAVO
dekau,3,,,1,CMAVO4
demo,350,question_mark,,1,CMAVO
dene,63,,,1,CMAVO
deneva,2,,,1,CMAVO
depe,2,,,1,CMAVO
depo,1,,,1,CMAVO
dexi,1,,,1,CMAVO
dexici,3,,,1,CMAVO4
dexipa,8,,,1,CMAVO
dexire,5,,,1,CMAVO4
dexomai,1,,,1,CMAVO
dezo'u,1,,,1,CMAVO
di'exipa,1,,,1,CMAVO4
di'exivo'a,1,,,1,CMAVO4
di'inai,20,,,1,CMAVO
di'inaiku,2,,,1,CMAVO
di'ize'i,1,,,1,CMAVO
di'ugide'u,7,,,1,CMAVO4
di'uji'a,6,,,1,CMAVO
di'upeza,2,,,1,CMAVO4
di'upezi,2,,,1,CMAVO4
di'upezu,2,,,1,CMAVO4
di'uxire,5,,,1,CMAVO
di'uxivei,1,,,1,CMAVO4
diji,1,,,1,CMAVO
dine,45,question_mark,,1,CMAVO
dine'e,1,question_mark,,1,CMAVO
dinei,2,question_mark,,1,CMAVO
dipole,1,question_mark,,1,CMAVO
diri'a,1,question_mark,,1,CMAVO
dixi,5,,,1,CMAVO
dixici,3,,,1,CMAVO4
dixipa,6,,,1,CMAVO
dixire,4,,,1,CMAVO4
do'anai,29,,,1,CMAVO4
do'azo'o,2,,,1,CMAVO
do'ekaumakau,7,,,1,CMAVO
do'eki,2,,,1,CMAVO
do'i,38,,,1,CMAVO
do'ili,2,question_mark,,1,CMAVO
do'opezi,4,,,1,CMAVO4
do'udoi,2,question_mark,,1,CMAVO4
do'uxire,3,,,1,CMAVO
doce,10,,,1,CMAVO
docu,4,question_mark,,1,CMAVO
dodoi,5,question_mark,,1,CMAVO
doga'i,1,,,1,CMAVO
doga'inaicai,2,,,1,CMAVO
doga'inairu'e,2,,,1,CMAVO
dogi'e,5,,,1,CMAVO
dogi'eka'e,1,,,1,CMAVO
doido'o,4,,,1,CMAVO
doido'u,10,,,1,CMAVO
doido'uga'inai,2,,,1,CMAVO
doimi,4,,,1,CMAVO
doimi'o,21,,,1,CMAVO
doji,1,,,1,CMAVO
doji'ago'i,2,question_mark,,1,CMAVO
dokau,2,,,1,CMAVO
domo,56,,,1,CMAVO
donabo,1,question_mark,,1,CMAVO
donau,1,question_mark,,1,CMAVO
done,9380,question_mark,,1,CMAVO
dope,34,question_mark,,1,CMAVO
dopecaku,2,,,1,CMAVO4
dopeza,5,,,1,CMAVO4
dopeze'a,2,,,1,CMAVO
dopo,1,,,1,CMAVO
dorobo,1,question_mark,,1,CMAVO
doxipa,1,,,1,CMAVO4
doxire,1,,,1,CMAVO4
doxu,2,,,1,CMAVO4
doza'a,5,,,1,CMAVO4
du'emei,11,,,1,CMAVO
du'emoi,1,,,1,CMAVO
du'ere'u,1,,,1,CMAVO
du'eroi,11,,,1,CMAVO
du'eso'iroi,1,,,1,CMAVO4
du'ibo,27,,,1,CMAVO
du'igi,1,,,1,CMAVO
du'ila'edi'u,9,,,1,CMAVO4
du'inai,1,,,1,CMAVO
du'uda'i,3,,,1,CMAVO
du'uke,4,,,1,CMAVO
du'umei,1,,,1,CMAVO
dubi,1,question_mark,,1,CMAVO
dubita,1,question_mark,,1,CMAVO
dubu,2,,,1,CMAVO4
duda,3,,,1,CMAVO
dude,115,question_mark,,1,CMAVO
dudi,2,,,1,CMAVO
dufai,1,question_mark,,1,CMAVO
dulo,1,question_mark,,1,CMAVO
duma,36,,,1,CMAVO
dumu,2,question_mark,,1,CMAVO
dupa,3,,,1,CMAVO
dura,7,,,1,CMAVO
dure,2,,,1,CMAVO
duri,1,,,1,CMAVO
duro,4,,,1,CMAVO
duta,1,,,1,CMAVO
duti,6,,,1,CMAVO
duty,12,question_mark,11,1,CMAVO
duxa,1,question_mark,,1,CMAVO
duzo,1,question_mark,,1,CMAVO
dybu,2,,,,LERFU COMPOUND4
dyby,1,,11,,LEhAVLA
e'aji'a,3,,,1,CMAVO4
e'anai,72,,,1,CMAVO
e'anaicai,8,,,1,CMAVO4
e'anairo'a,5,,,1,CMAVO4
e'anairu'e,2,,,1,CMAVO
e'anaisai,2,,,1,CMAVO
e'apei,27,,,1,CMAVO
e'aro'i,1,,,1,CMAVO4
e'aru'e,2,,,1,CMAVO
e'asai,10,,,1,CMAVO4
e'asaije,1,question_mark,,1,CMAVO
e'ase'idai,2,,,1,CMAVO
e'ecai,18,,,1,CMAVO
e'ecu'i,2,,,1,CMAVO4
e'edai,1,,,1,CMAVO
e'enai,52,,,1,CMAVO
e'enaise'i,1,,,1,CMAVO
e'enaise'inai,6,,,1,CMAVO
e'epei,2,,,1,CMAVO
e'ero'e,2,,,1,CMAVO
e'eru'e,1,,,1,CMAVO
e'icu'i,8,,,1,CMAVO
e'inai,46,,,1,CMAVO
e'ire,2,,,1,CMAVO
e'ocai,38,,,1,CMAVO
e'ocaizo'o,6,,,1,CMAVO
e'odo'a,2,,,1,CMAVO4
e'oga'i,4,,,1,CMAVO
e'oga'inai,4,,,1,CMAVO
e'oji'a,1,,,1,CMAVO4
e'onai,13,,,1,CMAVO
e'ori'e,4,,,1,CMAVO4
e'oru'e,8,,,1,CMAVO
e'osai,2269,,,1,CMAVO
e'osaidai,1,,,1,CMAVO
e'ucai,31,,,1,CMAVO
e'ucu'i,5,,,1,CMAVO
e'uga'i,5,,,1,CMAVO
e'unai,34,,,1,CMAVO
e'unaicai,1,,,1,CMAVO
e'upe'ipei,2,,,1,CMAVO
e'upei,17,,,1,CMAVO
e'uru'e,19,,,1,CMAVO
e'usai,26,,,1,CMAVO
e'uzo'o,1,,,1,CMAVO4
eba,8,,,1,CMAVO
ebabo,16,,,1,CMAVO
ebake,3,,,1,CMAVO
ebaza,1,,,1,CMAVO4
ebazake,9,,,1,CMAVO4
ebazibo,1,,,1,CMAVO4
ebo,28,,,1,CMAVO
ebu,117,,,1,CMAVO
ebukyry,1,,,,LERFU COMPOUND4
eca,2,,,1,CMAVO
ecabo,2,,,1,CMAVO4
eco'abo,2,,,1,CMAVO4
eda,10,,,1,CMAVO
edamo,1,question_mark,,1,CMAVO
ede,11,,,1,CMAVO
edi,21,,,1,CMAVO
edipodo,1,question_mark,,1,CMAVO
edo,53,,,1,CMAVO
edope,1,,,1,CMAVO
edu'ibo,3,,,1,CMAVO
ega,13,,,1,CMAVO
egale,5,,,1,CMAVO
ege,15,,,1,CMAVO
egedi,4,,,1,CMAVO
egeire,5,question_mark,,1,CMAVO
egi,3,question_mark,,1,CMAVO
egiba,1,question_mark,,1,CMAVO
egico'abo,1,,,1,CMAVO4
egino,1,question_mark,,1,CMAVO
ego,272,question_mark,,1,CMAVO
egola,1,,,1,CMAVO
egu,3,,,1,CMAVO
eicai,11,,,1,CMAVO
eicu'i,1,,,1,CMAVO
eidai,2,,,1,CMAVO
eifu'e,3,,,1,CMAVO4
einai,65,,,1,CMAVO
einaidai,2,,,1,CMAVO
einairo'a,1,,,1,CMAVO4
eipa'e,1,,,1,CMAVO4
eipei,12,,,1,CMAVO
eipeixu,2,,,1,CMAVO4
eiro'a,3,,,1,CMAVO4
eiro'apa'e,5,,,1,CMAVO4
eiro'i,4,,,1,CMAVO4
eiru'e,7,,,1,CMAVO
eisai,6,,,1,CMAVO
eisaidai,2,,,1,CMAVO
eisau,3,,,1,CMAVO
eivai,1,,,1,CMAVO
eizo'o,4,,,1,CMAVO
eizo'u,2,,,1,CMAVO
*eja'ai,2,,,1,CMAVO
ejabo,1,,,1,CMAVO
eji'a,43,,,1,CMAVO
ejo'a,8,,,1,CMAVO
eju'ocu'i,1,,,1,CMAVO
eju'onai,1,,,1,CMAVO
eke,20,question_mark,,1,CMAVO
eki,5,,,1,CMAVO
ekiba,1,,,1,CMAVO
eko,13,,,1,CMAVO
ekomo,1,question_mark,,1,CMAVO
eku'i,13,,,1,CMAVO
ela,35,,,1,CMAVO
ela'a,1,,,1,CMAVO
ela'anai,1,,,1,CMAVO
elai,5,,,1,CMAVO
elau,1,question_mark,11,1,CMAVO
ele,57,,,1,CMAVO
ele'ele,1,question_mark,,1,CMAVO
eledu'ukau,2,,,1,CMAVO4
eleko'a,1,,,1,CMAVO4
eleru,1,,,1,CMAVO
elete,2,,,1,CMAVO
eleve,1,,,1,CMAVO
eli,117,question_mark,,1,CMAVO
eli'a,1,,,1,CMAVO
eli'o,2,,,1,CMAVO4
elo,25,,,1,CMAVO
eloni,1,,,1,CMAVO
elu,2,,,1,CMAVO
ema,45,,,1,CMAVO
emaubo,10,,,1,CMAVO
emaugi,2,,,1,CMAVO
eme'abo,1,,,1,CMAVO
eme'o,3,question_mark,,1,CMAVO4
emele,1,,,1,CMAVO
emelo,1,,,1,CMAVO
emi,12,,,1,CMAVO
enai,531,,,1,CMAVO
enaike,1,,,1,CMAVO
enaiku'i,5,,,1,CMAVO
ene'ibo,6,,,1,CMAVO
eno,14,,,1,CMAVO
enola,8,,,1,CMAVO
enovikai,2,question_mark,,1,CMAVO
enu'i,6,,,1,CMAVO
enu'o,3,,,1,CMAVO
epa,28,question_mark,,1,CMAVO
epeixirimata,1,question_mark,,1,CMAVO
era,540,question_mark,,1,CMAVO
ere,48,question_mark,,1,CMAVO
erede,1,,,1,CMAVO
erela,2,,,1,CMAVO
erese,2,,,1,CMAVO
eri,2,,,1,CMAVO
ero,412,question_mark,,1,CMAVO
erode,1,question_mark,,1,CMAVO
erori,1,question_mark,,1,CMAVO
eru,13,,,1,CMAVO
esau,3,question_mark,,1,CMAVO
esei,2,question_mark,,1,CMAVO
esemaubo,8,,,1,CMAVO
esemu'ibo,3,,,1,CMAVO
eta,91,question_mark,,1,CMAVO
etai,8,question_mark,,1,CMAVO
ete'i,1,,,1,CMAVO4
etei,1,question_mark,,1,CMAVO
eti,63,,,1,CMAVO
etu,1,,,1,CMAVO
eva,54,question_mark,,1,CMAVO
evadau,2,question_mark,,1,CMAVO
evade,59,question_mark,,1,CMAVO
evi,3,,,1,CMAVO
evitu,3,,,1,CMAVO
evora,4,question_mark,,1,CMAVO
evu,1,,,1,CMAVO
examo,4,question_mark,,1,CMAVO
exu,40,question_mark,,1,CMAVO
eza,2,,,1,CMAVO
ezi,5,,,1,CMAVO
ezo,70,,,1,CMAVO
ezoko,1,,,1,CMAVO
ezopa,2,question_mark,,1,CMAVO
fa'a'a,18,question_mark,,1,CMAVO
fa'aca'u,2,,,1,CMAVO
fa'agau,4,,,1,CMAVO
fa'ajeto'o,2,,,1,CMAVO
fa'aku,2,,,1,CMAVO
fa'amo'i,2,,,1,CMAVO
fa'anai,12,,,1,CMAVO
fa'ane'i,3,,,1,CMAVO4
fa'ane'inai,2,,,1,CMAVO
fa'ari'u,2,,,1,CMAVO
fa'avi,8,,,1,CMAVO
fa'avu,1,,,1,CMAVO4
fa'onai,5,,,1,CMAVO
fa'ubo,96,,,1,CMAVO
fa'ugi,2,,,1,CMAVO
fa'ulu,2,,,1,CMAVO4
faci,25,question_mark,,1,CMAVO
facila,30,question_mark,,1,CMAVO
facile,63,question_mark,,1,CMAVO
facility,15,question_mark,11,1,CMAVO
facilo,2,question_mark,,1,CMAVO
fada,10,,,1,CMAVO
fade,78,question_mark,,1,CMAVO
fadene,1,question_mark,,1,CMAVO
fadi'e,6,question_mark,,1,CMAVO
fado,2,,,1,CMAVO
fagai,1,question_mark,,1,CMAVO
fage,2,,,1,CMAVO
fagi,2,question_mark,,1,CMAVO
fago,1,,,1,CMAVO
fagu,1,,,1,CMAVO
faileriba,1,,,1,CMAVO
faileripa,1,question_mark,,1,CMAVO
failevi,1,,,1,CMAVO
faili,1,question_mark,,1,CMAVO
failire,1,,,1,CMAVO
failo,3,,,1,CMAVO
faina,2,,,1,CMAVO
fainanai,1,,,1,CMAVO
faire,82,,,1,CMAVO
faisa'a,8,,,1,CMAVO4
faiti,1,question_mark,,1,CMAVO
faixi,2,,,1,CMAVO
faixipa,1,,,1,CMAVO4
faixire,3,,,1,CMAVO
fakau,2,question_mark,,1,CMAVO
fako,3,,,1,CMAVO
fala,6,,,1,CMAVO
fale,21,,,1,CMAVO
faleda'inu,1,,,1,CMAVO4
faledu'u,2,,,1,CMAVO
falei,2,,,1,CMAVO
faleka,2,,,1,CMAVO
faleku'i,6,,,1,CMAVO
falemi,2,,,1,CMAVO
falemu'e,1,,,1,CMAVO4
faleni,2,,,1,CMAVO
falenu,182,,,1,CMAVO
falepe'a,3,,,1,CMAVO4
falesedu'u,3,,,1,CMAVO
faleza'i,4,,,1,CMAVO4
fali,4,,,1,CMAVO
falo,25,,,1,CMAVO
falomu'e,2,,,1,CMAVO
falonu,4,,,1,CMAVO
falu,3,,,1,CMAVO
fama,10,,,1,CMAVO
famacedo,11,,,1,CMAVO
fami,14,,,1,CMAVO
famine,14,question_mark,,1,CMAVO
fanau,1,question_mark,,1,CMAVO
fano,1,question_mark,,1,CMAVO
fapalo,1,,,1,CMAVO
fapo'o,2,,,1,CMAVO
fara,13,,,1,CMAVO
fare,125,question_mark,,1,CMAVO
fari,28,,,1,CMAVO
faru,6,,,1,CMAVO
fata,2,,,1,CMAVO
fati,1,,,1,CMAVO
fatu'a,8,,,1,CMAVO
fauci,1,,,1,CMAVO
faufa'i,2,,,1,CMAVO4
faulenu,8,,,1,CMAVO
faulinei,1,question_mark,,1,CMAVO
faulonu,6,,,1,CMAVO
faupa,2,question_mark,,1,CMAVO
fautu'a,4,,,1,CMAVO
favora,3,,,1,CMAVO
favore,10,,,1,CMAVO
favori,1,,,1,CMAVO
faxixa,2,,,1,CMAVO4
fazu'i,2,,,1,CMAVO
fe'e'e,18,question_mark,,1,CMAVO
fe'eba'o,7,,,1,CMAVO
fe'eba'ovu,2,,,1,CMAVO
fe'eciroi,1,,,1,CMAVO
fe'eco'a,9,,,1,CMAVO
fe'eco'ida,1,,,1,CMAVO
fe'eco'u,4,,,1,CMAVO
fe'edu'eso'iroi,1,,,1,CMAVO4
fe'emo'u,4,,,1,CMAVO
fe'enoroi,3,,,1,CMAVO4
fe'eroroi,18,,,1,CMAVO
fe'eru'i,2,,,1,CMAVO
fe'exe'i,3,question_mark,,1,CMAVO
fe'oca'eki'ami'e,2,,,1,CMAVO
fe'oca'emi'e,18,,,1,CMAVO
fe'odoi,1,,,1,CMAVO4
fe'omi'e,39,,,1,CMAVO
fe'onai,3,,,1,CMAVO
fede,1,,,1,CMAVO
feimai,3,,,1,CMAVO
feino,2,,,1,CMAVO
feira,7,,,1,CMAVO
feko,8,,,1,CMAVO
fela,8,,,1,CMAVO
fela'i,3,,,1,CMAVO
fele,15,,,1,CMAVO
feledu'u,3,,,1,CMAVO4
feleli'i,17,,,1,CMAVO
felenu,14,,,1,CMAVO
feli,8,,,1,CMAVO
felici,47,question_mark,,1,CMAVO
felino,1,,11,1,CMAVO
felixa,8,,,1,CMAVO
felo,1,,,1,CMAVO
feloka,4,,,1,CMAVO4
felonu,4,,,1,CMAVO4
felu,2,,,1,CMAVO
fema,9,,,1,CMAVO
femi,5,,,1,CMAVO
femine,6,question_mark,,1,CMAVO
fere,4,question_mark,,1,CMAVO
feri,190,,,1,CMAVO
fero,8,question_mark,,1,CMAVO
ferole,1,,,1,CMAVO4
feru,1,,,1,CMAVO
fetu'ado,4,,,1,CMAVO4
fi'akau,4,,,1,CMAVO
fi'aso,4,,,1,CMAVO
fi'eka'u,2,,,1,CMAVO4
fi'i'i,8,question_mark,,1,CMAVO
fi'icai,2,,,1,CMAVO
fi'idai,5,,,1,CMAVO
fi'idaido'u,3,,,1,CMAVO
fi'ido'u,4,,,1,CMAVO4
fi'idoi,1,,,1,CMAVO4
fi'ijecu'u,2,,,1,CMAVO
fi'ike'u,2,,,1,CMAVO
fi'iki'e,1,,,1,CMAVO
fi'inai,10,,,1,CMAVO4
fi'ire'ido'u,1,,,1,CMAVO
fi'ogo'i,3,,,1,CMAVO
fi'u'i,2,question_mark,,1,CMAVO
fi'uci,1,,,1,CMAVO4
fi'upai,2,,,1,CMAVO
fi'uvei,10,,,1,CMAVO
fi'uvo,2,,,1,CMAVO
fi'uvosi'e,2,,,1,CMAVO
fiba,1,,,1,CMAVO
fica,18,question_mark,,1,CMAVO
fice'u,1,,11,1,CMAVO
fida,6,,,1,CMAVO
fide,72,,,1,CMAVO
fidexipa,4,,,1,CMAVO
fidi'e,1,,,1,CMAVO4
fido,53,question_mark,,1,CMAVO
fidomo,2,question_mark,,1,CMAVO
figa,2,,,1,CMAVO
fika'u,4,,,1,CMAVO4
fike'a,3,,,1,CMAVO
fila,24,,,1,CMAVO
fila'e,2,,,1,CMAVO
fila'edi'u,4,,,1,CMAVO4
file,4191,question_mark,,1,CMAVO
filedu'u,1,,,1,CMAVO
filei,4,,,1,CMAVO
fileka,6,,,1,CMAVO
filemi,1,,,1,CMAVO4
filemo,1,question_mark,,1,CMAVO
filemu'e,2,,,1,CMAVO4
fileni,2,,,1,CMAVO4
filenu,30,,,1,CMAVO
fileri,1,,11,1,CMAVO
fili,16,,,1,CMAVO
filino,8,,,1,CMAVO
filipino,81,question_mark,,1,CMAVO
filirezecipipamu,1,question_mark,,1,CMAVO
filo,58,,,1,CMAVO
filo'i,3,,,1,CMAVO
filoca,6,,,1,CMAVO
filu,4,,,1,CMAVO
fime,1,,,1,CMAVO
fimi,2,,,1,CMAVO4
finilize,1,question_mark,,1,CMAVO
fino,11,question_mark,,1,CMAVO
fira,2,,,1,CMAVO
fire,1218,question_mark,,1,CMAVO
firi,3,,,1,CMAVO
firu,1,,,1,CMAVO
fiso'ida,4,,,1,CMAVO
fita,40,,,1,CMAVO
fiti,2,,,1,CMAVO
fitu,1,,,1,CMAVO
fitu'a,8,,,1,CMAVO
fitu'alo,1,,,1,CMAVO
fo'age'u,1,,,1,CMAVO4
fo'o'o,8,question_mark,,1,CMAVO
foci,39,question_mark,,1,CMAVO
fode,1,,,1,CMAVO
fofo'a,18,,,1,CMAVO
fogo,1,,,1,CMAVO
foke'a,6,,,1,CMAVO4
foko,1,,,1,CMAVO
fola,1,,,1,CMAVO
fole,4,,,1,CMAVO
folei,4,,,1,CMAVO4
foleka,2,,,1,CMAVO
folenu,4,,,1,CMAVO
folo,10,,,1,CMAVO
foma,8,,,1,CMAVO
fono,10,question_mark,,1,CMAVO
fopa,1,question_mark,,1,CMAVO
fora,77,,,1,CMAVO
fore,49,question_mark,,1,CMAVO
fori,2,,,1,CMAVO
foro,7,question_mark,,1,CMAVO
forumo,1,question_mark,,1,CMAVO
foti,1,,,1,CMAVO
foxalo,1,question_mark,,1,CMAVO
fu'axicivo'a,1,,,1,CMAVO4
fu'axire,1,,,1,CMAVO4
fu'eba'u,1,,,1,CMAVO4
fu'eba'uzo'o,2,,,1,CMAVO4
fu'ebe'ucu'i,4,,,1,CMAVO
fu'eda'i,14,,,1,CMAVO
fu'efu'a,1,,,1,CMAVO4
fu'eje'unai,2,,,1,CMAVO
fu'ejo'a,2,,,1,CMAVO
fu'eju'o,2,,,1,CMAVO
fu'eka'u,6,,,1,CMAVO
fu'enai,1,,,1,CMAVO
fu'epe'a,37,,,1,CMAVO
fu'epe'anai,2,,,1,CMAVO
fu'epo'o,15,,,1,CMAVO
fu'eri'e,3,,,1,CMAVO4
fu'eru'a,1,,,1,CMAVO
fu'esa'enai,4,,,1,CMAVO
fu'ete'i,2,,,1,CMAVO
fu'eti'e,2,,,1,CMAVO
fu'icu'i,6,,,1,CMAVO
fu'idai,2,,,1,CMAVO
fu'inai,6,,,1,CMAVO
fu'inairu'e,3,,,1,CMAVO
fu'inaisai,4,,,1,CMAVO
fu'iro'odai,1,,,1,CMAVO
fu'iro'ose'inai,4,,,1,CMAVO
fu'u'u,8,question_mark,,1,CMAVO
fude,2,,,1,CMAVO
fuga,6,,,1,CMAVO
fugalo,3,,,1,CMAVO
fuge,2,,,1,CMAVO
fugu,1,,,1,CMAVO
fula,10,,,1,CMAVO
fulau,3,question_mark,,1,CMAVO
fuledi'u,1,,,1,CMAVO4
fulo,2,,,1,CMAVO4
fulu,8,,,1,CMAVO
fuma,11,,,1,CMAVO
fumi,2,,,1,CMAVO
furo,3,question_mark,,1,CMAVO
furore,1,question_mark,,1,CMAVO
futa,8,,,1,CMAVO
futu,3,,,1,CMAVO
futu'a,1,,,1,CMAVO4
fyboi,4,,,,LERFU COMPOUND4
fyfyfyfy,10,,,,
fyky,11,,,,LERFU COMPOUND4
*fylyfia,1,,,,
fylyny,1,,,,
fytypy,4,,,,LERFU COMPOUND4
ga'ami,1,,,1,CMAVO
ga'anai,5,,,1,CMAVO
ga'axai,3,,,1,CMAVO4
ga'icai,3,,,1,CMAVO
ga'icu'i,15,,,1,CMAVO
ga'inai,195,,,1,CMAVO
ga'inaicai,4,,,1,CMAVO
ga'iro'a,4,,,1,CMAVO4
ga'iru'e,5,,,1,CMAVO
ga'izu,1,,,1,CMAVO
ga'obi'iga'o,4,,,1,CMAVO
ga'oza,1,,,1,CMAVO
ga'ozu,1,,,1,CMAVO
ga'ufa'a,2,,,1,CMAVO
ga'unai,4,,,1,CMAVO
ga'ute'e,1,,,1,CMAVO4
ga'uto'o,1,,,1,CMAVO
ga'uva,1,,,1,CMAVO4
ga'uve'u,8,,,1,CMAVO
ga'uvi,4,,,1,CMAVO
gabada,4,question_mark,,1,CMAVO
gabadi,3,question_mark,,1,CMAVO
gabala,1,question_mark,,1,CMAVO
gacei,1,question_mark,,1,CMAVO
gade,1,,,1,CMAVO
gado,4,,,1,CMAVO
gaida,2,,,1,CMAVO
gaimoi,3,,,1,CMAVO
gaita,3,question_mark,11,1,CMAVO
gajai,1,question_mark,,1,CMAVO
gako,2,,,1,CMAVO
gala,12,question_mark,,1,CMAVO
gale,114,question_mark,,1,CMAVO
galici,1,,,1,CMAVO
galo,1,,,1,CMAVO
galore,11,question_mark,,1,CMAVO
galu,1,,,1,CMAVO
gama,5,,,1,CMAVO
ganai,212,,,1,CMAVO
ganaigo'i,4,,,1,CMAVO4
gape'o,1,,,1,CMAVO
gara,1,,,1,CMAVO
garage,119,question_mark,,1,CMAVO
gare,3,question_mark,,1,CMAVO
gari,2,,,1,CMAVO
garikai,24,question_mark,,1,CMAVO
garo,5,question_mark,,1,CMAVO
gary,38,question_mark,11,1,CMAVO
gata,8,question_mark,,1,CMAVO
gaudy,1,question_mark,11,1,CMAVO
gaulo,2,question_mark,,1,CMAVO
gaunai,1,question_mark,,1,CMAVO4
gauze,7,question_mark,,1,CMAVO
gavu,1,question_mark,,1,CMAVO
gaza,11,question_mark,,1,CMAVO
ge'edai,2,,,1,CMAVO
ge'ekau,31,,,1,CMAVO
ge'ekaunai,1,,,1,CMAVO4
ge'enai,2,,,1,CMAVO
ge'enairu'e,6,,,1,CMAVO
ge'ikau,9,,,1,CMAVO4
ge'oby,1,,,1,CMAVO
ge'oly,7,,,1,CMAVO
ge'olynau,2,,,,LERFU COMPOUND4
ge'ujo'u,5,,,1,CMAVO4
ge'ukei,1,,,1,CMAVO4
ge'uku,7,,,1,CMAVO
ge'uzi'enoi,3,,,1,CMAVO4
gebo,2,,,1,CMAVO
gecabo,2,,,1,CMAVO4
geco'ubo,1,,,1,CMAVO4
gefu'eti'e,4,,,1,CMAVO
geibo,1,question_mark,,1,CMAVO
geile,1,question_mark,,1,CMAVO
geima,1,question_mark,,1,CMAVO
geiri,3,question_mark,,1,CMAVO
geji'a,2,,,1,CMAVO
geli,3,,,1,CMAVO
gelo,1,,,1,CMAVO
gelu,2,,,1,CMAVO
gema,2,,,1,CMAVO
genai,65,,,1,CMAVO
genau,10,question_mark,,1,CMAVO
gera,7,,,1,CMAVO
gere,10,question_mark,,1,CMAVO
gero,4,question_mark,,1,CMAVO
geta,10,question_mark,,1,CMAVO
gezu'u,3,,,1,CMAVO
gi'abo,1,,,1,CMAVO4
gi'ake,1,,,1,CMAVO
gi'anai,30,,,1,CMAVO
gi'anaibabo,3,,,1,CMAVO4
gi'eba,2,,,1,CMAVO
gi'eba'enai,2,,,1,CMAVO
