rafsi_or_cmavo,gismu,as_rafsi_ini,as_rafsi_mid,as_rafsi_fin,as_gismu,as_cmavo
filso,filso,0,0,1,1,
fi'e,finpe,0,0,17,0,
fip,finpe,6,1,0,0,
finpe,finpe,0,0,0,191,
fi'i,finti,12,6,231,0,
fin,finti,36,22,0,0,
finti,finti,0,0,2,609,
fint,finti,0,0,0,0,
fla,flalu,42,16,32,0,
flal,flalu,0,0,0,0,
flani,flani,0,0,6,20,
flan,flani,1,0,0,0,
fle,flecu,16,3,60,0,
flecu,flecu,0,0,0,127,
fli,fliba,10,0,10,0,
fliba,fliba,0,0,0,69,
fir,flira,46,6,0,0,
flira,flira,0,0,11,189,
flir,flira,0,0,0,0,
fo'a,fo'a,8,0,0,0,
fo'i,fo'i,2,0,0,0,
foi,foldi,5,0,161,0,
flo,foldi,9,0,24,0,
fol,foldi,6,0,0,0,
foldi,foldi,0,0,0,99,
fom,fonmo,21,0,0,0,
fo'o,fonmo,0,0,2,0,
fon,fonxa,115,3,0,0,
fonxa,fonxa,0,0,15,206,
fonx,fonxa,0,0,0,0,
fro,forca,0,0,8,0,
fas,fraso,22,1,0,0,
fraso,fraso,0,0,1,182,
fras,fraso,0,0,0,0,
fra,frati,57,4,103,0,
fax,fraxu,5,3,0,0,
fraxu,fraxu,0,0,7,171,
frax,fraxu,0,0,0,0,
frica,frica,10,0,33,767,
fic,frica,31,0,0,0,
fric,frica,0,0,0,0,
fi'o,friko,35,0,2,0,
frik,friko,0,0,0,0,
fil,frili,115,12,0,0,
frili,frili,0,0,6,305,
fril,frili,0,0,0,0,
frin,frinu,3,2,1,0,
frinu,frinu,0,0,6,14,
friti,friti,0,0,18,82,
fit,friti,13,1,0,0,
fru,frumu,17,0,1,0,
frumu,frumu,0,0,0,15,
fu'i,fukpi,849,1,17,0,
fuk,fukpi,2,0,0,0,
fukp,fukpi,0,0,0,0,
flu,fulta,3,4,1,0,
ful,fulta,0,0,0,0,
fu'a,funca,0,0,47,0,
fun,funca,12,0,0,0,
funca,funca,0,0,4,28,
fusra,fusra,0,0,3,48,
fu'e,fuzme,4,0,3,0,
fuz,fuzme,2,0,0,0,
gacpi,gacpi,0,0,6,0,
gai,gacri,22,24,116,0,
gacri,gacri,0,0,0,118,
gadri,gadri,0,0,14,350,
ga'i,galfi,13,14,74,0,
gaf,galfi,25,5,0,0,
galf,galfi,0,0,0,0,
galfi,galfi,0,0,0,313,
gal,galtu,106,0,0,0,
ga'u,galtu,0,0,24,0,
galtu,galtu,0,0,2,216,
galx,galxe,11,0,0,0,
galxe,galxe,0,0,1,35,
ga'o,ganlo,54,0,3,0,13
ganl,ganlo,0,0,0,0,
gan,ganra,62,1,0,0,
ganra,ganra,0,1,15,91,
ganr,ganra,0,0,0,0,
ga'e,ganse,1,3,98,0,
gas,ganse,26,2,0,0,
ganti,ganti,0,0,4,24,
gax,ganxo,32,0,0,0,
ganxo,ganxo,0,0,1,74,
ganzu,ganzu,0,0,11,58,
gac,gapci,47,14,0,0,
gapci,gapci,0,0,18,25,
gap,gapru,21,1,0,0,
gapru,gapru,0,0,12,206,
gar,garna,26,0,0,0,
garna,garna,0,0,4,12,
garn,garna,0,0,0,0,
gau,gasnu,10,13,2211,0,289
gasn,gasnu,0,0,0,0,
gasnu,gasnu,0,0,0,1277,
gat,gasta,1,0,0,0,
gasta,gasta,0,0,1,30,
genja,genja,0,0,5,38,
gej,genja,2,0,0,0,
get,gento,26,0,0,0,
ge'o,gento,0,0,1,0,
gent,gento,0,0,0,0,
genxu,genxu,0,0,1,9,
ger,gerku,232,4,0,0,
ge'u,gerku,0,5,68,0,
gerk,gerku,0,0,0,0,
gerku,gerku,0,0,0,2764,
gen,gerna,317,17,0,0,
ge'a,gerna,3,0,178,0,
gerna,gerna,0,0,4,426,
gern,gerna,0,0,0,0,
gi'a,gidva,1,0,6,0,
gidva,gidva,0,0,2,45,
gid,gidva,0,1,0,0,
gi'o,gigdo,0,0,3,0,
gig,gigdo,1,0,0,0,
gik,ginka,4,0,0,0,
ginka,ginka,0,0,2,62,
gri,girzu,57,12,320,0,
gir,girzu,0,0,0,0,
girzu,girzu,0,0,0,355,
gim,gismu,397,3,0,0,
gi'u,gismu,0,0,50,0,
gism,gismu,0,0,0,0,
gismu,gismu,0,0,0,6524,
gla,glare,106,0,66,0,
glar,glare,0,0,0,0,
glare,glare,0,0,0,365,
gei,gleki,59,20,142,0,
gek,gleki,5,0,0,0,
glek,gleki,0,0,0,0,
gleki,gleki,0,0,0,702,
gle,gletu,223,21,105,0,
gletu,gletu,0,0,6,200,
let,gletu,0,0,0,0,
gli,glico,453,62,523,0,
gic,glico,24,0,0,0,
glico,glico,0,0,4,401,
glic,glico,0,0,0,0,
glu,gluta,0,0,9,0,
gocti,gocti,0,0,2,0,
gotro,gotro,0,0,2,6,
rau,gradu,3,0,49,0,
gradu,gradu,0,0,0,128,
gra,grake,6,0,96,0,
grake,grake,0,0,0,132,
ga'a,grana,35,20,49,0,
grana,grana,0,0,0,116,
ras,grasu,40,7,0,0,
grasu,grasu,0,0,17,28,
gras,grasu,0,0,0,0,
greku,greku,0,0,7,24,
rek,greku,1,0,0,0,
rus,grusi,28,0,0,0,
grus,grusi,6,0,0,0,
grusi,grusi,0,0,1,163,
rut,grute,6,6,0,0,
grute,grute,0,0,5,103,
grut,grute,0,0,0,0,
gruti,gruti,0,0,2,0,
gub,gubni,58,0,0,0,
gubni,gubni,0,0,3,44,
gubn,gubni,0,0,0,0,
gu'e,gugde,0,18,237,0,
gug,gugde,28,5,0,0,
gugde,gugde,0,0,0,355,
gundi,gundi,0,0,2,6,
gu'a,gunka,12,0,63,0,
gun,gunka,38,18,0,0,
gunk,gunka,0,0,0,0,
gunka,gunka,0,0,0,572,
gunma,gunma,12,0,18,321,
gum,gunma,10,0,0,0,
gu'o,gunro,0,0,16,0,
gur,gunro,12,0,0,0,
gunr,gunro,0,0,0,0,
gunse,gunse,0,0,36,349,
guns,gunse,2,0,0,0,
gunta,gunta,8,0,36,118,
gut,gunta,15,0,0,0,
gru,gurni,10,22,16,0,
gurn,gurni,0,0,0,0,
gurni,gurni,0,0,0,76,
guk,guska,5,0,0,0,
guska,guska,0,0,4,14,
gu'i,gusni,6,11,190,0,
gus,gusni,70,12,0,0,
gusni,gusni,0,0,1,346,
gusn,gusni,0,0,0,0,
gusta,gusta,0,0,18,95,
gust,gusta,1,0,0,0,
gutci,gutci,0,0,20,106,
gutr,gutra,20,0,0,0,
gutra,gutra,0,0,1,18,
zme,guzme,1,0,2,0,
guzme,guzme,0,0,0,28,
jav,ja,0,23,0,0,
jabre,jabre,0,0,5,5,
ja'i,jadni,3,0,65,0,
jad,jadni,15,0,0,0,
jadni,jadni,0,0,4,64,
jakne,jakne,0,0,5,23,
ja'e,jalge,1,7,38,0,256
jag,jalge,2,0,0,0,
jalge,jalge,0,0,0,168,
jalna,jalna,0,0,2,5,
jalra,jalra,0,0,37,29,
jamfa,jamfa,0,0,4,0,
jma,jamfu,52,8,14,0,
jaf,jamfu,0,4,0,0,
jamf,jamfu,0,0,0,0,
jamna,jamna,14,7,7,87,
jam,jamna,15,3,0,0,
jamn,jamna,0,0,0,0,
janbe,janbe,0,0,5,26,
jab,janbe,3,0,0,0,
janb,janbe,0,0,0,0,
jan,janco,8,1,0,0,
janco,janco,0,0,2,54,
janli,janli,2,0,8,26,
jal,janli,5,0,0,0,
jas,jansu,10,0,0,0,
jansu,jansu,0,0,3,6,
janta,janta,0,0,3,16,
jarbu,jarbu,0,0,3,18,
ja'o,jarco,15,44,99,0,
jarc,jarco,0,0,0,0,
jarco,jarco,0,0,0,336,
jak,jarki,44,0,0,0,
jarki,jarki,0,0,2,56,
jaspu,jaspu,0,0,3,11,
ja'a,jatna,0,0,79,0,
jatna,jatna,0,0,0,85,
jva,javni,62,6,20,0,
bam,jbama,6,0,0,0,
jbama,jbama,0,0,1,23,
jba,jbari,0,0,31,0,
jbe,jbena,62,52,75,0,
jben,jbena,0,0,0,0,
jbena,jbena,0,0,0,231,
jer,jbera,3,2,0,0,
jbera,jbera,0,0,3,55,
bi'i,jbini,0,0,56,0,
bin,jbini,24,15,0,0,
jbin,jbini,0,0,0,0,
jar,jdari,17,1,0,0,
jdari,jdari,0,0,6,91,
jdi,jdice,13,4,35,0,
jdice,jdice,0,0,0,179,
jdik,jdika,24,0,0,0,
jdika,jdika,0,0,8,82,
di'a,jdima,0,2,16,0,
jdima,jdima,0,0,0,130,
din,jdini,47,11,0,0,
di'i,jdini,1,2,5,0,
jdu,jduli,10,0,8,0,
jve,je,0,14,0,0,
jev,je,0,0,0,0,
jec,jecta,23,0,0,0,
je'a,jecta,2,0,18,0,
jecta,jecta,0,0,6,159,
ject,jecta,0,0,0,0,
jef,jeftu,129,0,0,0,
jeftu,jeftu,0,0,64,165,
jeft,jeftu,0,0,0,0,
jeg,jegvo,2,0,0,0,
je'o,jegvo,0,0,1,0,
jez,jei,0,0,3,0,
jel,jelca,30,2,0,0,
jelca,jelca,0,0,6,66,
jme,jemna,10,1,16,0,
jenca,jenca,0,0,9,18,
jendu,jendu,0,0,2,3,
jei,jenmi,1,2,10,0,
jem,jenmi,3,0,0,0,
jenmi,jenmi,0,0,0,66,
jerna,jerna,0,0,17,39,
jern,jerna,4,8,0,0,
je'i,jersi,4,2,33,0,
jersi,jersi,0,0,0,118,
jerxo,jerxo,0,0,1,0,
jes,jesni,6,0,0,0,
jesni,jesni,0,0,2,26,
je'e,jetce,1,0,4,0,
jetfu,jetfu,0,0,1,0,
jetni,jetni,0,0,8,0,
jet,jetnu,131,6,0,0,
je'u,jetnu,22,0,50,0,163
jetnu,jetnu,0,0,0,863,
ja'u,jgalu,7,0,1,0,
jga,jganu,7,2,2,0,
jai,jgari,8,0,104,0,
jgari,jgari,0,0,0,134,
jge,jgena,11,0,1,0,
gin,jgina,9,0,0,0,
jgina,jgina,0,0,2,16,
jgi,jgira,11,1,27,0,
jgira,jgira,0,0,0,52,
jgita,jgita,0,0,8,16,
git,jgita,3,0,0,0,
jbi,jibni,100,8,53,0,
jibni,jibni,0,0,0,233,
jibra,jibra,0,0,1,0,
jibri,jibri,0,0,60,203,
jib,jibri,14,0,0,0,
jibr,jibri,0,0,0,0,
jicla,jicla,0,0,35,16,
jicl,jicla,2,0,0,0,
cmu,jicmu,70,2,29,0,
jijnu,jijnu,1,0,3,48,
jij,jijnu,1,0,0,0,
jik,jikca,150,12,0,0,
jikca,jikca,10,0,32,198,
jikc,jikca,0,0,0,0,
jikru,jikru,0,0,6,4,
jikr,jikru,4,0,0,0,
jilka,jilka,0,0,1,3,
jilra,jilra,0,0,3,23,
jimca,jimca,0,0,2,41,
jmi,jimpe,47,9,301,0,
jimpe,jimpe,0,0,5,1374,
jimp,jimpe,0,0,0,0,
jimru,jimru,0,0,3,0,
jimte,jimte,0,0,33,59,
jit,jimte,22,0,0,0,
jinci,jinci,0,0,1,26,
ji'a,jinga,51,6,19,0,
jig,jinga,15,0,0,0,
jinga,jinga,0,0,0,54,
jinku,jinku,0,0,4,7,
jim,jinme,16,0,0,0,
jinme,jinme,2,0,1,25,
jinm,jinme,0,0,0,0,
jir,jinru,9,0,0,0,
jinru,jinru,0,0,5,30,
jinr,jinru,0,0,0,0,
jis,jinsa,41,8,0,0,
jinsa,jinsa,0,0,37,54,
jinto,jinto,0,0,3,53,
jint,jinto,1,0,0,0,
ji'i,jinvi,7,0,50,0,
jiv,jinvi,10,0,0,0,
jinv,jinvi,0,0,0,0,
jinvi,jinvi,0,0,0,1029,
jinzi,jinzi,0,0,16,53,
jiz,jinzi,10,3,0,0,
jipc,jipci,18,0,0,0,
jipci,jipci,0,0,18,75,
jip,jipno,41,0,0,0,
ji'o,jipno,0,0,9,0,
jipno,jipno,0,0,0,55,
jirna,jirna,0,0,357,34,
jirn,jirna,3,12,0,0,
jirne,jirne,0,0,4,0,
jisra,jisra,0,0,1,15,
jif,jitfa,56,1,0,0,
jitfa,jitfa,12,0,3,177,
jitf,jitfa,0,0,0,0,
tro,jitro,7,7,153,0,
jitro,jitro,0,0,6,144,
jivbu,jivbu,0,0,10,19,
jvi,jivna,107,30,119,0,
jivna,jivna,0,0,0,85,
jivni,jivni,0,0,6,0,
jaj,jmaji,37,10,0,0,
jmaji,jmaji,3,0,29,86,
jmifa,jmifa,0,0,2,3,
min,jmina,41,4,0,0,
jmina,jmina,4,0,14,126,
ji'e,jmive,199,1,37,0,
miv,jmive,57,0,0,0,
jmive,jmive,0,0,1,430,
jmiv,jmive,0,0,0,0,
jov,jo,0,4,0,0,
jom,jo'e,1,4,0,0,
joz,jo'e,0,4,0,0,
jo'u,jo'u,0,6,0,0,
joi,joi,2,27,0,0,
jol,joi,0,6,0,0,
jo'o,jordo,0,0,1,0,
jo'e,jorne,13,0,65,0,
jon,jorne,40,6,0,0,
jorn,jorne,0,0,0,0,
jorne,jorne,0,0,0,184,
juv,ju,0,2,0,0,
jbu,jubme,57,0,33,0,
jubme,jubme,0,0,0,699,
judri,judri,0,0,63,125,
ju'a,jufra,19,5,36,0,72
juf,jufra,40,0,0,0,
jufr,jufra,0,0,0,0,
jufra,jufra,0,0,0,503,
juk,jukni,25,0,0,0,
jukni,jukni,0,0,17,44,
jukn,jukni,0,0,0,0,
jup,jukpa,75,16,0,0,
jukpa,jukpa,0,0,50,152,
ju'e,julne,9,1,11,0,
juln,julne,0,0,0,0,
julne,julne,0,0,0,38,
ju'i,jundi,9,1,72,0,368
jud,jundi,35,0,0,0,
jundi,jundi,0,0,0,272,
jug,jungo,23,0,0,0,
jungo,jungo,0,0,1,93,
jul,junla,15,3,0,0,
junla,junla,0,0,3,25,
jur,junri,11,0,0,0,
junri,junri,0,0,5,52,
junr,junri,0,0,0,0,
junt,junta,9,0,0,0,
junta,junta,0,0,2,107,
jum,jurme,3,0,0,0,
jurme,jurme,0,0,1,13,
jurm,jurme,0,0,0,0,
jursa,jursa,0,0,4,19,
jut,jutsi,3,0,0,0,
jutsi,jutsi,0,0,2,100,
juxre,juxre,0,0,12,35,
ji'u,jvinu,0,0,11,0,
vin,jvinu,7,0,0,0,
jvinu,jvinu,0,0,0,112,
kam,ka,0,152,460,0,
kaz,ka,0,20,94,0,
ka,ka,0,0,0,0,
kabr,kabri,35,0,0,0,
kabri,kabri,0,0,8,167,
kacm,kacma,25,0,0,0,
kacma,kacma,0,0,2,31,
kadn,kadno,5,0,0,0,
kadno,kadno,0,0,2,10,
kafke,kafke,0,0,33,161,
kafk,kafke,3,0,0,0,
kagni,kagni,0,0,7,49,
kag,kagni,2,0,0,0,
jde,kajde,34,0,22,0,
kajde,kajde,0,0,0,120,
kajna,kajna,0,0,8,3,
ka'e,kakne,11,40,148,0,1836
kakne,kakne,0,0,0,648,
kakpa,kakpa,0,0,40,96,
kakp,kakpa,21,1,0,0,
kalci,kalci,0,0,6,53,
kalc,kalci,2,0,0,0,
kar,kalri,95,1,0,0,
kalri,kalri,0,0,12,98,
kalr,kalri,0,0,0,0,
kas,kalsa,92,2,0,0,
kalsa,kalsa,0,0,12,63,
kals,kalsa,0,0,0,0,
kalte,kalte,12,0,10,247,
kat,kalte,17,0,0,0,
kamju,kamju,0,0,18,33,
kamj,kamju,2,0,0,0,
kamni,kamni,0,0,8,30,
kamn,kamni,1,0,0,0,
kau,kampu,10,0,14,0,
kampu,kampu,0,0,0,89,
kanba,kanba,0,0,6,33,
kac,kancu,129,6,0,0,
kancu,kancu,0,8,77,121,
kad,kandi,4,0,0,0,
kandi,kandi,0,0,4,109,
kanji,kanji,0,0,8,159,
kaj,kanji,3,0,0,0,
kal,kanla,69,7,0,0,
kanla,kanla,0,0,12,309,
ka'o,kanro,25,0,15,0,
kanro,kanro,0,0,0,159,
kansa,kansa,1,0,111,479,
kan,kansa,84,21,0,0,
kans,kansa,0,0,0,0,
ka'u,kantu,49,5,50,0,
kant,kantu,0,0,0,0,
kantu,kantu,0,0,0,69,
kanxe,kanxe,0,0,6,35,
kax,kanxe,5,0,0,0,
kanx,kanxe,0,0,0,0,
karbi,karbi,0,0,4,52,
kab,karbi,1,0,0,0,
karc,karce,70,5,0,0,
karce,karce,0,0,62,488,
karda,karda,0,0,17,55,
kargu,kargu,0,0,26,72,
karg,kargu,0,5,0,0,
karl,karli,0,13,0,0,
karli,karli,0,0,3,5,
karni,karni,0,0,38,121,
karn,karni,15,0,0,0,
ka'a,katna,51,19,57,0,
katna,katna,0,0,4,241,
katn,katna,0,0,0,0,
kavbu,kavbu,0,0,25,194,
kav,kavbu,10,0,0,0,
kem,ke,12,134,0,0,
kep,ke'e,0,2,1,0,
ke'i,kecti,4,0,22,0,
kec,kecti,2,23,0,0,
kect,kecti,0,0,0,0,
kez,kei,0,48,1,0,
kei,kelci,70,25,224,0,
kel,kelci,70,0,0,0,
kelci,kelci,0,0,0,461,
ke'o,kelvo,0,0,16,0,
ken,kenra,13,4,0,0,
kenra,kenra,0,0,1,4,
kes,kensa,18,8,0,0,
kensa,kensa,0,0,1,24,
kre,kerfa,51,18,59,0,
kerfa,kerfa,0,0,0,298,
ker,kerlo,19,0,0,0,
kerlo,kerlo,0,0,1,61,
tco,ketco,6,0,4,0,
ke'a,kevna,22,1,245,0,
kev,kevna,14,3,0,0,
kevna,kevna,0,0,0,336,
ki'e,kicne,0,5,99,0,
kic,kicne,5,2,0,0,
kicne,kicne,0,0,0,35,
kij,kijno,21,0,0,0,
ki'o,kilto,133,0,12,0,
kilt,kilto,0,0,0,0,
kilto,kilto,0,0,0,70,
kil,kinli,102,0,0,0,
kinli,kinli,0,0,2,78,
kisto,kisto,0,0,2,10,
laj,klaji,23,5,0,0,
klaji,klaji,0,0,11,152,
kak,klaku,9,18,0,0,
klaku,klaku,0,0,4,135,
klak,klaku,0,0,0,0,
kla,klama,222,26,992,0,
klama,klama,0,0,9,5302,
klam,klama,0,0,0,0,
lai,klani,20,12,110,0,
klan,klani,0,0,0,0,
klani,klani,0,0,0,618,
lei,klesi,8,0,156,0,
kle,klesi,13,0,43,0,
klesi,klesi,0,0,0,331,
kli,klina,46,2,43,0,
kliru,kliru,0,0,1,0,
kit,kliti,47,2,0,0,
kliti,kliti,0,0,1,11,
lu'e,klupe,0,0,5,0,
lup,klupe,3,0,0,0,
luz,kluza,17,0,0,0,
kluza,kluza,0,0,3,9,
ko'i,kobli,0,0,3,0,
ko'a,kojna,6,0,16,0,
koj,kojna,8,0,0,0,
kol,kolme,0,1,0,0,
ko'e,kolme,0,0,1,0,
kom,komcu,16,0,0,0,
komcu,komcu,0,0,4,10,
kon,konju,17,0,0,0,
ko'u,konju,0,0,2,0,
koi,korbi,6,1,89,0,123
kor,korbi,4,0,0,0,
kro,korcu,24,0,19,0,
kok,korka,5,0,0,0,
korka,korka,0,0,1,0,
kos,kosta,14,0,0,0,
kosta,kosta,0,0,11,18,
kramu,kramu,0,0,3,3,
kra,krasi,13,24,35,0,
krasi,krasi,0,0,0,262,
ka'i,krati,15,3,11,0,54
krat,krati,0,0,0,0,
ke'u,krefu,3,16,58,0,114
ref,krefu,50,13,0,0,
kef,krefu,4,6,0,0,
kref,krefu,0,0,0,0,
krefu,krefu,0,0,0,583,
kri,krici,61,0,46,0,
kric,krici,0,0,0,0,
krici,krici,0,0,0,819,
krili,krili,0,0,2,9,
ki'u,krinu,0,0,23,0,959
rin,krinu,19,3,0,0,
ki'a,krixa,6,0,19,0,
kix,krixa,23,0,0,0,
krixa,krixa,0,0,2,176,
kruca,kruca,0,2,22,41,
kuc,kruca,22,0,0,0,
kruji,kruji,0,0,8,12,
kru,kruvi,6,0,28,0,
kruvi,kruvi,0,0,0,29,
ruv,kruvi,0,0,0,0,
kuz,ku'a,1,0,0,0,
kub,kubli,15,0,0,0,
kubli,kubli,0,0,11,50,
kucli,kucli,0,0,1,143,
kuf,kufra,18,2,0,0,
kufra,kufra,2,0,16,89,
kufr,kufra,0,0,0,0,
kuk,kukte,19,1,0,0,
kukte,kukte,4,0,1,50,
klu,kulnu,62,16,171,0,
kulnu,kulnu,0,0,7,228,
ku'a,kumfa,0,0,204,0,
kum,kumfa,2,0,0,0,
kumfa,kumfa,0,0,0,1016,
kumte,kumte,0,0,11,36,
kun,kunra,19,0,0,0,
kunra,kunra,0,0,3,10,
kut,kunti,16,0,0,0,
kunti,kunti,2,0,7,100,
kur,kurfa,11,0,0,0,
kurfa,kurfa,0,0,10,23,
ku'i,kurji,0,4,74,0,
kuj,kurji,9,6,0,0,
kurj,kurji,0,0,0,0,
kurji,kurji,0,0,0,218,
kurk,kurki,0,2,0,0,
kurki,kurki,0,0,1,20,
ku'e,kuspe,39,0,32,0,
kup,kuspe,15,0,0,0,
kusp,kuspe,0,0,0,0,
kuspe,kuspe,0,0,0,44,
kus,kusru,4,0,0,0,
kusru,kusru,0,0,4,74,
kusr,kusru,0,0,0,0,
labn,labno,9,0,0,0,
labno,labno,0,0,7,14,
cpu,lacpu,4,13,39,0,
lap,lacpu,0,2,0,0,
lacpu,lacpu,0,0,0,54,
lac,lacri,30,0,0,0,
lacri,lacri,0,0,27,47,
lad,ladru,17,6,0,0,
ladru,ladru,0,0,11,51,
laf,lafti,25,0,0,0,
lafti,lafti,0,0,4,92,
laft,lafti,0,0,0,0,
la'e,lakne,20,2,4,0,
lak,lakse,17,0,0,0,
lakse,lakse,0,0,1,19,
la'u,lalxu,0,0,20,0,
lalxu,lalxu,0,0,0,149,
lam,lamji,55,385,5,0,
la'i,lamji,0,1,141,0,
lamj,lamji,0,0,0,0,
lamji,lamji,0,0,0,159,
lanbi,lanbi,0,0,1,7,
lanci,lanci,0,0,10,110,
lanc,lanci,0,2,0,0,
lanka,lanka,0,0,2,34,
lanli,lanli,0,0,36,56,
lal,lanli,4,26,0,0,
lanl,lanli,0,0,0,0,
lan,lanme,24,0,0,0,
lanme,lanme,0,0,4,30,
lante,lante,0,0,6,32,
lanxe,lanxe,0,0,9,25,
lax,lanxe,1,0,0,0,
laz,lanzu,47,5,0,0,
lanzu,lanzu,0,0,42,241,
lar,larcu,94,9,0,0,
larcu,larcu,2,0,25,82,
larc,larcu,0,0,0,0,
la'a,lasna,17,0,56,0,
lasna,lasna,0,0,1,81,
lasn,lasna,0,0,0,0,
lastu,lastu,0,0,1,12,
la'o,latmo,21,0,10,0,
latna,latna,0,0,3,20,
lazni,lazni,0,0,2,59,
lem,le'e,3,0,0,0,
leb,lebna,391,31,0,0,
le'a,lebna,8,0,124,0,
lebn,lebna,0,0,0,0,
lebna,lebna,0,0,0,297,
len,lenjo,8,0,0,0,
le'o,lenjo,1,0,4,0,
lek,lenku,47,0,0,0,
lenku,lenku,2,0,24,203,
lec,lerci,22,1,0,0,
lerci,lerci,0,0,1,97,
le'u,lerfu,1,0,40,0,
ler,lerfu,29,0,0,0,
lerfu,lerfu,1,0,0,425,
lerf,lerfu,0,0,0,0,
liz,li'i,0,4,7,0,
libjo,libjo,0,0,1,0,
li'e,lidne,32,0,30,0,48
lidn,lidne,0,0,0,0,
lidne,lidne,0,0,0,104,
fri,lifri,27,6,210,0,
lif,lifri,0,0,0,0,
lifri,lifri,0,0,0,363,
jda,lijda,283,28,68,0,
lijda,lijda,0,0,4,167,
lim,limna,7,1,0,0,
limna,limna,0,0,4,88,
lid,lindi,20,0,0,0,
lindi,lindi,0,0,2,23,
li'i,linji,0,2,46,0,
lij,linji,16,0,0,0,
linji,linji,0,0,0,143,
lin,linsi,21,28,0,0,
linsi,linsi,0,0,2,30,
li'o,linto,0,0,1,0,
lisri,lisri,0,0,157,579,
lis,lisri,90,0,0,0,
ste,liste,15,3,1078,0,
list,liste,0,0,0,0,
liste,liste,0,0,0,220,
litce,litce,0,0,3,37,
lik,litki,10,0,0,0,
litki,litki,0,0,7,61,
li'u,litru,19,1,56,0,
litru,litru,0,0,0,475,
livg,livga,9,0,0,0,
livga,livga,0,0,1,6,
livla,livla,0,0,19,20,
lil,livla,0,1,0,0,
lom,lo'e,3,0,0,0,
loj,logji,110,6,0,0,
logji,logji,0,0,54,368,
logj,logji,0,0,0,0,
jbo,lojbo,1843,9,98,0,
lob,lojbo,7,0,0,0,
lojb,lojbo,0,0,0,0,
lojbo,lojbo,0,0,0,1230,
lol,loldi,41,0,0,0,
loi,loldi,5,0,15,0,
lor,lorxu,204,0,0,0,
lo'u,lorxu,8,0,36,0,
lorxu,lorxu,0,0,0,461,
lu'o,lubno,0,0,1,0,
jvo,lujvo,191,6,1004,0,
lujvo,lujvo,0,0,53,5797,
lujv,lujvo,0,0,0,0,
lu'i,lumci,0,0,127,0,
lum,lumci,24,28,0,0,
lumci,lumci,0,0,0,111,
lub,lunbe,5,0,0,0,
lunb,lunbe,0,0,0,0,
lur,lunra,42,0,0,0,
lunra,lunra,0,0,17,240,
lunr,lunra,0,0,0,0,
lunsa,lunsa,0,0,7,5,
mal,mabla,995,19,0,0,
mabla,mabla,0,0,10,289,
mabru,mabru,0,0,45,94,
cnu,macnu,0,0,2,0,
ma'u,makcu,16,7,22,0,
makc,makcu,0,0,0,0,
makcu,makcu,0,0,0,59,
maf,makfa,41,6,0,0,
makfa,makfa,2,0,42,145,
mak,maksi,6,2,0,0,
maksi,maksi,4,0,1,8,
malsi,malsi,0,0,11,75,
mas,malsi,1,4,0,0,
mamta,mamta,0,0,33,756,
mam,mamta,20,2,0,0,
mamt,mamta,0,0,0,0,
manci,manci,10,0,17,73,
mac,manci,10,0,0,0,
manfo,manfo,0,0,4,13,
man,manku,117,4,0,0,
manku,manku,0,0,12,171,
mank,manku,0,0,0,0,
mar,manri,6,4,0,0,
manri,manri,0,0,7,62,
mansa,mansa,0,0,12,108,
mans,mansa,2,0,0,0,
mansi,mansi,0,0,2,0,
mant,manti,11,0,0,0,
manti,manti,0,0,1,53,
mapku,mapku,0,0,9,82,
map,mapku,2,0,0,0,
mat,mapti,54,7,0,0,
mapti,mapti,0,0,30,303,
mapt,mapti,0,0,0,0,
mra,marbi,15,1,8,0,
ma'e,marce,2,23,46,0,
marce,marce,0,0,0,53,
mad,marde,4,9,0,0,
marde,marde,3,0,4,33,
mard,marde,0,0,0,0,
mag,margu,2,0,0,0,
mai,marji,24,0,63,0,
maj,marji,13,0,0,0,
marji,marji,0,0,0,137,
marn,marna,3,0,0,0,
marna,marna,0,0,1,60,
max,marxa,2,0,0,0,
marxa,marxa,0,0,2,12,
sno,masno,38,11,17,0,
masno,masno,0,0,1,155,
masn,masno,0,0,0,0,
ma'i,masti,8,0,30,0,
masti,masti,0,0,18,175,
mast,masti,0,0,0,0,
matci,matci,0,0,2,35,
matl,matli,17,0,0,0,
matne,matne,0,0,4,20,
matr,matra,0,2,0,0,
matra,matra,0,0,1,27,
mav,mavji,11,0,0,0,
mavji,mavji,0,0,1,39,
xri,maxri,4,0,2,0,
mebli,mebli,0,0,4,0,
meb,mebri,30,4,0,0,
mebri,mebri,0,0,23,76,
meg,megdo,32,0,0,0,
megdo,megdo,0,0,4,6,
mei,mei,11,30,21,0,
mem,mei,4,0,0,0,
mek,mekso,2,2,0,0,
me'o,mekso,0,0,1,0,
meks,mekso,0,0,0,0,
mle,melbi,101,9,75,0,
mel,melbi,0,0,0,0,
melbi,melbi,0,0,0,997,
meljo,meljo,0,0,1,2,
men,menli,157,1,0,0,
menli,menli,0,0,3,290,
menl,menli,0,0,0,0,
me'i,mensi,2,1,57,0,
mensi,mensi,0,0,0,206,
me'u,mentu,0,0,5,0,
mentu,mentu,0,0,0,100,
mer,merko,60,1,0,0,
merko,merko,0,0,9,306,
merk,merko,0,0,0,0,
mre,merli,9,0,14,0,
merli,merli,0,0,0,117,
mex,mexco,11,0,0,0,
mexno,mexno,0,0,1,18,
mib,mi,126,0,0,0,
mij,midju,70,13,0,0,
