rafsi_or_cmavo	rafsi_or_cmavo_shape	rafsi_or_cmavo_len	gismu	gismu_shape	gismu_pos	as_rafsi_ini	as_rafsi_med	as_rafsi_fin	as_rafsi	percentage_ini	percentage_med	percentage_fin	as_gismu	as_cmavo	gismu:1	gismu_freq
barja	CACCA	5	barja	CACCA	1 25 3 4 25	0	0	378	378	0.0	0.0	100.0	232	0	barja	424.0
barj	CACC	4	barja	CACCA	1 25 3 4	46	0	0	46	100.0	0.0	0.0	0	0	barja	424.0
barji	CACCA	5	barji	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	0	0	barji	1.0
ba'a	CAA	3	barna	CACCA	1 25 25	7	0	9	16	0.0	0.0	0.0	0	0	barna	16.0
barna	CACCA	5	barna	CACCA	1 25 3 4 25	0	0	0	0				71	0	barna	16.0
bar	CAC	3	bartu	CACCA	1 2 3	159	3	0	162	0.0	0.0	0.0	0	0	bartu	188.0
bartu	CACCA	5	bartu	CACCA	1 2 3 4 5	0	0	26	26	0.0	0.0	100.0	181	0	bartu	188.0
basna	CACCA	5	basna	CACCA	1 25 3 4 25	0	0	110	110	0.0	0.0	100.0	111	0	basna	110.0
bas	CAC	3	basti	CACCA	1 2 3	38	5	0	43	0.0	0.0	0.0	0	0	basti	65.0
basti	CACCA	5	basti	CACCA	1 2 3 4 5	2	0	20	22	0.0	0.0	0.0	376	0	basti	65.0
bast	CACC	4	basti	CACCA	1 2 3 4	0	0	0	0				0	0	basti	65.0
bat	CAC	3	batci	CACCA	1 2 3	93	0	0	93	100.0	0.0	0.0	0	0	batci	121.0
batci	CACCA	5	batci	CACCA	1 2 3 4 5	1	0	27	28	0.0	0.0	0.0	720	0	batci	121.0
batk	CACC	4	batke	CACCA	1 2 3 4	47	2	0	49	0.0	0.0	0.0	0	0	batke	53.0
batke	CACCA	5	batke	CACCA	1 2 3 4 5	0	0	4	4	0.0	0.0	100.0	25	0	batke	53.0
bavm	CACC	4	bavmi	CACCA	1 2 3 4	20	0	0	20	100.0	0.0	0.0	0	0	bavmi	21.0
bavmi	CACCA	5	bavmi	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	14	0	bavmi	21.0
baxso	CACCA	5	baxso	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	11	0	baxso	1.0
bebna	CACCA	5	bebna	CACCA	13 2 13 4 5	0	0	17	17	0.0	0.0	100.0	209	0	bebna	28.0
beb	CAC	3	bebna	CACCA	13 2 13	11	0	0	11	100.0	0.0	0.0	0	0	bebna	28.0
bebn	CACC	4	bebna	CACCA	13 2 13 4	0	0	0	0				0	0	bebna	28.0
bem	CAC	3	bemro	CACCA	1 2 3	2	0	0	2	100.0	0.0	0.0	0	0	bemro	3.0
be'o	CAA	3	bemro	CACCA	1 2 5	0	0	1	1	0.0	0.0	100.0	0	0	bemro	3.0
be'e	CAA	3	bende	CACCA	1 25 25	0	0	48	48	0.0	0.0	100.0	0	0	bende	65.0
bed	CAC	3	bende	CACCA	1 25 4	17	0	0	17	100.0	0.0	0.0	0	0	bende	65.0
bende	CACCA	5	bende	CACCA	1 25 3 4 25	0	0	0	0				117	0	bende	65.0
bengo	CACCA	5	bengo	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	1	0	bengo	1.0
be'i	CAA	3	benji	CACCA	1 2 5	36	12	82	130	0.0	0.0	0.0	0	105	benji	137.0
bej	CAC	3	benji	CACCA	1 2 4	5	0	0	5	100.0	0.0	0.0	0	0	benji	137.0
benji	CACCA	5	benji	CACCA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	525	0	benji	137.0
be'a	CAA	3	bersa	CACCA	1 2 5	1	0	76	77	0.0	0.0	0.0	0	0	bersa	85.0
bes	CAC	3	bersa	CACCA	1 2 4	7	1	0	8	0.0	0.0	0.0	0	0	bersa	85.0
bersa	CACCA	5	bersa	CACCA	1 2 3 4 5	0	0	0	0				139	0	bersa	85.0
ber	CAC	3	berti	CACCA	1 2 3	38	11	0	49	0.0	0.0	0.0	0	0	berti	57.0
berti	CACCA	5	berti	CACCA	1 2 3 4 5	0	0	8	8	0.0	0.0	100.0	168	0	berti	57.0
bert	CACC	4	berti	CACCA	1 2 3 4	0	0	0	0				0	0	berti	57.0
ben	CAC	3	besna	CACCA	1 2 4	8	0	0	8	100.0	0.0	0.0	0	0	besna	9.0
besna	CACCA	5	besna	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	154	0	besna	9.0
bef	CAC	3	betfu	CACCA	1 2 4	98	0	0	98	100.0	0.0	0.0	0	0	betfu	131.0
be'u	CAA	3	betfu	CACCA	1 2 5	27	5	1	33	0.0	0.0	0.0	0	0	betfu	131.0
betri	CACCA	5	betri	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	83	0	betri	1.0
bei	CAA	3	bevri	CACCA	1 2 5	46	22	141	209	0.0	0.0	0.0	0	0	bevri	210.0
bev	CAC	3	bevri	CACCA	1 2 3	1	0	0	1	100.0	0.0	0.0	0	0	bevri	210.0
bevr	CACC	4	bevri	CACCA	1 2 3 4	0	0	0	0				0	0	bevri	210.0
bevri	CACCA	5	bevri	CACCA	1 2 3 4 5	0	0	0	0				678	0	bevri	210.0
biv	CAC	3	bi	CA	1 2 	1	1	0	2	0.0	0.0	0.0	0	0	bi	2.0
biz	CAC	3	bi'i	CAA	1 24 	2	1	0	3	0.0	0.0	0.0	0	0	bi'i	3.0
bidju	CACCA	5	bidju	CACCA	1 2 3 4 5	0	0	5	5	0.0	0.0	100.0	20	0	bidju	5.0
bic	CAC	3	bifce	CACCA	1 2 4	31	0	0	31	100.0	0.0	0.0	0	0	bifce	32.0
bifce	CACCA	5	bifce	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	17	0	bifce	32.0
bifc	CACC	4	bifce	CACCA	1 2 3 4	0	0	0	0				0	0	bifce	32.0
bik	CAC	3	bikla	CACCA	1 2 3	3	0	0	3	100.0	0.0	0.0	0	0	bikla	3.0
bikl	CACC	4	bikla	CACCA	1 2 3 4	0	0	0	0				0	0	bikla	3.0
big	CAC	3	bilga	CACCA	1 2 4	10	5	0	15	0.0	0.0	0.0	0	0	bilga	22.0
bilga	CACCA	5	bilga	CACCA	1 2 3 4 5	0	0	7	7	0.0	0.0	100.0	290	0	bilga	22.0
bilg	CACC	4	bilga	CACCA	1 2 3 4	0	0	0	0				0	0	bilga	22.0
bi'a	CAA	3	bilma	CACCA	1 2 5	31	0	37	68	0.0	0.0	0.0	0	0	bilma	68.0
bilm	CACC	4	bilma	CACCA	1 2 3 4	0	0	0	0				0	0	bilma	68.0
bilma	CACCA	5	bilma	CACCA	1 2 3 4 5	0	0	0	0				119	0	bilma	68.0
bil	CAC	3	bilni	CACCA	1 25 3	9	0	0	9	100.0	0.0	0.0	0	0	bilni	13.0
bilni	CACCA	5	bilni	CACCA	1 25 3 4 25	0	0	4	4	0.0	0.0	100.0	26	0	bilni	13.0
bindo	CACCA	5	bindo	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	7	0	bindo	1.0
binr	CACC	4	binra	CACCA	1 2 3 4	7	1	0	8	0.0	0.0	0.0	0	0	binra	11.0
binra	CACCA	5	binra	CACCA	1 2 3 4 5	0	0	3	3	0.0	0.0	100.0	23	0	binra	11.0
bi'o	CAA	3	binxo	CACCA	1 2 5	1	0	413	414	0.0	0.0	0.0	0	0	binxo	474.0
bix	CAC	3	binxo	CACCA	1 2 4	34	8	0	42	0.0	0.0	0.0	0	0	binxo	474.0
binxo	CACCA	5	binxo	CACCA	1 2 3 4 5	0	0	18	18	0.0	0.0	100.0	782	0	binxo	474.0
binx	CACC	4	binxo	CACCA	1 2 3 4	0	0	0	0				0	0	binxo	474.0
birj	CACC	4	birje	CACCA	1 2 3 4	20	0	0	20	100.0	0.0	0.0	0	0	birje	21.0
birje	CACCA	5	birje	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	95	0	birje	21.0
bir	CAC	3	birka	CACCA	1 2 3	36	0	0	36	100.0	0.0	0.0	0	0	birka	39.0
birka	CACCA	5	birka	CACCA	1 2 3 4 5	0	0	3	3	0.0	0.0	100.0	201	0	birka	39.0
birk	CACC	4	birka	CACCA	1 2 3 4	0	0	0	0				0	0	birka	39.0
birti	CACCA	5	birti	CACCA	1 25 3 4 25	0	0	44	44	0.0	0.0	100.0	411	0	birti	70.0
bit	CAC	3	birti	CACCA	1 25 4	25	1	0	26	0.0	0.0	0.0	0	0	birti	70.0
birt	CACC	4	birti	CACCA	1 25 3 4	0	0	0	0				0	0	birti	70.0
bis	CAC	3	bisli	CACCA	1 25 3	13	0	0	13	100.0	0.0	0.0	0	0	bisli	15.0
bisli	CACCA	5	bisli	CACCA	1 25 3 4 25	0	0	2	2	0.0	0.0	100.0	56	0	bisli	15.0
bim	CAC	3	bitmu	CACCA	1 2 4	4	18	0	22	0.0	0.0	0.0	0	0	bitmu	33.0
bi'u	CAA	3	bitmu	CACCA	1 2 5	0	0	11	11	0.0	0.0	100.0	0	0	bitmu	33.0
lab	CAC	3	blabi	CCACA	2 3 14	43	0	0	43	100.0	0.0	0.0	0	0	blabi	66.0
blabi	CCACA	5	blabi	CCACA	14 2 3 14 5	0	0	21	21	0.0	0.0	100.0	491	0	blabi	66.0
blab	CCAC	4	blabi	CCACA	14 2 3 14	0	2	0	2	0.0	100.0	0.0	0	0	blabi	66.0
blaci	CCACA	5	blaci	CCACA	1 2 3 4 5	0	0	6	6	0.0	0.0	100.0	26	0	blaci	10.0
blac	CCAC	4	blaci	CCACA	1 2 3 4	4	0	0	4	100.0	0.0	0.0	0	0	blaci	10.0
bla	CCA	3	blanu	CCACA	1 2 3	62	0	19	81	0.0	0.0	0.0	0	0	blanu	82.0
blan	CCAC	4	blanu	CCACA	1 2 3 4	1	0	0	1	100.0	0.0	0.0	0	0	blanu	82.0
blanu	CCACA	5	blanu	CCACA	1 2 3 4 5	0	0	0	0				1722	0	blanu	82.0
bli	CCA	3	bliku	CCACA	1 2 3	20	0	57	77	0.0	0.0	0.0	0	0	bliku	77.0
bliku	CCACA	5	bliku	CCACA	1 2 3 4 5	0	0	0	0				47	0	bliku	77.0
blo	CCA	3	bloti	CCACA	1 2 3	69	9	37	115	0.0	0.0	0.0	0	0	bloti	119.0
bloti	CCACA	5	bloti	CCACA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	165	0	bloti	119.0
lo'i	CAA	3	bloti	CCACA	2 3 5	0	0	2	2	0.0	0.0	100.0	0	0	bloti	119.0
lot	CAC	3	bloti	CCACA	2 3 4	0	0	0	0				0	0	bloti	119.0
bor	CAC	3	bo	CA	1 2 	0	10	0	10	0.0	100.0	0.0	0	0	bo	10.0
boi	CAA	3	bolci	CACCA	1 2 5	21	30	68	119	0.0	0.0	0.0	0	0	bolci	208.0
bol	CAC	3	bolci	CACCA	1 2 3	89	0	0	89	100.0	0.0	0.0	0	0	bolci	208.0
bolci	CACCA	5	bolci	CACCA	1 2 3 4 5	0	0	0	0				362	0	bolci	208.0
bo'u	CAA	3	bongu	CACCA	1 2 5	0	1	21	22	0.0	0.0	0.0	0	0	bongu	34.0
bog	CAC	3	bongu	CACCA	1 2 4	12	0	0	12	100.0	0.0	0.0	0	0	bongu	34.0
bo'i	CAA	3	botpi	CACCA	1 2 5	0	0	3	3	0.0	0.0	100.0	0	0	botpi	5.0
bot	CAC	3	botpi	CACCA	1 2 3	2	0	0	2	100.0	0.0	0.0	0	0	botpi	5.0
bo'o	CAA	3	boxfo	CACCA	1 25 25	8	0	16	24	0.0	0.0	0.0	0	0	boxfo	33.0
bof	CAC	3	boxfo	CACCA	1 25 4	9	0	0	9	100.0	0.0	0.0	0	0	boxfo	33.0
bon	CAC	3	boxna	CACCA	1 2 4	21	0	0	21	100.0	0.0	0.0	0	0	boxna	27.0
bo'a	CAA	3	boxna	CACCA	1 2 5	0	0	6	6	0.0	0.0	100.0	0	0	boxna	27.0
brad	CCAC	4	bradi	CCACA	1 2 3 4	3	0	0	3	100.0	0.0	0.0	0	0	bradi	5.0
bradi	CCACA	5	bradi	CCACA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	45	0	bradi	5.0
bratu	CCACA	5	bratu	CCACA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	31	0	bratu	1.0
raz	CAC	3	brazo	CCACA	2 3 4	9	0	0	9	100.0	0.0	0.0	0	0	brazo	10.0
brazo	CCACA	5	brazo	CCACA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	3	0	brazo	10.0
braz	CCAC	4	brazo	CCACA	1 2 3 4	0	0	0	0				0	0	brazo	10.0
bre	CCA	3	bredi	CCACA	1 2 3	62	1	43	106	0.0	0.0	0.0	0	0	bredi	114.0
red	CAC	3	bredi	CCACA	2 3 4	8	0	0	8	100.0	0.0	0.0	0	0	bredi	114.0
bred	CCAC	4	bredi	CCACA	1 2 3 4	0	0	0	0				0	0	bredi	114.0
bredi	CCACA	5	bredi	CCACA	1 2 3 4 5	0	0	0	0				111	0	bredi	114.0
bri	CCA	3	bridi	CCACA	1 2 35	950	23	4352	5325	0.0	0.0	0.0	0	0	bridi	5325.0
brid	CCAC	4	bridi	CCACA	1 2 35 4	0	0	0	0				0	0	bridi	5325.0
bridi	CCACA	5	bridi	CCACA	1 2 35 4 35	0	0	0	0				4037	0	bridi	5325.0
bif	CAC	3	brife	CCACA	1 3 4	89	0	0	89	100.0	0.0	0.0	0	0	brife	137.0
bi'e	CAA	3	brife	CCACA	1 3 5	0	0	48	48	0.0	0.0	100.0	0	0	brife	137.0
brife	CCACA	5	brife	CCACA	1 2 3 4 5	0	0	0	0				207	0	brife	137.0
bij	CAC	3	briju	CCACA	1 3 4	27	0	0	27	100.0	0.0	0.0	0	0	briju	32.0
briju	CCACA	5	briju	CCACA	1 2 3 4 5	0	0	5	5	0.0	0.0	100.0	149	0	briju	32.0
brij	CCAC	4	briju	CCACA	1 2 3 4	0	0	0	0				0	0	briju	32.0
rit	CAC	3	brito	CCACA	2 3 4	26	0	2	28	0.0	0.0	0.0	0	0	brito	29.0
brito	CCACA	5	brito	CCACA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	64	0	brito	29.0
broda	CCACA	5	broda	CCACA	1 2 3 4 5	52	0	32	84	0.0	0.0	0.0	9621	0	broda	117.0
rod	CAC	3	broda	CCACA	2 3 4	25	0	0	25	100.0	0.0	0.0	0	0	broda	117.0
brod	CCAC	4	broda	CCACA	1 2 3 4	0	8	0	8	0.0	100.0	0.0	0	0	broda	117.0
bo'e	CAA	3	brode	CCACA	1 3 5	0	1	0	1	0.0	100.0	0.0	0	0	brode	1.0
brodi	CCACA	5	brodi	CCACA	1 2 3 4 5	0	0	4	4	0.0	0.0	100.0	126	0	brodi	4.0
bu'a	CAA	3	bruna	CCACA	1 3 5	0	0	21	21	0.0	0.0	100.0	0	0	bruna	27.0
bruna	CCACA	5	bruna	CCACA	1 2 3 4 5	0	0	3	3	0.0	0.0	100.0	311	0	bruna	27.0
bun	CAC	3	bruna	CCACA	1 3 4	1	2	0	3	0.0	0.0	0.0	0	0	bruna	27.0
bu'o	CAA	3	budjo	CACCA	1 2 5	2	0	7	9	0.0	0.0	0.0	0	0	budjo	9.0
budjo	CACCA	5	budjo	CACCA	1 2 3 4 5	0	0	0	0				29	0	budjo	9.0
bu'u	CAA	3	bukpu	CACCA	1 25 25	1	4	61	66	0.0	0.0	0.0	0	0	bukpu	87.0
buk	CAC	3	bukpu	CACCA	1 25 3	14	7	0	21	0.0	0.0	0.0	0	0	bukpu	87.0
bukpu	CACCA	5	bukpu	CACCA	1 25 3 4 25	0	0	0	0				88	0	bukpu	87.0
bumru	CACCA	5	bumru	CACCA	1 25 3 4 25	0	0	21	21	0.0	0.0	100.0	49	0	bumru	21.0
bunda	CACCA	5	bunda	CACCA	1 2 3 4 5	0	0	3	3	0.0	0.0	100.0	36	0	bunda	3.0
bu'e	CAA	3	bunre	CACCA	1 2 5	0	0	17	17	0.0	0.0	100.0	0	0	bunre	30.0
bur	CAC	3	bunre	CACCA	1 2 4	7	6	0	13	0.0	0.0	0.0	0	0	bunre	30.0
