rafsi_or_cmavo	rafsi_or_cmavo_shape	rafsi_or_cmavo_len	gismu	gismu_shape	gismu_pos	as_rafsi_ini	as_rafsi_med	as_rafsi_fin	as_rafsi	percentage_ini	percentage_med	percentage_fin	as_gismu	as_cmavo	gismu:1	gismu_freq
fange	CACCA	5	fange	CACCA	1 2 3 4 5	0	0	15	15	0.0	0.0	100.0	100	0	fange	16.0
fang	CACC	4	fange	CACCA	1 2 3 4	1	0	0	1	100.0	0.0	0.0	0	0	fange	16.0
fam	CAC	3	fanmo	CACCA	1 2 4	82	1	0	83	0.0	0.0	0.0	0	0	fanmo	144.0
fa'o	CAA	3	fanmo	CACCA	1 2 5	0	0	61	61	0.0	0.0	100.0	0	0	fanmo	144.0
fanmo	CACCA	5	fanmo	CACCA	1 2 3 4 5	0	0	0	0				211	0	fanmo	144.0
fanri	CACCA	5	fanri	CACCA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	2	0	fanri	2.0
fanta	CACCA	5	fanta	CACCA	1 25 3 4 25	0	0	16	16	0.0	0.0	100.0	166	0	fanta	16.0
fanva	CACCA	5	fanva	CACCA	1 25 3 4 25	8	0	134	142	0.0	0.0	0.0	726	0	fanva	146.0
fanv	CACC	4	fanva	CACCA	1 25 3 4	4	0	0	4	100.0	0.0	0.0	0	0	fanva	146.0
fanvi	CACCA	5	fanvi	CACCA	1 2 3 4 5	0	0	12	12	0.0	0.0	100.0	0	0	fanvi	12.0
fanza	CACCA	5	fanza	CACCA	1 25 3 4 25	0	0	37	37	0.0	0.0	100.0	125	0	fanza	50.0
faz	CAC	3	fanza	CACCA	1 25 4	6	7	0	13	0.0	0.0	0.0	0	0	fanza	50.0
pro	CCA	3	fapro	CACCA	3 4 5	54	6	51	111	0.0	0.0	0.0	0	0	fapro	115.0
fap	CAC	3	fapro	CACCA	1 2 3	4	0	0	4	100.0	0.0	0.0	0	0	fapro	115.0
fapro	CACCA	5	fapro	CACCA	1 2 3 4 5	0	0	0	0				150	0	fapro	115.0
fal	CAC	3	farlu	CACCA	1 2 4	38	1	0	39	0.0	0.0	0.0	0	0	farlu	61.0
fa'u	CAA	3	farlu	CACCA	1 2 5	0	0	22	22	0.0	0.0	100.0	0	0	farlu	61.0
farl	CACC	4	farlu	CACCA	1 2 3 4	0	0	0	0				0	0	farlu	61.0
farlu	CACCA	5	farlu	CACCA	1 2 3 4 5	0	0	0	0				547	0	farlu	61.0
far	CAC	3	farna	CACCA	1 25 3	74	19	0	93	0.0	0.0	0.0	0	0	farna	130.0
fa'a	CAA	3	farna	CACCA	1 25 25	0	2	35	37	0.0	0.0	0.0	0	345	farna	130.0
farn	CACC	4	farna	CACCA	1 25 3 4	0	0	0	0				0	0	farna	130.0
farna	CACCA	5	farna	CACCA	1 25 3 4 25	0	0	0	0				121	0	farna	130.0
fav	CAC	3	farvi	CACCA	1 2 4	4	6	0	10	0.0	0.0	0.0	0	0	farvi	17.0
farvi	CACCA	5	farvi	CACCA	1 2 3 4 5	3	0	4	7	0.0	0.0	0.0	79	0	farvi	17.0
fau	CAA	3	fasnu	CACCA	1 2 5	39	3	203	245	0.0	0.0	0.0	0	408	fasnu	245.0
fasn	CACC	4	fasnu	CACCA	1 2 3 4	0	0	0	0				0	0	fasnu	245.0
fasnu	CACCA	5	fasnu	CACCA	1 2 3 4 5	0	0	0	0				958	0	fasnu	245.0
fac	CAC	3	fatci	CACCA	1 2 4	17	10	0	27	0.0	0.0	0.0	0	0	fatci	42.0
fatci	CACCA	5	fatci	CACCA	1 2 3 4 5	12	0	3	15	0.0	0.0	0.0	666	0	fatci	42.0
fat	CAC	3	fatne	CACCA	1 2 3	66	1	0	67	0.0	0.0	0.0	0	0	fatne	83.0
fa'e	CAA	3	fatne	CACCA	1 2 5	2	0	14	16	0.0	0.0	0.0	0	26	fatne	83.0
fai	CAA	3	fatri	CACCA	1 2 5	41	37	13	91	0.0	0.0	0.0	0	0	fatri	91.0
feb	CAC	3	febvi	CACCA	1 2 3	4	0	0	4	100.0	0.0	0.0	0	0	febvi	8.0
febvi	CACCA	5	febvi	CACCA	1 2 3 4 5	0	0	4	4	0.0	0.0	100.0	42	0	febvi	8.0
femti	CACCA	5	femti	CACCA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	5	0	femti	2.0
fendi	CACCA	5	fendi	CACCA	1 2 3 4 5	0	0	31	31	0.0	0.0	100.0	72	0	fendi	45.0
fed	CAC	3	fendi	CACCA	1 2 4	14	0	0	14	100.0	0.0	0.0	0	0	fendi	45.0
fe'u	CAA	3	fengu	CACCA	1 2 5	16	0	36	52	0.0	0.0	0.0	0	0	fengu	87.0
feg	CAC	3	fengu	CACCA	1 2 4	35	0	0	35	100.0	0.0	0.0	0	0	fengu	87.0
feng	CACC	4	fengu	CACCA	1 2 3 4	0	0	0	0				0	0	fengu	87.0
fengu	CACCA	5	fengu	CACCA	1 2 3 4 5	0	0	0	0				163	0	fengu	87.0
fek	CAC	3	fenki	CACCA	1 2 4	45	0	0	45	100.0	0.0	0.0	0	0	fenki	60.0
fenki	CACCA	5	fenki	CACCA	1 2 3 4 5	6	0	9	15	0.0	0.0	0.0	109	0	fenki	60.0
fe'a	CAA	3	fenra	CACCA	1 2 5	0	0	44	44	0.0	0.0	100.0	0	0	fenra	56.0
fenra	CACCA	5	fenra	CACCA	1 2 3 4 5	0	0	12	12	0.0	0.0	100.0	93	0	fenra	56.0
fe'o	CAA	3	fenso	CACCA	1 2 5	4	0	6	10	0.0	0.0	0.0	0	0	fenso	15.0
fen	CAC	3	fenso	CACCA	1 2 3	5	0	0	5	100.0	0.0	0.0	0	0	fenso	15.0
fenso	CACCA	5	fenso	CACCA	1 2 3 4 5	0	0	0	0				16	0	fenso	15.0
fep	CAC	3	fepni	CACCA	1 2 3	4	0	0	4	100.0	0.0	0.0	0	0	fepni	8.0
fei	CAA	3	fepni	CACCA	1 2 5	0	0	4	4	0.0	0.0	100.0	0	0	fepni	8.0
fepni	CACCA	5	fepni	CACCA	1 2 3 4 5	0	0	0	0				91	0	fepni	8.0
fepri	CACCA	5	fepri	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	19	0	fepri	1.0
fre	CCA	3	ferti	CACCA	1 3 2	12	0	14	26	0.0	0.0	0.0	0	0	ferti	26.0
fes	CAC	3	festi	CACCA	1 2 3	45	15	0	60	0.0	0.0	0.0	0	0	festi	68.0
festi	CACCA	5	festi	CACCA	1 2 3 4 5	0	0	8	8	0.0	0.0	100.0	87	0	festi	68.0
fet	CAC	3	fetsi	CACCA	1 2 3	184	4	0	188	0.0	0.0	0.0	0	0	fetsi	198.0
fe'i	CAA	3	fetsi	CACCA	1 2 5	3	0	7	10	0.0	0.0	0.0	0	0	fetsi	198.0
fets	CACC	4	fetsi	CACCA	1 2 3 4	0	0	0	0				0	0	fetsi	198.0
fetsi	CACCA	5	fetsi	CACCA	1 2 3 4 5	0	0	0	0				77	0	fetsi	198.0
figre	CACCA	5	figre	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	7	0	figre	1.0
filso	CACCA	5	filso	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	1	0	filso	1.0
fi'e	CAA	3	finpe	CACCA	1 2 5	0	0	17	17	0.0	0.0	100.0	0	0	finpe	24.0
fip	CAC	3	finpe	CACCA	1 2 4	6	1	0	7	0.0	0.0	0.0	0	0	finpe	24.0
finpe	CACCA	5	finpe	CACCA	1 2 3 4 5	0	0	0	0				191	0	finpe	24.0
fi'i	CAA	3	finti	CACCA	1 25 25	12	6	231	249	0.0	0.0	0.0	0	0	finti	309.0
fin	CAC	3	finti	CACCA	1 25 3	36	22	0	58	0.0	0.0	0.0	0	0	finti	309.0
finti	CACCA	5	finti	CACCA	1 25 3 4 25	0	0	2	2	0.0	0.0	100.0	609	0	finti	309.0
fint	CACC	4	finti	CACCA	1 25 3 4	0	0	0	0				0	0	finti	309.0
fla	CCA	3	flalu	CCACA	1 24 3	42	16	32	90	0.0	0.0	0.0	0	0	flalu	90.0
flal	CCAC	4	flalu	CCACA	1 24 3 24	0	0	0	0				0	0	flalu	90.0
flani	CCACA	5	flani	CCACA	1 2 3 4 5	0	0	6	6	0.0	0.0	100.0	20	0	flani	7.0
flan	CCAC	4	flani	CCACA	1 2 3 4	1	0	0	1	100.0	0.0	0.0	0	0	flani	7.0
fle	CCA	3	flecu	CCACA	1 2 3	16	3	60	79	0.0	0.0	0.0	0	0	flecu	79.0
flecu	CCACA	5	flecu	CCACA	1 2 3 4 5	0	0	0	0				127	0	flecu	79.0
fli	CCA	3	fliba	CCACA	1 2 3	10	0	10	20	0.0	0.0	0.0	0	0	fliba	20.0
fliba	CCACA	5	fliba	CCACA	1 2 3 4 5	0	0	0	0				69	0	fliba	20.0
fir	CAC	3	flira	CCACA	1 3 4	46	6	0	52	0.0	0.0	0.0	0	0	flira	63.0
flira	CCACA	5	flira	CCACA	1 2 3 4 5	0	0	11	11	0.0	0.0	100.0	189	0	flira	63.0
flir	CCAC	4	flira	CCACA	1 2 3 4	0	0	0	0				0	0	flira	63.0
fo'a	CAA	3	fo'a	CAA	1 2 4	8	0	0	8	100.0	0.0	0.0	0	0	fo'a	8.0
fo'i	CAA	3	fo'i	CAA	1 2 4	2	0	0	2	100.0	0.0	0.0	0	0	fo'i	2.0
foi	CAA	3	foldi	CACCA	1 2 5	5	0	161	166	0.0	0.0	0.0	0	0	foldi	205.0
flo	CCA	3	foldi	CACCA	1 3 2	9	0	24	33	0.0	0.0	0.0	0	0	foldi	205.0
fol	CAC	3	foldi	CACCA	1 2 3	6	0	0	6	100.0	0.0	0.0	0	0	foldi	205.0
foldi	CACCA	5	foldi	CACCA	1 2 3 4 5	0	0	0	0				99	0	foldi	205.0
fom	CAC	3	fonmo	CACCA	1 25 4	21	0	0	21	100.0	0.0	0.0	0	0	fonmo	23.0
fo'o	CAA	3	fonmo	CACCA	1 25 25	0	0	2	2	0.0	0.0	100.0	0	0	fonmo	23.0
fon	CAC	3	fonxa	CACCA	1 2 3	115	3	0	118	0.0	0.0	0.0	0	0	fonxa	133.0
fonxa	CACCA	5	fonxa	CACCA	1 2 3 4 5	0	0	15	15	0.0	0.0	100.0	206	0	fonxa	133.0
fonx	CACC	4	fonxa	CACCA	1 2 3 4	0	0	0	0				0	0	fonxa	133.0
fro	CCA	3	forca	CACCA	1 3 2	0	0	8	8	0.0	0.0	100.0	0	0	forca	8.0
fas	CAC	3	fraso	CCACA	1 3 4	22	1	0	23	0.0	0.0	0.0	0	0	fraso	24.0
fraso	CCACA	5	fraso	CCACA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	182	0	fraso	24.0
fras	CCAC	4	fraso	CCACA	1 2 3 4	0	0	0	0				0	0	fraso	24.0
fra	CCA	3	frati	CCACA	1 2 3	57	4	103	164	0.0	0.0	0.0	0	0	frati	164.0
fax	CAC	3	fraxu	CCACA	1 3 4	5	3	0	8	0.0	0.0	0.0	0	0	fraxu	15.0
fraxu	CCACA	5	fraxu	CCACA	1 2 3 4 5	0	0	7	7	0.0	0.0	100.0	171	0	fraxu	15.0
frax	CCAC	4	fraxu	CCACA	1 2 3 4	0	0	0	0				0	0	fraxu	15.0
frica	CCACA	5	frica	CCACA	1 2 3 4 5	10	0	33	43	0.0	0.0	0.0	767	0	frica	74.0
fic	CAC	3	frica	CCACA	1 3 4	31	0	0	31	100.0	0.0	0.0	0	0	frica	74.0
fric	CCAC	4	frica	CCACA	1 2 3 4	0	0	0	0				0	0	frica	74.0
fi'o	CAA	3	friko	CCACA	1 3 5	35	0	2	37	0.0	0.0	0.0	0	0	friko	37.0
frik	CCAC	4	friko	CCACA	1 2 3 4	0	0	0	0				0	0	friko	37.0
fil	CAC	3	frili	CCACA	1 35 4	115	12	0	127	0.0	0.0	0.0	0	0	frili	133.0
frili	CCACA	5	frili	CCACA	1 2 35 4 35	0	0	6	6	0.0	0.0	100.0	305	0	frili	133.0
fril	CCAC	4	frili	CCACA	1 2 35 4	0	0	0	0				0	0	frili	133.0
frin	CCAC	4	frinu	CCACA	1 2 3 4	3	2	1	6	0.0	0.0	0.0	0	0	frinu	12.0
frinu	CCACA	5	frinu	CCACA	1 2 3 4 5	0	0	6	6	0.0	0.0	100.0	14	0	frinu	12.0
friti	CCACA	5	friti	CCACA	1 2 35 4 35	0	0	18	18	0.0	0.0	100.0	82	0	friti	32.0
fit	CAC	3	friti	CCACA	1 35 4	13	1	0	14	0.0	0.0	0.0	0	0	friti	32.0
fru	CCA	3	frumu	CCACA	1 2 35	17	0	1	18	0.0	0.0	0.0	0	0	frumu	18.0
frumu	CCACA	5	frumu	CCACA	1 2 35 4 35	0	0	0	0				15	0	frumu	18.0
fu'i	CAA	3	fukpi	CACCA	1 2 5	849	1	17	867	0.0	0.0	0.0	0	0	fukpi	869.0
fuk	CAC	3	fukpi	CACCA	1 2 3	2	0	0	2	100.0	0.0	0.0	0	0	fukpi	869.0
fukp	CACC	4	fukpi	CACCA	1 2 3 4	0	0	0	0				0	0	fukpi	869.0
flu	CCA	3	fulta	CACCA	1 3 2	3	4	1	8	0.0	0.0	0.0	0	0	fulta	8.0
ful	CAC	3	fulta	CACCA	1 2 3	0	0	0	0				0	0	fulta	8.0
fu'a	CAA	3	funca	CACCA	1 2 5	0	0	47	47	0.0	0.0	100.0	0	0	funca	63.0
fun	CAC	3	funca	CACCA	1 2 3	12	0	0	12	100.0	0.0	0.0	0	0	funca	63.0
funca	CACCA	5	funca	CACCA	1 2 3 4 5	0	0	4	4	0.0	0.0	100.0	28	0	funca	63.0
fusra	CACCA	5	fusra	CACCA	1 2 3 4 5	0	0	3	3	0.0	0.0	100.0	48	0	fusra	3.0
fu'e	CAA	3	fuzme	CACCA	1 2 5	4	0	3	7	0.0	0.0	0.0	0	0	fuzme	9.0
fuz	CAC	3	fuzme	CACCA	1 2 3	2	0	0	2	100.0	0.0	0.0	0	0	fuzme	9.0
gacpi	CACCA	5	gacpi	CACCA	1 2 3 4 5	0	0	6	6	0.0	0.0	100.0	0	0	gacpi	6.0
gai	CAA	3	gacri	CACCA	1 2 5	22	24	116	162	0.0	0.0	0.0	0	0	gacri	162.0
gacri	CACCA	5	gacri	CACCA	1 2 3 4 5	0	0	0	0				118	0	gacri	162.0
gadri	CACCA	5	gadri	CACCA	1 2 3 4 5	0	0	14	14	0.0	0.0	100.0	350	0	gadri	14.0
ga'i	CAA	3	galfi	CACCA	1 2 5	13	14	74	101	0.0	0.0	0.0	0	0	galfi	131.0
gaf	CAC	3	galfi	CACCA	1 2 4	25	5	0	30	0.0	0.0	0.0	0	0	galfi	131.0
galf	CACC	4	galfi	CACCA	1 2 3 4	0	0	0	0				0	0	galfi	131.0
galfi	CACCA	5	galfi	CACCA	1 2 3 4 5	0	0	0	0				313	0	galfi	131.0
gal	CAC	3	galtu	CACCA	1 2 3	106	0	0	106	100.0	0.0	0.0	0	0	galtu	132.0
ga'u	CAA	3	galtu	CACCA	1 2 5	0	0	24	24	0.0	0.0	100.0	0	0	galtu	132.0
galtu	CACCA	5	galtu	CACCA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	216	0	galtu	132.0
galx	CACC	4	galxe	CACCA	1 2 3 4	11	0	0	11	100.0	0.0	0.0	0	0	galxe	12.0
galxe	CACCA	5	galxe	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	35	0	galxe	12.0
ga'o	CAA	3	ganlo	CACCA	1 2 5	54	0	3	57	0.0	0.0	0.0	0	13	ganlo	57.0
ganl	CACC	4	ganlo	CACCA	1 2 3 4	0	0	0	0				0	0	ganlo	57.0
gan	CAC	3	ganra	CACCA	1 25 3	62	1	0	63	0.0	0.0	0.0	0	0	ganra	79.0
ganra	CACCA	5	ganra	CACCA	1 25 3 4 25	0	1	15	16	0.0	0.0	0.0	91	0	ganra	79.0
ganr	CACC	4	ganra	CACCA	1 25 3 4	0	0	0	0				0	0	ganra	79.0
ga'e	CAA	3	ganse	CACCA	1 2 5	1	3	98	102	0.0	0.0	0.0	0	0	ganse	130.0
gas	CAC	3	ganse	CACCA	1 2 4	26	2	0	28	0.0	0.0	0.0	0	0	ganse	130.0
ganti	CACCA	5	ganti	CACCA	1 2 3 4 5	0	0	4	4	0.0	0.0	100.0	24	0	ganti	4.0
gax	CAC	3	ganxo	CACCA	1 2 4	32	0	0	32	100.0	0.0	0.0	0	0	ganxo	33.0
ganxo	CACCA	5	ganxo	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	74	0	ganxo	33.0
ganzu	CACCA	5	ganzu	CACCA	1 2 3 4 5	0	0	11	11	0.0	0.0	100.0	58	0	ganzu	11.0
gac	CAC	3	gapci	CACCA	1 2 4	47	14	0	61	0.0	0.0	0.0	0	0	gapci	79.0
gapci	CACCA	5	gapci	CACCA	1 2 3 4 5	0	0	18	18	0.0	0.0	100.0	25	0	gapci	79.0
gap	CAC	3	gapru	CACCA	1 2 3	21	1	0	22	0.0	0.0	0.0	0	0	gapru	34.0
gapru	CACCA	5	gapru	CACCA	1 2 3 4 5	0	0	12	12	0.0	0.0	100.0	206	0	gapru	34.0
gar	CAC	3	garna	CACCA	1 25 3	26	0	0	26	100.0	0.0	0.0	0	0	garna	30.0
garna	CACCA	5	garna	CACCA	1 25 3 4 25	0	0	4	4	0.0	0.0	100.0	12	0	garna	30.0
garn	CACC	4	garna	CACCA	1 25 3 4	0	0	0	0				0	0	garna	30.0
gau	CAA	3	gasnu	CACCA	1 2 5	10	13	2211	2234	0.0	0.0	0.0	0	289	gasnu	2234.0
gasn	CACC	4	gasnu	CACCA	1 2 3 4	0	0	0	0				0	0	gasnu	2234.0
gasnu	CACCA	5	gasnu	CACCA	1 2 3 4 5	0	0	0	0				1277	0	gasnu	2234.0
gat	CAC	3	gasta	CACCA	1 25 4	1	0	0	1	100.0	0.0	0.0	0	0	gasta	2.0
gasta	CACCA	5	gasta	CACCA	1 25 3 4 25	0	0	1	1	0.0	0.0	100.0	30	0	gasta	2.0
genja	CACCA	5	genja	CACCA	1 2 3 4 5	0	0	5	5	0.0	0.0	100.0	38	0	genja	7.0
gej	CAC	3	genja	CACCA	1 2 4	2	0	0	2	100.0	0.0	0.0	0	0	genja	7.0
get	CAC	3	gento	CACCA	1 2 4	26	0	0	26	100.0	0.0	0.0	0	0	gento	27.0
ge'o	CAA	3	gento	CACCA	1 2 5	0	0	1	1	0.0	0.0	100.0	0	0	gento	27.0
gent	CACC	4	gento	CACCA	1 2 3 4	0	0	0	0				0	0	gento	27.0
genxu	CACCA	5	genxu	CACCA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	9	0	genxu	1.0
ger	CAC	3	gerku	CACCA	1 2 3	232	4	0	236	0.0	0.0	0.0	0	0	gerku	309.0
ge'u	CAA	3	gerku	CACCA	1 2 5	0	5	68	73	0.0	0.0	0.0	0	0	gerku	309.0
gerk	CACC	4	gerku	CACCA	1 2 3 4	0	0	0	0				0	0	gerku	309.0
gerku	CACCA	5	gerku	CACCA	1 2 3 4 5	0	0	0	0				2764	0	gerku	309.0
gen	CAC	3	gerna	CACCA	1 2 4	317	17	0	334	0.0	0.0	0.0	0	0	gerna	519.0
ge'a	CAA	3	gerna	CACCA	1 2 5	3	0	178	181	0.0	0.0	0.0	0	0	gerna	519.0
gerna	CACCA	5	gerna	CACCA	1 2 3 4 5	0	0	4	4	0.0	0.0	100.0	426	0	gerna	519.0
gern	CACC	4	gerna	CACCA	1 2 3 4	0	0	0	0				0	0	gerna	519.0
gi'a	CAA	3	gidva	CACCA	1 2 5	1	0	6	7	0.0	0.0	0.0	0	0	gidva	10.0
gidva	CACCA	5	gidva	CACCA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	45	0	gidva	10.0
gid	CAC	3	gidva	CACCA	1 2 3	0	1	0	1	0.0	100.0	0.0	0	0	gidva	10.0
gi'o	CAA	3	gigdo	CACCA	13 2 5	0	0	3	3	0.0	0.0	100.0	0	0	gigdo	4.0
gig	CAC	3	gigdo	CACCA	13 2 13	1	0	0	1	100.0	0.0	0.0	0	0	gigdo	4.0
gik	CAC	3	ginka	CACCA	1 2 4	4	0	0	4	100.0	0.0	0.0	0	0	ginka	6.0
ginka	CACCA	5	ginka	CACCA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	62	0	ginka	6.0
gri	CCA	3	girzu	CACCA	1 3 2	57	12	320	389	0.0	0.0	0.0	0	0	girzu	389.0
gir	CAC	3	girzu	CACCA	1 2 3	0	0	0	0				0	0	girzu	389.0
girzu	CACCA	5	girzu	CACCA	1 2 3 4 5	0	0	0	0				355	0	girzu	389.0
gim	CAC	3	gismu	CACCA	1 2 4	397	3	0	400	0.0	0.0	0.0	0	0	gismu	450.0
gi'u	CAA	3	gismu	CACCA	1 2 5	0	0	50	50	0.0	0.0	100.0	0	0	gismu	450.0
gism	CACC	4	gismu	CACCA	1 2 3 4	0	0	0	0				0	0	gismu	450.0
gismu	CACCA	5	gismu	CACCA	1 2 3 4 5	0	0	0	0				6524	0	gismu	450.0
gla	CCA	3	glare	CCACA	1 2 3	106	0	66	172	0.0	0.0	0.0	0	0	glare	172.0
glar	CCAC	4	glare	CCACA	1 2 3 4	0	0	0	0				0	0	glare	172.0
glare	CCACA	5	glare	CCACA	1 2 3 4 5	0	0	0	0				365	0	glare	172.0
gei	CAA	3	gleki	CCACA	1 3 5	59	20	142	221	0.0	0.0	0.0	0	0	gleki	226.0
gek	CAC	3	gleki	CCACA	1 3 4	5	0	0	5	100.0	0.0	0.0	0	0	gleki	226.0
glek	CCAC	4	gleki	CCACA	1 2 3 4	0	0	0	0				0	0	gleki	226.0
gleki	CCACA	5	gleki	CCACA	1 2 3 4 5	0	0	0	0				702	0	gleki	226.0
gle	CCA	3	gletu	CCACA	1 2 3	223	21	105	349	0.0	0.0	0.0	0	0	gletu	355.0
gletu	CCACA	5	gletu	CCACA	1 2 3 4 5	0	0	6	6	0.0	0.0	100.0	200	0	gletu	355.0
let	CAC	3	gletu	CCACA	2 3 4	0	0	0	0				0	0	gletu	355.0
gli	CCA	3	glico	CCACA	1 2 3	453	62	523	1038	0.0	0.0	0.0	0	0	glico	1066.0
gic	CAC	3	glico	CCACA	1 3 4	24	0	0	24	100.0	0.0	0.0	0	0	glico	1066.0
glico	CCACA	5	glico	CCACA	1 2 3 4 5	0	0	4	4	0.0	0.0	100.0	401	0	glico	1066.0
glic	CCAC	4	glico	CCACA	1 2 3 4	0	0	0	0				0	0	glico	1066.0
glu	CCA	3	gluta	CCACA	1 2 3	0	0	9	9	0.0	0.0	100.0	0	0	gluta	9.0
gocti	CACCA	5	gocti	CACCA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	0	0	gocti	2.0
gotro	CACCA	5	gotro	CACCA	1 25 3 4 25	0	0	2	2	0.0	0.0	100.0	6	0	gotro	2.0
rau	CAA	3	gradu	CCACA	2 3 5	3	0	49	52	0.0	0.0	0.0	0	0	gradu	52.0
gradu	CCACA	5	gradu	CCACA	1 2 3 4 5	0	0	0	0				128	0	gradu	52.0
gra	CCA	3	grake	CCACA	1 2 3	6	0	96	102	0.0	0.0	0.0	0	0	grake	102.0
grake	CCACA	5	grake	CCACA	1 2 3 4 5	0	0	0	0				132	0	grake	102.0
ga'a	CAA	3	grana	CCACA	1 35 35	35	20	49	104	0.0	0.0	0.0	0	0	grana	104.0
grana	CCACA	5	grana	CCACA	1 2 35 4 35	0	0	0	0				116	0	grana	104.0
ras	CAC	3	grasu	CCACA	2 3 4	40	7	0	47	0.0	0.0	0.0	0	0	grasu	64.0
grasu	CCACA	5	grasu	CCACA	1 2 3 4 5	0	0	17	17	0.0	0.0	100.0	28	0	grasu	64.0
gras	CCAC	4	grasu	CCACA	1 2 3 4	0	0	0	0				0	0	grasu	64.0
greku	CCACA	5	greku	CCACA	1 2 3 4 5	0	0	7	7	0.0	0.0	100.0	24	0	greku	8.0
rek	CAC	3	greku	CCACA	2 3 4	1	0	0	1	100.0	0.0	0.0	0	0	greku	8.0
rus	CAC	3	grusi	CCACA	2 3 4	28	0	0	28	100.0	0.0	0.0	0	0	grusi	35.0
grus	CCAC	4	grusi	CCACA	1 2 3 4	6	0	0	6	100.0	0.0	0.0	0	0	grusi	35.0
grusi	CCACA	5	grusi	CCACA	1 2 3 4 5	0	0	1	1	0.0	0.0	100.0	163	0	grusi	35.0
rut	CAC	3	grute	CCACA	2 3 4	6	6	0	12	0.0	0.0	0.0	0	0	grute	17.0
grute	CCACA	5	grute	CCACA	1 2 3 4 5	0	0	5	5	0.0	0.0	100.0	103	0	grute	17.0
grut	CCAC	4	grute	CCACA	1 2 3 4	0	0	0	0				0	0	grute	17.0
gruti	CCACA	5	gruti	CCACA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	0	0	gruti	2.0
gub	CAC	3	gubni	CACCA	1 2 3	58	0	0	58	100.0	0.0	0.0	0	0	gubni	61.0
gubni	CACCA	5	gubni	CACCA	1 2 3 4 5	0	0	3	3	0.0	0.0	100.0	44	0	gubni	61.0
gubn	CACC	4	gubni	CACCA	1 2 3 4	0	0	0	0				0	0	gubni	61.0
gu'e	CAA	3	gugde	CACCA	13 2 5	0	18	237	255	0.0	0.0	0.0	0	0	gugde	288.0
gug	CAC	3	gugde	CACCA	13 2 13	28	5	0	33	0.0	0.0	0.0	0	0	gugde	288.0
gugde	CACCA	5	gugde	CACCA	13 2 13 4 5	0	0	0	0				355	0	gugde	288.0
gundi	CACCA	5	gundi	CACCA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	6	0	gundi	2.0
gu'a	CAA	3	gunka	CACCA	1 2 5	12	0	63	75	0.0	0.0	0.0	0	0	gunka	131.0
gun	CAC	3	gunka	CACCA	1 2 3	38	18	0	56	0.0	0.0	0.0	0	0	gunka	131.0
gunk	CACC	4	gunka	CACCA	1 2 3 4	0	0	0	0				0	0	gunka	131.0
gunka	CACCA	5	gunka	CACCA	1 2 3 4 5	0	0	0	0				572	0	gunka	131.0
gunma	CACCA	5	gunma	CACCA	1 2 3 4 5	12	0	18	30	0.0	0.0	0.0	321	0	gunma	40.0
gum	CAC	3	gunma	CACCA	1 2 4	10	0	0	10	100.0	0.0	0.0	0	0	gunma	40.0
gu'o	CAA	3	gunro	CACCA	1 2 5	0	0	16	16	0.0	0.0	100.0	0	0	gunro	28.0
gur	CAC	3	gunro	CACCA	1 2 4	12	0	0	12	100.0	0.0	0.0	0	0	gunro	28.0
gunr	CACC	4	gunro	CACCA	1 2 3 4	0	0	0	0				0	0	gunro	28.0
gunse	CACCA	5	gunse	CACCA	1 2 3 4 5	0	0	36	36	0.0	0.0	100.0	349	0	gunse	38.0
guns	CACC	4	gunse	CACCA	1 2 3 4	2	0	0	2	100.0	0.0	0.0	0	0	gunse	38.0
gunta	CACCA	5	gunta	CACCA	1 2 3 4 5	8	0	36	44	0.0	0.0	0.0	118	0	gunta	59.0
gut	CAC	3	gunta	CACCA	1 2 4	15	0	0	15	100.0	0.0	0.0	0	0	gunta	59.0
gru	CCA	3	gurni	CACCA	1 3 2	10	22	16	48	0.0	0.0	0.0	0	0	gurni	48.0
gurn	CACC	4	gurni	CACCA	1 2 3 4	0	0	0	0				0	0	gurni	48.0
gurni	CACCA	5	gurni	CACCA	1 2 3 4 5	0	0	0	0				76	0	gurni	48.0
guk	CAC	3	guska	CACCA	1 2 4	5	0	0	5	100.0	0.0	0.0	0	0	guska	9.0
guska	CACCA	5	guska	CACCA	1 2 3 4 5	0	0	4	4	0.0	0.0	100.0	14	0	guska	9.0
gu'i	CAA	3	gusni	CACCA	1 2 5	6	11	190	207	0.0	0.0	0.0	0	0	gusni	290.0
